"CostElementList_CostElement","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-e0ad65c6180c0d28085102cfaa8820a3fabc5ce9-0-c2ffd83a1dac8f50db197586ccfcc77ef8bd86f9","","5.985","7.658","3.278","3.278","","","","","","","","","","e0ad65c6180c0d28085102cfaa8820a3fabc5ce9-0-0eb59d0fe74001b9969e2dcd54d0e001d4eb170c","e0ad65c6180c0d28085102cfaa8820a3fabc5ce9","root.record.ItemExhibitList.P5Item","e0ad65c6180c0d28085102cfaa8820a3fabc5ce9-0-23a4be7f2b978f2a72f5aa3c3f46d306a90ee74c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-e0ad65c6180c0d28085102cfaa8820a3fabc5ce9-0-a1b3209a907d038c38c9aed61720dd68f5eea45b","","3.543","4.357","2.633","2.633","","","","","","","","","","e0ad65c6180c0d28085102cfaa8820a3fabc5ce9-0-c5b0e101262218b1c47ea43adfff760f988b30c2","e0ad65c6180c0d28085102cfaa8820a3fabc5ce9","root.record.ItemExhibitList.P5Item","e0ad65c6180c0d28085102cfaa8820a3fabc5ce9-1-4d968971bcf3b956edf97252c8b6201a5daff493"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-e615c20672a354eae07583fce3fbefe766b6d6a9-0-300ebfea3c9c3f860ed37b20d5e02bff6cc1d77a","1398.302","38.202","139.671","103.591","105.476","1.885","372.436","2271.812","103.818","41.227","36.003","36.677","","Support Cost Element Category","e615c20672a354eae07583fce3fbefe766b6d6a9-0-e8476973a99d222464255324ad56ef56e382e2c6","e615c20672a354eae07583fce3fbefe766b6d6a9","root.record.ItemExhibitList.P5Item","e615c20672a354eae07583fce3fbefe766b6d6a9-0-fafb83de16c48dd4bfc4553f4fdd4f14ba6615af"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-ee82d21bfbc535f438e1d30ecc132f15a3a5df42","","","","0.827","0.827","","","","","","","","","","f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-998e1f9468a794fb223e3d5ec7f68a64fe86c196","f60400ec3345b7fba1e0ced2d51899a7e534a11a","root.record.ItemExhibitList.P5Item","f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-c4a131992306f9cd8f383f11312553726b72e39d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-fd761e46893714a119c56c3a6ebc3aa8e8af0cd2","","2.228","","1.227","1.227","","","","","","","","","","f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-dc179dd9c7c273b924e3703232337cfbae05bf17","f60400ec3345b7fba1e0ced2d51899a7e534a11a","root.record.ItemExhibitList.P5Item","f60400ec3345b7fba1e0ced2d51899a7e534a11a-1-d0736ebc7471056ffb7155dd2e0f350f79dacee1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-80a4565dd7843ad8adfedb53f1685e72f3c9d2f7","","1.2","3.042","1.221","1.221","","","","","","","","","","f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-162c1d542ee0e90e64a98e3b050879203ab493ad","f60400ec3345b7fba1e0ced2d51899a7e534a11a","root.record.ItemExhibitList.P5Item","f60400ec3345b7fba1e0ced2d51899a7e534a11a-2-b881c1593bd3b82ad4df6df17802df82d9bde42f"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-f27e7b1bdf634a6460b6a7ccbb51a7bf8cdfb907","","2.139","1.342","1.295","1.295","","","","","","","","","","f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-31a8ca43b5b1b9f354e406079b758fe6c5e9ce7d","f60400ec3345b7fba1e0ced2d51899a7e534a11a","root.record.ItemExhibitList.P5Item","f60400ec3345b7fba1e0ced2d51899a7e534a11a-3-1e71be66d09138e8b8696a3fc94bc6d0f61451a7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-520ccc5dcda0a47bdee1818eb836cceeac917a63","","1.06","1.056","0.693","0.752","0.059","","","","","","","","","f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-ebbed47a602d993d03abf08eaa13aba89aa676ea","f60400ec3345b7fba1e0ced2d51899a7e534a11a","root.record.ItemExhibitList.P5Item","f60400ec3345b7fba1e0ced2d51899a7e534a11a-4-46d40f65f882b1814dbbe562d7aad8337f4af89e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-e5cc1d493a6c32bf672bbf2675f786c1548a3151","","6","","","","","","","","","","","","","f60400ec3345b7fba1e0ced2d51899a7e534a11a-0-09766c2797e3079603a2ad4ec62a8a078cbc12a7","f60400ec3345b7fba1e0ced2d51899a7e534a11a","root.record.ItemExhibitList.P5Item","f60400ec3345b7fba1e0ced2d51899a7e534a11a-5-80db5c073aa977a21f07f32592e216e30af096c8"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-18591df010a7ca7873afbc042443ba47d6c1e500","","0.788","","","","","","","","","","","","","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-5937db012cddc2ae51e783fe16701d2e84ebbee4","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3","root.record.ItemExhibitList.P5Item","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-361c7d9cd5a664074240e61d05442fdcbcc743b5"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-113ecd5f0dc03aba3c28842b5d4058bae8b73e3f","","4.209","1.128","","","","","","","","","","","","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-4286a41d365ac14592ab9727ce6988b680a8adcf","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3","root.record.ItemExhibitList.P5Item","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-1-364fb13235319ce6d7629b8263da8e033eb29810"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-95f90386b3fa6de87a9af473b035c116e03c9793","","0.818","","","","","","","","","","","","","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-fcc387b91743fce54957a0f420d3f03b59503129","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3","root.record.ItemExhibitList.P5Item","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-2-d60dfe3f35dd0f731556dc8296701bff81bb2741"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-b5098c6789f5f70d9023542e904b722097b5da84","","2.454","1.077","1.345","1.345","","","","","","","","","","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-1a4c236975d84c9803f6e3025e30a66b1d9d0616","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3","root.record.ItemExhibitList.P5Item","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-3-e41e5f02e1029e5ee3070f05178c953f40323323"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-dba57966ceae7a76d56b90d4bcff90d1a269e881","","2.609","3.03","2.833","2.944","0.111","","","","","","","","","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-883f9dd325c6f6d5b2b8f961e9120b191cfe832a","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3","root.record.ItemExhibitList.P5Item","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-4-3b2bdf445c6421bf09ae7d528f07b6c7d0120c04"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-1e18ee48123504db56fb5777b860d99206937ef0","","2.549","","","","","","","","","","","","","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-37e1fc68676fbe1590393a6502ff0c9b596c7700","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3","root.record.ItemExhibitList.P5Item","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-5-0d118d4092c2427a51c65cae86f7778ad399e504"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-37c5cfb459264936d32f7cc4c428f12cd2295fc8","","","","1.558","1.558","","","","","","","","","","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-0-4f92ba7c06372069085aa595876430532237fe48","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3","root.record.ItemExhibitList.P5Item","ff9817abd6dcb71f79ba353bdd3c2ae697173bc3-6-52b084f8c99402bc3453a20d5443c3184c4bd35f"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0075071ccc82adb1e9353dc16c45700a65e90468-0-70afbb4d582cd99e71d6abbf8d0828f73215cd48","","0","0.73","18.445","18.445","","149.784","310.729","30.427","33.894","43.567","33.882","","Support End Item","0075071ccc82adb1e9353dc16c45700a65e90468-0-13ecbdadd26a5e1619adf44f1f4bff35e96d5b7f","0075071ccc82adb1e9353dc16c45700a65e90468","root.record.ItemExhibitList.P5Item","0075071ccc82adb1e9353dc16c45700a65e90468-0-84ee3e0c0d81c9aabdc37daf2827d27eee2b3297"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-7840899c0eee28bc78fe098e6060f3e635f997c0","53.056","53.96","5.866","14.089","14.089","","","","","","","","","","01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-b538ead7086d05b7964f2fb83ee7f2a138736602","01fbb9a5b33b47c91a86f0564c5b45d8e186b549","root.record.ItemExhibitList.P5Item","01fbb9a5b33b47c91a86f0564c5b45d8e186b549-0-e5a9b31acb9371c90392570cc300647c7136c1eb"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0204da979f3fe83eede49dd470a5931a074cade4-0-82a3c408711ed20e6062f93209e1fb174bd22627","","","1.361","1.388","1.388","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-946df59749d3aefcb6b07d44c692172c66539a06","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-3-fbb76e08d8e6dc8929a452e68f036afa5cf68ec2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0204da979f3fe83eede49dd470a5931a074cade4-0-fb028a073f5aad86579c5c60ecefbbb09c96cbd2","","","","1.306","1.306","","","","","","","","","","0204da979f3fe83eede49dd470a5931a074cade4-0-95274e41b20c2829237d04618141c98c6089f2e7","0204da979f3fe83eede49dd470a5931a074cade4","root.record.ItemExhibitList.P5Item","0204da979f3fe83eede49dd470a5931a074cade4-4-d8c43b3407dbba2f7c0e1aa7cd0b2dfb321aac42"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-032e5194c50c3238ef86df87bc8bead78d36f0ff-0-c52fc1685119ae40ad32bd9277cc1b847695717a","","","","2.233","2.233","","","","","","","","","","032e5194c50c3238ef86df87bc8bead78d36f0ff-0-dd734d077b0588e779ee7093730f20bbfcbdf37e","032e5194c50c3238ef86df87bc8bead78d36f0ff","root.record.ItemExhibitList.P5Item","032e5194c50c3238ef86df87bc8bead78d36f0ff-0-040ea629b7f781283bde4f7a08432a2345df9239"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-03623ddbdf55533eb6c5daaf5960ee331db8ed1b-0-3997274294e54198c185a11dfa5867b185f44e31","97.598","38.723","","","","","0","136.321","","","","","","Support End Item","03623ddbdf55533eb6c5daaf5960ee331db8ed1b-0-d180191512b56ba74e9bbe9cdcffbf0a79904b17","03623ddbdf55533eb6c5daaf5960ee331db8ed1b","root.record.ItemExhibitList.P5Item","03623ddbdf55533eb6c5daaf5960ee331db8ed1b-0-a4e2e258422a5a747be0720e49714d32cbc64ce9"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-03cbda399fd0c30550f9b7fa419f5b9736c76cd4-0-a684ba32616f6a9e62f8c698f5c3029100eb84af","0","2.138","2.228","2.299","2.299","0","","","","","","","","(AG830)   PRODUCTION ENGINEERING","03cbda399fd0c30550f9b7fa419f5b9736c76cd4-0-2f456bd72fdcba1e446f9f6d7e8c9d336a26b4f4","03cbda399fd0c30550f9b7fa419f5b9736c76cd4","root.record.ItemExhibitList.P5Item","03cbda399fd0c30550f9b7fa419f5b9736c76cd4-0-f5726ac0f68e66e170a0e4df02b1851cb1e867c7"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-03cbda399fd0c30550f9b7fa419f5b9736c76cd4-0-18f41979e2b68fa795ac2e8e0ee9530fd60051ce","0.215","0","0.366","0.245","0.245","0","","","","","","","","(NS830) PRODUCTION ENGINEERING","03cbda399fd0c30550f9b7fa419f5b9736c76cd4-0-a9ba5fd6ff5784c6b0574e0f9e15e377980881d8","03cbda399fd0c30550f9b7fa419f5b9736c76cd4","root.record.ItemExhibitList.P5Item","03cbda399fd0c30550f9b7fa419f5b9736c76cd4-1-660402277e108d33b9167318c2f67d7abc9256aa"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-046be5f36f8a4db147ba138e8f14558a65b49467-0-477e5cd423f7237d793dd9062747855e156c2569","38.918","39.446","40.35","36.253","36.253","","","","","","","","","Support End Item","046be5f36f8a4db147ba138e8f14558a65b49467-0-aedb593b67f27682015c11ab5643e6e3e32dd70d","046be5f36f8a4db147ba138e8f14558a65b49467","root.record.ItemExhibitList.P5Item","046be5f36f8a4db147ba138e8f14558a65b49467-0-05d634c6130ed3ce79495483205671da8a7ffc74"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65-0-0e8e9ea0556750457dc359dc63bea048cfee0062","1915.132","426.817","416.921","514.252","514.252","0","6669.019","11922.771","527.779","496.278","417.925","538.648","","Support End Item","084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65-0-47070e8a9c69dfd504ca4909cefe412a9a2140e0","084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65","root.record.ItemExhibitList.P5Item","084ec6d2d9f931f7bd8a6983549f71c8f8e2ea65-0-93f13399b283e7a798ab97c95995a395a5b00457"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-088da59aab35ae796254f393d8bfd9b2ae443a9e-0-28aac7b79ad55d8d6b9299de2a5e86e78bbf46b8","7.751","2.486","0","0","0","0","","","","","","","","SJ800 - Integrated Logistics","088da59aab35ae796254f393d8bfd9b2ae443a9e-0-a0795ceebbbace1df17985585f05d47ce47a1991","088da59aab35ae796254f393d8bfd9b2ae443a9e","root.record.ItemExhibitList.P5Item","088da59aab35ae796254f393d8bfd9b2ae443a9e-0-91a1fb7955cb9d11fb7966cb97fcde2b726bc74e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-088da59aab35ae796254f393d8bfd9b2ae443a9e-1-08ecae1ccd71acf4e740cba5c03476ad7047ca50","11.57","11.425","0","0","0","0","","","","","","","","SJ830 - Production Engineering","088da59aab35ae796254f393d8bfd9b2ae443a9e-1-b8c7e19114073b8946f57388a50306b5135ccf58","088da59aab35ae796254f393d8bfd9b2ae443a9e","root.record.ItemExhibitList.P5Item","088da59aab35ae796254f393d8bfd9b2ae443a9e-0-91a1fb7955cb9d11fb7966cb97fcde2b726bc74e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-088da59aab35ae796254f393d8bfd9b2ae443a9e-2-5fe246f02bf58a6763a001f96328caf1fa8061ff","8.736","1.494","0","0","0","0","","","","","","","","SJ900 - Installation -NonFMP","088da59aab35ae796254f393d8bfd9b2ae443a9e-2-4cf7ff0c95e64df09eaa397fa63178d2f340d376","088da59aab35ae796254f393d8bfd9b2ae443a9e","root.record.ItemExhibitList.P5Item","088da59aab35ae796254f393d8bfd9b2ae443a9e-0-91a1fb7955cb9d11fb7966cb97fcde2b726bc74e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-088da59aab35ae796254f393d8bfd9b2ae443a9e-3-c38f5aa75ad726f85b971052f1d333509058f72d","13.378","2.487","0","0","0","0","","","","","","","","SJ910 - Installation -FMP","088da59aab35ae796254f393d8bfd9b2ae443a9e-3-4eed0a29e7f4db0e8d1f4d5fe549b9af23d77fd5","088da59aab35ae796254f393d8bfd9b2ae443a9e","root.record.ItemExhibitList.P5Item","088da59aab35ae796254f393d8bfd9b2ae443a9e-0-91a1fb7955cb9d11fb7966cb97fcde2b726bc74e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0c091630c669eb702e6946516d3e1c9ec11ce908-0-54871d44461dfca26a96a3c3e56b473430e29ff4","","","4.047","","","","","","","","","","","","0c091630c669eb702e6946516d3e1c9ec11ce908-0-46e78fcc5b93207687c123510ae3262ad398a43e","0c091630c669eb702e6946516d3e1c9ec11ce908","root.record.ItemExhibitList.P5Item","0c091630c669eb702e6946516d3e1c9ec11ce908-0-90cb656b46989e56781a307736959e5796173d19"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0c091630c669eb702e6946516d3e1c9ec11ce908-0-11a8f0f82a13bf819961600e5808ae726bc5f4f4","104.688","2.174","0.949","0.339","0.339","0","","","","","","","","","0c091630c669eb702e6946516d3e1c9ec11ce908-0-4a59d2a4552d9c3a0d17a1ee6c77b0eb0592536d","0c091630c669eb702e6946516d3e1c9ec11ce908","root.record.ItemExhibitList.P5Item","0c091630c669eb702e6946516d3e1c9ec11ce908-1-1c24931ac3e5df62a11bfc02e50f430a694409c8"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0c091630c669eb702e6946516d3e1c9ec11ce908-0-aad00d31af74530ed5fb03e2c2a4c6fe99d2d087","10.05","3.589","1.027","","","","","","","","","","","","0c091630c669eb702e6946516d3e1c9ec11ce908-0-b335c4a9f06f847d5e7fcf299350ef83ac82715f","0c091630c669eb702e6946516d3e1c9ec11ce908","root.record.ItemExhibitList.P5Item","0c091630c669eb702e6946516d3e1c9ec11ce908-2-9aa9176a39783d2853308312c57d8535fc8e5f88"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-574b4c537f01d9771ffd9db718ad0cb76f07cf5c","0","0","","26.12","26.12","","0","127.215","23.869","32.173","26.152","18.901","","0207425F","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-ba6f08fd9b12ff024cc710dd9c6ec6a700610c7f","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151","root.record.ItemExhibitList.P5Item","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-25c10b682845d7a8503a538af83746b76aab3319"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-f3527c9212a25450a542af4f2c5a0345df455ef1","0","30.623","22.427","6.337","6.337","","0","98.255","11.782","12.257","6.332","8.497","","0303112F","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-0-223fe57bbcc949f97953beaff16a14e2382b8b68","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151","root.record.ItemExhibitList.P5Item","0cfa9e80d60981f3bddf6ffe7cfb8279d6635151-1-0f907a8a2600dffa799f47651f41b2042afad810"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0dcab36eaf8425326121a43a4b3c7569e1ae7d91-0-6d81899e0378857ad107b9cfaae3ed2a1e972180","","","0.985","1.2","1.2","","","","","","","","","G5003 - Support and Ancillary Equipment","0dcab36eaf8425326121a43a4b3c7569e1ae7d91-0-71dd63ad68e5004519d93034aae442d39592bbe3","0dcab36eaf8425326121a43a4b3c7569e1ae7d91","root.record.ItemExhibitList.P5Item","0dcab36eaf8425326121a43a4b3c7569e1ae7d91-0-1d57f4f866847322637cf03ab2326d77c2fa9799"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0dcab36eaf8425326121a43a4b3c7569e1ae7d91-1-527ee9e2596ec4269aeb7256968cba3e71b0e05d","","","1.168","5.173","5.173","","","","","","","","","G5830 - Production Engineering","0dcab36eaf8425326121a43a4b3c7569e1ae7d91-1-c23e6273afbd271ef9194cef07729dacbcda91f7","0dcab36eaf8425326121a43a4b3c7569e1ae7d91","root.record.ItemExhibitList.P5Item","0dcab36eaf8425326121a43a4b3c7569e1ae7d91-0-1d57f4f866847322637cf03ab2326d77c2fa9799"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0dcab36eaf8425326121a43a4b3c7569e1ae7d91-2-fe80e4efb8ea16f4555cee4a2f367c6c2c49cb99","","","","1.261","1.261","","","","","","","","","G5840 - Quality Assurance","0dcab36eaf8425326121a43a4b3c7569e1ae7d91-2-bf91c9598a93eb3644ef0b1e91cd8ebdc2db6464","0dcab36eaf8425326121a43a4b3c7569e1ae7d91","root.record.ItemExhibitList.P5Item","0dcab36eaf8425326121a43a4b3c7569e1ae7d91-0-1d57f4f866847322637cf03ab2326d77c2fa9799"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-0e2fb6bb5b4a7cb6fad728b8211749bd25a34fb3-0-a377101c37f98f346241302a5677cdf07fdef968","4.285","0.871","0.76","0.702","0.702","0","","","","","","","","Support End Item","0e2fb6bb5b4a7cb6fad728b8211749bd25a34fb3-0-3333a96a1ca4c12dffa9265a8a2c65a77c756ea1","0e2fb6bb5b4a7cb6fad728b8211749bd25a34fb3","root.record.ItemExhibitList.P5Item","0e2fb6bb5b4a7cb6fad728b8211749bd25a34fb3-0-b65d0c214b22b5bb26e9a21a1a2122608f00fdbe"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-100d75c4952b99fe669e096bab6fc423ca20ff77-0-af3775bef2013b54c8953d49e84dddd66cb59976","1480.222","58.375","192.16","0","0","","0","1730.757","0","0","","","","Support End Item","100d75c4952b99fe669e096bab6fc423ca20ff77-0-cbb9ca2d83296b2e4659ffc5daf0b4b22708b9c2","100d75c4952b99fe669e096bab6fc423ca20ff77","root.record.ItemExhibitList.P5Item","100d75c4952b99fe669e096bab6fc423ca20ff77-0-e30c43e884902f25ccd160260a6d9b14024b0492"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-1079cfe887413c202df7da2f08f70df124ff9d2a-0-ac826ac7004040e73df2c1c2c35fe243a1e4e9dc","138.228","3.06","3.584","4.113","4.113","","","","","","","","","Other","1079cfe887413c202df7da2f08f70df124ff9d2a-0-a93de91622f7f4d15dfe60182b2d84286a0a72ca","1079cfe887413c202df7da2f08f70df124ff9d2a","root.record.ItemExhibitList.P5Item","1079cfe887413c202df7da2f08f70df124ff9d2a-0-9664c46a5fcdacb02144345692b7baac98edee02"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-12fe0d50cb9d3c84e0164209926a72357d42b4ad-0-088ae744a31f3cc93e3ed25f63d5c4a1eff33e54","4.112","2.9","5.642","","","","","","","","","","","","12fe0d50cb9d3c84e0164209926a72357d42b4ad-0-fc781c8d31d13be5332eeba4184983b13296ea47","12fe0d50cb9d3c84e0164209926a72357d42b4ad","root.record.ItemExhibitList.P5Item","12fe0d50cb9d3c84e0164209926a72357d42b4ad-0-61592f8965a220898b950844061cb7e5b359d81e"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-1686392c0273c503933a500aeafeaec7aea93a88-0-6ab5fdee10dacc7d82cb02eb82dc452f8fbbb2f8","","","0.557","3.662","3.662","","","","","","","","","","1686392c0273c503933a500aeafeaec7aea93a88-0-b45c6a60e6085ec0ea2360e1e69e691551b4046e","1686392c0273c503933a500aeafeaec7aea93a88","root.record.ItemExhibitList.P5Item","1686392c0273c503933a500aeafeaec7aea93a88-0-ea3921cd4d311f6cae6232a747a6c5a488231bd1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-175397800b511b530a13e7475895e0646537d7c2-0-cd3528fccd92f0e95aefed3e19c0d502b72d49e3","61.421","36.964","21.633","42.75","42.75","","","","76.468","79.976","89.155","101.483","true","","175397800b511b530a13e7475895e0646537d7c2-0-2acc5f827b5c2dcb5ca55da0d24cae47c95703e7","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item","175397800b511b530a13e7475895e0646537d7c2-0-28a036af5db47b0192f40d5945f2116d95e6c724"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-1a62d9d585d329c18ea4a5e66c45d4c50c8c6d95-0-8ed61d3bbeb35f659e4bca4416a246cd126e871d","3.23","0.392","0.4","0.863","0.863","","","","","","","","","GRIFFIN","1a62d9d585d329c18ea4a5e66c45d4c50c8c6d95-0-0938295b50e8a3613946a928f56735c9a713ace0","1a62d9d585d329c18ea4a5e66c45d4c50c8c6d95","root.record.ItemExhibitList.P5Item","1a62d9d585d329c18ea4a5e66c45d4c50c8c6d95-0-2c6067492b33a20b89c10041272fc3b796a42565"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-1ae1828a505a9784bd4979af3baafa1c8da12491-0-d3c8bc6cc40bb4f6af85796d1d9fcd4ae7d20d1f","152.015","6.222","8.797","8.538","8.538","","","","","","","","","","1ae1828a505a9784bd4979af3baafa1c8da12491-0-6551e4d88894cf37a20241de4c2e6e855b3a3ea9","1ae1828a505a9784bd4979af3baafa1c8da12491","root.record.ItemExhibitList.P5Item","1ae1828a505a9784bd4979af3baafa1c8da12491-0-e22222c5d196cb522b5cd89f09427a42d57539c2"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList-1b4d634f93a23423d746c4300fcfdacacfcda863-0-3389f1ddf58bd61c0d347766255a037c500ac270","","4.94","4.59","3.878","3.878","0","","","","","","","","D-ILS","1b4d634f93a23423d746c4300fcfdacacfcda863-0-cd6220f20efb92012a61221d982c11847ed7af8b","1b4d634f93a23423d746c4300fcfdacacfcda863","root.record.ItemExhibitList.P5Item","1b4d634f93a23423d746c4300fcfdacacfcda863-1-3c060434c8e998e2ac2c1c39a6d7a3d3d19cf306"
