"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","","2.417","4","4","4.25","4.1","3.982","","","","","","","","","","","","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-1-ffda5a3997cf4a5ddc58ee347e0a483eef922bf9","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"Army Reserve","","1.215","1.248","1.248","1.265","1.282","0.437","","","","","","","","","","","","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-2-e1b0a6820a4a020c90760ddafb9fec1e58259998","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82","root.record.ItemExhibitList.P3AModificationItemGroup","33ca8d3a32ab9af72653990c0bcbd2285cbc2e82-0-d3a2239221b0688617ea82ef12a45533a5c9be73"
"Air Force Active","7.197","","29.525","29.525","20.604","28.674","34.901","","","","","","","","","","","","36534adaa3f912f497e0482f9e7cb5a2147e37e1-0-8dd5cb777d488e4e3665fb6709ae7628a17b0425","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root.record.ItemExhibitList.P3AModificationItemGroup","36534adaa3f912f497e0482f9e7cb5a2147e37e1-0-0a1f2e63da4f30ffb277cce525e7f61ab6e572c7"
"Air Force Active","1.99","","","7.5","","","","","7.5","","","","","","","","","","36534adaa3f912f497e0482f9e7cb5a2147e37e1-0-680bfe725356b2db0e6f28e7b2738695a68be9c6","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root.record.ItemExhibitList.P3AModificationItemGroup","36534adaa3f912f497e0482f9e7cb5a2147e37e1-1-226bf84a883ace6729d99eb659f5bfac4812cb5e"
"Army Active","","","4.959","4.959","5.061","5.161","5.263","14.985","","","","","","","","","","","39fd500bdd20b1e92bb18c3d46dae452ef7ffb31-0-9e3827b4686a1e6930ec035f9564546500a2ccfd","39fd500bdd20b1e92bb18c3d46dae452ef7ffb31","root.record.ItemExhibitList.P3AModificationItemGroup","39fd500bdd20b1e92bb18c3d46dae452ef7ffb31-0-12b8a006088d3e34aa956aef4b88240dbea39ba4"
"Army Active","10.17","15.042","16.491","16.491","21.013","26.009","1.391","7.916","","","","","","","","","","","3adc3f1ff42084161fc00f2883ec382cfccade48-0-d74102eb73f61199cee0672c27b0d925998ed03e","3adc3f1ff42084161fc00f2883ec382cfccade48","root.record.ItemExhibitList.P3AModificationItemGroup","3adc3f1ff42084161fc00f2883ec382cfccade48-0-163afaafc68b5aaeb396045de424dd151a04c174"
"Army National Guard","8.095","17.302","17.731","17.731","6","16.927","2.922","","","","","2750","","","","","","","3adc3f1ff42084161fc00f2883ec382cfccade48-1-fc0ea18febf70645d2e815e8c93a5f88ff80931d","3adc3f1ff42084161fc00f2883ec382cfccade48","root.record.ItemExhibitList.P3AModificationItemGroup","3adc3f1ff42084161fc00f2883ec382cfccade48-0-163afaafc68b5aaeb396045de424dd151a04c174"
"Army Reserve","6.83","11.66","14.36","14.36","10","","7.39","3","","","","","","","","","","","3adc3f1ff42084161fc00f2883ec382cfccade48-2-164e5ced619292fd111f5f754a3262db8b194398","3adc3f1ff42084161fc00f2883ec382cfccade48","root.record.ItemExhibitList.P3AModificationItemGroup","3adc3f1ff42084161fc00f2883ec382cfccade48-0-163afaafc68b5aaeb396045de424dd151a04c174"
"Army Active","44.105","12.359","3.587","3.587","3.608","4.197","4.518","1.382","","","","","","","","","","","43d8ad0749d1d76ed0c8a6748b147a5f4769d029-0-892c9d294d3fce8056808529b69a6b14dc378a50","43d8ad0749d1d76ed0c8a6748b147a5f4769d029","root.record.ItemExhibitList.P3AModificationItemGroup","43d8ad0749d1d76ed0c8a6748b147a5f4769d029-0-763dad23060a66bbd791352cb35842d710f30c3a"
"Army National Guard","28.613","8.24","2.458","2.458","2.47","2.868","3.086","0.9","","","","","","","","","","","43d8ad0749d1d76ed0c8a6748b147a5f4769d029-1-0279665cfebafd7b9e495697374430bd2bebb4a2","43d8ad0749d1d76ed0c8a6748b147a5f4769d029","root.record.ItemExhibitList.P3AModificationItemGroup","43d8ad0749d1d76ed0c8a6748b147a5f4769d029-0-763dad23060a66bbd791352cb35842d710f30c3a"
