"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"1.2.1) Installation Kit N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.392","","0.1","","0.1","","0.1","","","","0.1","","0.1","","0.11","","0.082","","0.149","","","","1.133","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-776908bd396e39ff325f5064dcd276ec657d4029","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-f5838e86f5beec67dde8ff9bed9dbf666479a7c6"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","6","45.278","","","","","","","","","","","","","","","","","","","","","6","45.278","56b74c3976ead92ffb229b2b65b6710b923210d3-0-586ae36b677dc3bb4ae62e8f9a974c8222f74332","56b74c3976ead92ffb229b2b65b6710b923210d3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","56b74c3976ead92ffb229b2b65b6710b923210d3-0-c29e6c4adaf3e68e4320bd831f42917f27d7e60f"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","8","1.637","","","","","","","","","","","","","","","","","","","","","8","1.637","56b74c3976ead92ffb229b2b65b6710b923210d3-0-b3599e2975c0725d506df5de7e93ac64cce15aa8","56b74c3976ead92ffb229b2b65b6710b923210d3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","56b74c3976ead92ffb229b2b65b6710b923210d3-0-dcaf2fe27df749d5d21f01f8d2931456b1baa47d"
"1.1.1) TRANSMITTER UPGRADE (SSTX) - NonOrganic","","","","","","","","","","","","","","","","","","","","","","","","","","","7","13.504","","","","","2","6.307","","","2","6.307","4","8.219","2","1.781","4","8.671","2","1.876","","","21","40.358","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-b3f180d846e44d51cfb9523dffb01887175354fd","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"1.1.2) MK 91 UPGRADE MOD 10/11/12/13 - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.676","","","","","","","","","","","","","","","","","","","","","","8.676","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-1-111c6d30e452e398f393a31a94696c3394093d5b","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"1.1.3) TEST SUPPORT - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.354","","","","0.125","","0.125","","","","0.125","","0.125","","0.025","","0.025","","0.025","","","","1.804","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-2-8b562e9e608ac7b06b564995873e87164c5c1e36","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"1.1.4) COTS OBSOLESCENCE - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.605","","","","","","0.157","","","","0.157","","0.304","","0.141","","0.335","","0.329","","","","3.871","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-3-d2238cc33d06435f97e158b48d33b798da458434","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"1.1.5) ECP'S - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.769","","0.18","","0.275","","0.205","","","","0.205","","0.025","","0.025","","0.025","","0.025","","","","9.529","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-4-afa83ba456dcf17552573d04cce883a0ffe9dcb4","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.702","","","","","","","","","","","","","","","","","","","","","","2.702","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-f3389618cfa232f9d985769647bb57a464ec1aeb","644d498aa33485ad3172f0a21dfdff55f0cc03d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-e9f4f4404578d63584c7d2a6340fa7a3cb79447d"
"1.2.1) Instalation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.918","","1.088","","0.228","","0.853","","","","0.853","","2.214","","0.2","","1.7","","2.2","","9.5","","45.901","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-4894422358d27649a5d4e13d40dea4242dcc9266","644d498aa33485ad3172f0a21dfdff55f0cc03d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-1a3f19e6946704d6f5d26383791b2aa710ef2d51"
"1.2.1) Installation Kits N/R (OCO) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","3","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-5eed8ea64c4c6a5b3091c27d6341ab82fb70fe15","644d498aa33485ad3172f0a21dfdff55f0cc03d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-84cba23c178683dcb6152a7adb7bb2f54da619c6"
"1.2.2) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","7","","","","","","","","","","","","7","644d498aa33485ad3172f0a21dfdff55f0cc03d5-1-68490a0dd137e0a7fbba963ac8c78aa4488a8498","644d498aa33485ad3172f0a21dfdff55f0cc03d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-84cba23c178683dcb6152a7adb7bb2f54da619c6"
"1.2.1) Installation Kits N/R (OCO) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.2","","","","","","","","","","","","","","","","","","1.2","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-18482c62e1df55080c01f7669ba4895887cffad2","644d498aa33485ad3172f0a21dfdff55f0cc03d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-04477bdd08577da06d29aaf92fee0bb55ee923d4"
"Kit Quantity","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","192","10.586","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","192","10.586","6546807a0a309250a2a67550d1c33c10b31c5dd9-0-374beb81da27616237d400749ab9f7312343e412","6546807a0a309250a2a67550d1c33c10b31c5dd9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6546807a0a309250a2a67550d1c33c10b31c5dd9-4-a8945c32b5f3bba742a9a1393376de989b71ce72"
"other","","","","","","","","","","","","","","","","","","","","","","","","","","","0","858.122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","858.122","714dcf7c6e421d4769a95c49c4fa56e711f55ead-0-fb041dd64f78494bf3b8f7214f3e3bed92bd371d","714dcf7c6e421d4769a95c49c4fa56e711f55ead","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","714dcf7c6e421d4769a95c49c4fa56e711f55ead-1-de81c73f08a13f0514a69e5860ae460774c9c9d1"
"B-Kit Nonrecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.3","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-0-33aa033b2b05b42e48db5694c2adccf5be927d0b","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-0-8c6fbd3fd14f193ee1612f317d8bba6de286fc20"
"Aircrft Integr - Nonrecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.6","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-1-eb6e3214aea51cf3368c134d309c69e71b76ad03","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-0-8c6fbd3fd14f193ee1612f317d8bba6de286fc20"
"B-Kit Nonrecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-0-8993918c6d0bf9e7ea752f03b36fa919f033a533","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-1-c5349def38c099c058cb93e12fd8a394dce80a57"
"Aircrft Integr - Nonrecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.8","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-1-cb92fca73e777320c03e661d8910bb4617ff4acd","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-1-c5349def38c099c058cb93e12fd8a394dce80a57"
"ECPs -  Nonrecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","0","125.7","0","23.816","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","149.516","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-0-f64fce4d33ae28a6af088fadc191a899ae0bd6b8","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-2-d47ea65a66e0d72ebc9253461d1f1a4ec839b98d"
"Next Generation Torque System Test Set","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","74842ce674c49e8d177db7f9aa4e218731a76a4c-0-00cc0c1ba6a3a2d4289e8245579e0a8458f26fae","74842ce674c49e8d177db7f9aa4e218731a76a4c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","74842ce674c49e8d177db7f9aa4e218731a76a4c-1-7c5244f14a79d820034dff02f7a835d4d95d0376"
"Tools and Facilitation","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","5.028","0","0","0","0","0","0","0","0","0","5.028","74842ce674c49e8d177db7f9aa4e218731a76a4c-0-865b3ef9ca4f702d4022ae1af76a445cca5614c5","74842ce674c49e8d177db7f9aa4e218731a76a4c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","74842ce674c49e8d177db7f9aa4e218731a76a4c-5-ea656ba1f2493c47f0a72649084849b985f1e2c8"
"System Technical Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","54.9","0","2.4","0","12.499","0","4.66","0","0","0","4.66","0","30.044","0","31.035","0","36.698","0","35.902","0","35.734","0","243.872","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-0-d1bf26836ab64a713d3b4f3ecec4dc9c5885ebf9","75d0f533af4c645a362c29a65dc81c6bfaad8ad0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-4-8f08bd62f630cecfa8752e290c02b3974c6c495c"
"Government Program Management Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","22.669","0","0","0","22.669","0","18.446","0","18.89","0","4.041","0","3.954","0","3.935","0","71.935","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-1-30bd16fb7d2ddeb33f31ca9c342682b380310140","75d0f533af4c645a362c29a65dc81c6bfaad8ad0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-4-8f08bd62f630cecfa8752e290c02b3974c6c495c"
"Contractor Program Management Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","2.971","0","0","0","2.971","0","1.927","0","1.969","0","0","0","0","0","0","0","6.867","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-2-3257c969db0cb0a6c5b1ce6aca0af8203cf18e71","75d0f533af4c645a362c29a65dc81c6bfaad8ad0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-4-8f08bd62f630cecfa8752e290c02b3974c6c495c"
"Government Test Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","2.223","0","0","0","2.223","0","11.275","0","6.496","0","6.794","0","6.647","0","6.616","0","40.051","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-3-7cc688610296d2bdc9c995aa541bd5f072260819","75d0f533af4c645a362c29a65dc81c6bfaad8ad0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-4-8f08bd62f630cecfa8752e290c02b3974c6c495c"
"System Technical Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","54.7","0","0","0","13.22","0","0","0","13.22","0","0","0","0","0","0","0","0","0","0","0","67.92","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-0-92123ae84221f30de4a457f29dd2c45eae5246f5","75d0f533af4c645a362c29a65dc81c6bfaad8ad0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-5-447e64f6d53ea06a02c07c891b16d1afc88f13bb"
"Durability Improvements","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","66.352","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.352","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-1-5751a3fa54c6abcd44e717938d964b841c9e4e9f","75d0f533af4c645a362c29a65dc81c6bfaad8ad0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","75d0f533af4c645a362c29a65dc81c6bfaad8ad0-5-447e64f6d53ea06a02c07c891b16d1afc88f13bb"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","12","5.635","13","5.234","12","5.227","0","0.000","12","5.227","8","3.866","6","2.35","0","0.000","0","0.000","0","0.000","51","22.312","774511d4a3470732389a6f7ea6920e28e9168865-0-39423d5fe086e982d260edbd807f3ddf25adcc03","774511d4a3470732389a6f7ea6920e28e9168865","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","774511d4a3470732389a6f7ea6920e28e9168865-0-d42f81341325f13d5d30569f0571b9355ec53ecb"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.891","","0.3","","","","","","","","","","","","","","","","","","","","6.191","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-62836738d3a2d751a4f4142d82532ca13eb4e1d2","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-7574dcf5cf2335d1ffa18e4c8723e1566ec9c83e"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.052","","","","","","","","","","","","","","","","","","","","","","1.052","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-3e522bf7f3f0e0222fe803ac4544146a962e36d9","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-9be70d9e4a24e72593c4ab88731f959d1e8f35a2"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.65","","0.65","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-10f99b57ca816b35f698f4835ad86be58dda3863","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-1c65ec4894bcc12cd279d79cde1f196eadd87ba2"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.26","","0.375","","","","0.375","","0.4","","","","0.7","","0.681","","0.09","","2.506","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-567c3955f7dd4d4846ffaa6363061d71cf9048e2","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-11dc3a9f2d68c22f0ccbdbeeae6f25f6367a0f4c"
"1.2.2) Tactical Video Data Link - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","7.6","","7.6","7b28b6e642c522e89b24cb1ceacac27b4b26105b-1-ff02540cc104d4be8c702781eb4df3a727bde1f8","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-11dc3a9f2d68c22f0ccbdbeeae6f25f6367a0f4c"
"Nonrecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","0","54.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.2","7c50a9553bbec14a1454b8b47824f20d20e5d3cf-0-915005e510bb4a94af58f5281c60b8b3633e2f98","7c50a9553bbec14a1454b8b47824f20d20e5d3cf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7c50a9553bbec14a1454b8b47824f20d20e5d3cf-0-a6e752bcdef7d87ef3b4fd8a1ac34b2f7c14ce97"
"Nonrecurring","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2","7c50a9553bbec14a1454b8b47824f20d20e5d3cf-0-cd35815784da443a0c265cb9b8dea698b03407c2","7c50a9553bbec14a1454b8b47824f20d20e5d3cf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7c50a9553bbec14a1454b8b47824f20d20e5d3cf-1-4249ff1bad89b854d89d1d5c3901dc5e6a861bb5"
"OH-58F Cabin Tooling","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","22.009","0","0","0","22.009","0","0","0","0","0","0","0","0","0","0","0","22.009","7c50a9553bbec14a1454b8b47824f20d20e5d3cf-0-e2712a1f3622777d6741706c0a6a6b4c6e522861","7c50a9553bbec14a1454b8b47824f20d20e5d3cf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7c50a9553bbec14a1454b8b47824f20d20e5d3cf-6-50e68ac06dea6ff2290a91da811e77352271d621"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","80c314a08d629cf8ab4d43a0a1a5135314197657-0-693bde339a3b60b1620a4065605847ee6cd71bbd","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-9c0739fa866878440e5e4a76e8574fd7331498ff"
"KITS NONRECUR Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","45","4.424","49","5.027","0","0.000","49","5.027","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","94","9.451","80c314a08d629cf8ab4d43a0a1a5135314197657-0-e7ebad70627d554b6ad38cadd420c68233ec464f","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-59844729581c7bfae5bac49e739e43963b90ef4b"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","3.1","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-8ffb0f92038459560c4cf25a9d4b27cc05f5166e","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-46cd8b709f85d8e12d019d330c8ec159d72ab085"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.335","","","","","","","","","","","","","","","","","","","","","","2.335","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-356ad64385bab7e53b758bda0d02efaccf59c20c","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-e54319800557f728abb1b3ad95abb575073a7b8b"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","3.1","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-621a40a99f8b398643ec30cbfe1b17e91fa04a19","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-1ddf4f8b9ec68d92295ec710e849b7d032d27613"
"1.2.1) Installation Kits N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.046","","","","","","","","","","","","","","","","","","","","","","5.046","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-aec841c70e7cfb120d791821baca82326e1f9cd9","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-024a1a0364d064e0fd7821f7e23eac6dd34dc6cb"
"1.2.1) Installation Kits-N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.548","","","","","","","","","","","","","","","","","","","","","","0.548","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-6be441f786486ebd2bfd05ab6a89a318679ae746","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-a50a7ac5888eabd06af3538b22c9bc75d119a897"
"1.2.2) Installation Kits-N/R OCO - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.308","","","","","","","","","","","","","","","","","","","","","","7.308","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-1-6be09961ea8291ad568ec2be2ccc1da811855437","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-a50a7ac5888eabd06af3538b22c9bc75d119a897"
"1.2.1) Installation Kits (including AFCS) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.124","","","","13.472","","16.493","","","","16.493","","14.148","","10.684","","0.749","","1.8","","23.841","","89.311","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-383f6e1ea2db912b2b6cdfeedd6d1f3c04ce9b01","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81a1d2d90f7a156d39a12c6c2bcb581a7c0c221b-0-0f2889f7b83ed3418ffe1886e577b392bba38fe4"
