"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"RQ-4","fafa2b1bab35d3780b11577db91a4f77146009c4-0-9271c5e6d210fd9f6c0b1ac57256e551fca68208","fafa2b1bab35d3780b11577db91a4f77146009c4","root.record.ItemExhibitList.P3AModificationItemGroup","fafa2b1bab35d3780b11577db91a4f77146009c4-0-d76ace8bf51c66b084be050bc4fb8360ac5ed681"
"C-5B","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-3319aa199f29ba02417a95a7fb6c97458fd3fefe","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-ce2a59942ffa133d2cf07d5f4764618b99b9435f"
"C-5C","fba283638089f36cdd3c6afc69cbcba1590c5afb-1-cccf9214bfd8559e075ad5691d895d6a07c885c1","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-ce2a59942ffa133d2cf07d5f4764618b99b9435f"
"C-5M","fba283638089f36cdd3c6afc69cbcba1590c5afb-2-cc48f0cc86132be6271c10c3b8bd79ab0ff65aff","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-ce2a59942ffa133d2cf07d5f4764618b99b9435f"
"C-5B","fba283638089f36cdd3c6afc69cbcba1590c5afb-0-d7934a740186761261e7e719d5a9e06682f05a7d","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup","fba283638089f36cdd3c6afc69cbcba1590c5afb-1-653878749b9e75f292c7814c6a2c0061b0fb546a"
"C-5C","fba283638089f36cdd3c6afc69cbcba1590c5afb-1-dd5471610eda6697ff335bc7120bf30de54fdd13","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup","fba283638089f36cdd3c6afc69cbcba1590c5afb-1-653878749b9e75f292c7814c6a2c0061b0fb546a"
"C-5M","fba283638089f36cdd3c6afc69cbcba1590c5afb-2-c9c3eb6bc7c611e13c8ebb90657fb8cd584e496a","fba283638089f36cdd3c6afc69cbcba1590c5afb","root.record.ItemExhibitList.P3AModificationItemGroup","fba283638089f36cdd3c6afc69cbcba1590c5afb-1-653878749b9e75f292c7814c6a2c0061b0fb546a"
"C-130H; MC-130H; HC-130P; HC-130N; EC-130H; AC-130U","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-5db66b73a30c0cd4a5d1d30271e1b22c192552d3","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-cf65005fa7996c712b507fecd032d4404116c525"
"C-130H","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-2dfa3520e154ac0ac89b133dbfd28947b7442c46","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-1-7177beacb1c4e77c63d7dd2c86fa5ed517cb87bd"
"C-130H","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-b9d0b2122ff868480397bc437b61cac4f1f57778","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-2-5a7e3634f0778bdee4106d072ffa713c41956c34"
"AC-130W","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-9d059301b4043b1565730ce393b81646c1046e7f","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-3-a7ede7f3478d68aec34e7925116329681e77c1d0"
"AC-130W","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-c070ecad41af2793b99626d76001f6e5ef2aa3fb","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-4-58bfd1bb9b17cdc52d7ab4ed3aedf04c61016cb6"
"HC-130P/N","02f9169ee1de449fa830b4df8911aa841a24e8b2-0-b7eb33f9cab277ba91966910485b5f1234fd5896","02f9169ee1de449fa830b4df8911aa841a24e8b2","root.record.ItemExhibitList.P3AModificationItemGroup","02f9169ee1de449fa830b4df8911aa841a24e8b2-5-81e2cd340ef1b67b15dfee29949f80b94506175c"
"EC-130H","1942e49e381fa27eddd4b389f794a706edf1ac78-0-466326273f393671205f5f5ad3def1f7f53dad94","1942e49e381fa27eddd4b389f794a706edf1ac78","root.record.ItemExhibitList.P3AModificationItemGroup","1942e49e381fa27eddd4b389f794a706edf1ac78-0-f17fcab10b7800ded22cb7ea9cc5ad2978de53a2"
"TC-130H","1942e49e381fa27eddd4b389f794a706edf1ac78-1-409aaac2d2b306b4a29c35f668a416337187e025","1942e49e381fa27eddd4b389f794a706edf1ac78","root.record.ItemExhibitList.P3AModificationItemGroup","1942e49e381fa27eddd4b389f794a706edf1ac78-0-f17fcab10b7800ded22cb7ea9cc5ad2978de53a2"
"HC-130J","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-ea7d3f971077eded047c48f173c7cb0da328e475","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b","root.record.ItemExhibitList.P3AModificationItemGroup","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-261f7ead0630879138f3564455a485bc611d3ad5"
"HC-130J","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-022e386b2150b64eed62d2c3a883e8b102dda077","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b","root.record.ItemExhibitList.P3AModificationItemGroup","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-1-f282de2821b1d9981b2ac8478bb97e04830a3696"
"HC-130J","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-0-87f9652e81bfb82454230d082faf63a376b4ea38","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b","root.record.ItemExhibitList.P3AModificationItemGroup","4be1be1ba82c3732ae4cbbdb3fc2d7936b9ee02b-2-b5c4812a0848cca28f0ea5c885d5615e7f6a420b"
"B-1B","7e2d504f272ea9171443be3dc9442a9576121741-0-7afc1119bd86483f39b1ce2e0b6f34d1f08b1d27","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-0-146b9e6108c01fca677b139b92c53d25cfc7cdcd"
"B-1B","7e2d504f272ea9171443be3dc9442a9576121741-0-76aebe37c25bb9a13d91b083416ce6bf78298954","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-1-c58e2541aee749dbaf74c2910a48ee37c345c182"
"B-1B","7e2d504f272ea9171443be3dc9442a9576121741-0-6de3052d59a7067d8a44c7ab1a61273115c37cd5","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-2-55efe25a6bd98dd77988320d2d61da24203575e1"
"B-1B","7e2d504f272ea9171443be3dc9442a9576121741-0-05927040da8deea027d391a138eeb8b283b2fad0","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-3-7f071a6dcaad845f275e6521b564784941e38403"
"B-1B","7e2d504f272ea9171443be3dc9442a9576121741-0-2b96d9ed3b34ee9b3dcc47807cce437a1c252bf5","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-4-288af4639185fcec1de6260d0d76ba5938d4fc35"
"B1-B","7e2d504f272ea9171443be3dc9442a9576121741-0-2b3adb00f63c9f7fd1eaa76481b0d99ee350c40a","7e2d504f272ea9171443be3dc9442a9576121741","root.record.ItemExhibitList.P3AModificationItemGroup","7e2d504f272ea9171443be3dc9442a9576121741-5-841fc107b18fdf2116678c8ade2e250e5fa6e14d"
"C-130J","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-224993dc4ab5cd0db62f4821989d76989caa7f20","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb","root.record.ItemExhibitList.P3AModificationItemGroup","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-0ec44d8451c80681a5f6b1f70524f9b0d984f210"
"MULTI","d0c584f31e6951bf8391ccedb31e05542a53255a-0-98117633ce7669a79cba29984be87e4d50922e6d","d0c584f31e6951bf8391ccedb31e05542a53255a","root.record.ItemExhibitList.P3AModificationItemGroup","d0c584f31e6951bf8391ccedb31e05542a53255a-0-3c2eb36d07196626423f3cf1a47c474d26dabbb4"
"Sniper ATP-SE","d0c584f31e6951bf8391ccedb31e05542a53255a-0-18a5c3d8fe000568b36e54fba8ae6cca188e2435","d0c584f31e6951bf8391ccedb31e05542a53255a","root.record.ItemExhibitList.P3AModificationItemGroup","d0c584f31e6951bf8391ccedb31e05542a53255a-1-efac3903a9bd6e94f885b1002c4f5b1b4c22cb2a"
