"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","","","4","4","","","","","","","","1.997","1.997","","","","","19ae42ffdadf98fda4f6c7db5826edb465febfdf-0-d328a549d281c0ee7503250bf1c1149359b29224","19ae42ffdadf98fda4f6c7db5826edb465febfdf","root.record.ItemExhibitList.P5Item","19ae42ffdadf98fda4f6c7db5826edb465febfdf-2-04f0a6b61f021c0a28a97c9dc87fd874b8bd1c4c"
"Army Active","","","11","38","49","","","","","","0.053","3.716","4.18","7.896","","","","","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-0-0b8ec59f4a771ccd552ea071b3dc76a3f3aa75b7","21890a75ad7ddf3d0ff8e07fa3694eac5357446f","root.record.ItemExhibitList.P5Item","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-0-6c83e57d04daecb148364c0b4f4ec37e6bd5a47c"
"Army National Guard","","","","","","","","","","0.16","","","","","","","","","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-1-b3c4cbe68f3094946c5eb4c87c0dba7980d74ef5","21890a75ad7ddf3d0ff8e07fa3694eac5357446f","root.record.ItemExhibitList.P5Item","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-0-6c83e57d04daecb148364c0b4f4ec37e6bd5a47c"
"Army Active","","","","","","","","","","3.54","5.008","5.068","","5.068","","","","","23d41eaae50d250b4e794bdfa0b97e545a71b74a-0-ab366d8cf46e0f58291a29fe230195d9164d6b52","23d41eaae50d250b4e794bdfa0b97e545a71b74a","root.record.ItemExhibitList.P5Item","23d41eaae50d250b4e794bdfa0b97e545a71b74a-0-d9e3fff651f1e78b0a90c6a2274a820e99bca7a1"
"Army Active","","","16","","16","","","","","","","10.5","","10.5","","","","","25fb4c27bef715e57073b03ea081da778e2833f7-0-9b00aac49dd47c7ac2faf70365064be7c24987aa","25fb4c27bef715e57073b03ea081da778e2833f7","root.record.ItemExhibitList.P5Item","25fb4c27bef715e57073b03ea081da778e2833f7-0-c5d3847c52a3247a4f09b9f170279c575c10c001"
"Army Active","","","","","","","","","","1.635","14.027","","","","","","","","2607cfa0e7fe0368bb66bdb36b630d4ffe47af11-0-3b32fa8a71bda4bf1fb78eb7fc3641a1dcb9ef47","2607cfa0e7fe0368bb66bdb36b630d4ffe47af11","root.record.ItemExhibitList.P5Item","2607cfa0e7fe0368bb66bdb36b630d4ffe47af11-0-79e2702ce82d21067b700141893161cfd9192c78"
"Army Active","","3","","","","","","","","","0.638","","","","","","","","27d04778c2c16e7b412c353909cd486244309464-0-797f62403dd4b1d69a3c650e379c4108ca96b053","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-0-4f3263a509c853c08e0c19c828fc97470e90955e"
"Army National Guard","15","18","","","","","","","","2.741","1.255","","","","","","","","27d04778c2c16e7b412c353909cd486244309464-1-49d3e38affec38aa9bcdf7378c5ba215d15f34cf","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-0-4f3263a509c853c08e0c19c828fc97470e90955e"
"Army Reserve","","3","","","","","","","","","0.638","","","","","","","","27d04778c2c16e7b412c353909cd486244309464-2-a613ca650f13445678351f434dbfcd13fa8639db","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-0-4f3263a509c853c08e0c19c828fc97470e90955e"
"Army National Guard","17","","","","","","","","","2.378","","","","","","","","","27d04778c2c16e7b412c353909cd486244309464-0-d2acee67093ddcfff8feac0f159d09050bfa3dd7","27d04778c2c16e7b412c353909cd486244309464","root.record.ItemExhibitList.P5Item","27d04778c2c16e7b412c353909cd486244309464-1-2c5d96ffdc23d2bb3d6d876769dd8fb144abedd9"
