"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","","","","","","","","","","","5.877","5.965","","5.965","","","","","9e9b2788d6bf985d4cc629c4764dfa6b0859761c-1-ac4f7ed47024ad4eba34b3710fad9f4ca91f281c","9e9b2788d6bf985d4cc629c4764dfa6b0859761c","root.record.ItemExhibitList.P5Item","9e9b2788d6bf985d4cc629c4764dfa6b0859761c-0-d50f703ca065652e44ff8273e97d4e4e43f975f0"
"Army Reserve","","","","","","","","","","","5.877","5.964","","5.964","","","","","9e9b2788d6bf985d4cc629c4764dfa6b0859761c-2-f70fdd81d4472c29299247d111fbe0b9ce44f4d8","9e9b2788d6bf985d4cc629c4764dfa6b0859761c","root.record.ItemExhibitList.P5Item","9e9b2788d6bf985d4cc629c4764dfa6b0859761c-0-d50f703ca065652e44ff8273e97d4e4e43f975f0"
"Army Active","","","","","","","","","","","","8.125","","8.125","","","","","a06dcdf5a349806d6b002ff97eae74ad7a766bb0-0-87eead716853e8d335c850eedee462716bc08764","a06dcdf5a349806d6b002ff97eae74ad7a766bb0","root.record.ItemExhibitList.P5Item","a06dcdf5a349806d6b002ff97eae74ad7a766bb0-0-bae836910712afaf2d1e6a10fd760db654e7162c"
"Army Active","92","108","80","","80","","","","","690.401","532.605","414.946","","414.946","","","","","a10ca2dd6dad2b5ca4b43b7d2fcc70f0770af267-0-e9242c8a0b976204c521acb9eadce2e8f927eb73","a10ca2dd6dad2b5ca4b43b7d2fcc70f0770af267","root.record.ItemExhibitList.P5Item","a10ca2dd6dad2b5ca4b43b7d2fcc70f0770af267-0-b0e37cf1aec4cc76c3740773a5dc5e3e5496d913"
"Air Force Active","","5","2","","2","","","","","0.907","46.73","24.606","","24.606","","","","","a5da9f672ab515531807b44ff4f470c8aafa2712-0-e7b9c796ded046a1459738f7f5e9d2c4f42052d9","a5da9f672ab515531807b44ff4f470c8aafa2712","root.record.ItemExhibitList.P5Item","a5da9f672ab515531807b44ff4f470c8aafa2712-0-c6bb4c0ed90bc2663c76cd8d2fd32ab1a39984e9"
"Air Force Active","","","","","","","","","","2.432","","","","","","","","","a5da9f672ab515531807b44ff4f470c8aafa2712-0-c5c13f11fa4dcd429a6a86de100231ba3f7f9b93","a5da9f672ab515531807b44ff4f470c8aafa2712","root.record.ItemExhibitList.P5Item","a5da9f672ab515531807b44ff4f470c8aafa2712-1-c089b370dba39e1329cb0316e38153aa019c629d"
"Air Force Active","","","","","","","","","","12.6","9.85","","","","","","","","a5da9f672ab515531807b44ff4f470c8aafa2712-0-4a4bee192be84ef20981267ca95dd6932ceb4492","a5da9f672ab515531807b44ff4f470c8aafa2712","root.record.ItemExhibitList.P5Item","a5da9f672ab515531807b44ff4f470c8aafa2712-2-1e3d2715bc678abc03751d8d371e506bcec4d7b3"
"Air Force Active","6","7","","","","","","","","2.492","3.054","0","0","0","","","","","a5da9f672ab515531807b44ff4f470c8aafa2712-0-2969ee295fd336bf56a89201d42dae0246fe5fa0","a5da9f672ab515531807b44ff4f470c8aafa2712","root.record.ItemExhibitList.P5Item","a5da9f672ab515531807b44ff4f470c8aafa2712-3-3c7e469a2ca54c2ce00ef5b0efeecc29f8978101"
"Army Active","","","","","","","","","","4.334","13.279","14.652","","14.652","","","","","a6b2698435129cb58a18c0532752c908ad38d887-0-f9404c61c8173d2f31ef16cc3100e2e727d5779e","a6b2698435129cb58a18c0532752c908ad38d887","root.record.ItemExhibitList.P5Item","a6b2698435129cb58a18c0532752c908ad38d887-0-bce20a9cad6abd43431e9d05a9afb75a8c55a0f1"
"Army National Guard","","","","","","","","","","","3.248","1.036","","1.036","","","","","a6b2698435129cb58a18c0532752c908ad38d887-1-367f556aa6cf0084a73e1c1b3cd9099a0aaa9fc7","a6b2698435129cb58a18c0532752c908ad38d887","root.record.ItemExhibitList.P5Item","a6b2698435129cb58a18c0532752c908ad38d887-0-bce20a9cad6abd43431e9d05a9afb75a8c55a0f1"
"Army Reserve","","","","","","","","","","","1.624","0.518","","0.518","","","","","a6b2698435129cb58a18c0532752c908ad38d887-2-6831481e6d2e90f035042962b82ce7706263cde5","a6b2698435129cb58a18c0532752c908ad38d887","root.record.ItemExhibitList.P5Item","a6b2698435129cb58a18c0532752c908ad38d887-0-bce20a9cad6abd43431e9d05a9afb75a8c55a0f1"
"Army Active","","","","","","","","","","3.377","41.113","45.464","","45.464","","","","","a6b2698435129cb58a18c0532752c908ad38d887-0-c8c703dd63c6e2d2106233d774a3cdd91b41fe2d","a6b2698435129cb58a18c0532752c908ad38d887","root.record.ItemExhibitList.P5Item","a6b2698435129cb58a18c0532752c908ad38d887-1-901680da759fdaa5fa6c155ce81228bf4f1da634"
"Army National Guard","","","","","","","","","","","","0.142","","0.142","","","","","a6b2698435129cb58a18c0532752c908ad38d887-1-fcab31f31b3f64ca79f464ef52d760aec5a58ae1","a6b2698435129cb58a18c0532752c908ad38d887","root.record.ItemExhibitList.P5Item","a6b2698435129cb58a18c0532752c908ad38d887-1-901680da759fdaa5fa6c155ce81228bf4f1da634"
"Army Reserve","","","","","","","","","","","","0.072","","0.072","","","","","a6b2698435129cb58a18c0532752c908ad38d887-2-082fc4c110a87fe799f3fac99a8b2fcda7b0ac84","a6b2698435129cb58a18c0532752c908ad38d887","root.record.ItemExhibitList.P5Item","a6b2698435129cb58a18c0532752c908ad38d887-1-901680da759fdaa5fa6c155ce81228bf4f1da634"
"Army Active","","","","","","","","","","13.89","10.382","10.373","","10.373","","","","","a6b2698435129cb58a18c0532752c908ad38d887-0-71a20b4b55004be550195485c91264038dd23f51","a6b2698435129cb58a18c0532752c908ad38d887","root.record.ItemExhibitList.P5Item","a6b2698435129cb58a18c0532752c908ad38d887-2-62f79b5d896776c7ef8b1972ae21f8f11ede9b02"
"Army Active","","","","","","","","","","18.3","10.02","15.996","","15.996","","","","","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-0-91fcfd756805c116607ad6dac1e3f51f8619b7b6","a6f5959dc635f343e31dd47bbb89df8b0a9b6611","root.record.ItemExhibitList.P5Item","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-0-262a098fc7a6402feb87913528ad63bc7a6a6068"
"Army National Guard","","","","","","","","","","3","8.5","7.22","","7.22","","","","","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-1-cd6e3dcd51b24c570ad3cf83274c4938b076e77c","a6f5959dc635f343e31dd47bbb89df8b0a9b6611","root.record.ItemExhibitList.P5Item","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-0-262a098fc7a6402feb87913528ad63bc7a6a6068"
"Army Reserve","","","","","","","","","","1","","","","","","","","","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-2-fe75328f1ffe79c7c714392e5ee2774db1deaa47","a6f5959dc635f343e31dd47bbb89df8b0a9b6611","root.record.ItemExhibitList.P5Item","a6f5959dc635f343e31dd47bbb89df8b0a9b6611-0-262a098fc7a6402feb87913528ad63bc7a6a6068"
"Army Active","","","","","","","","","","31.868","22.654","25.597","","25.597","","","","","a801a414c837f237371d5923472e1c87ab0d996b-0-55d6645240f0736dbcc67b24b9e78748d386dac9","a801a414c837f237371d5923472e1c87ab0d996b","root.record.ItemExhibitList.P5Item","a801a414c837f237371d5923472e1c87ab0d996b-0-8e5b500fc78a78e87805f308c171f7954ad98cb1"
"Army Active","14","","5","","5","","","","","224.356","","73.495","","73.495","","","","","ac3b05ea1dd53601838e715692a947659a3ca593-0-19d7f36746c6bb6f092af7b5dd1e5f332c885deb","ac3b05ea1dd53601838e715692a947659a3ca593","root.record.ItemExhibitList.P5Item","ac3b05ea1dd53601838e715692a947659a3ca593-0-1f162e535dd2edd789a9bffae7f9000c6a5416ae"
"Army National Guard","6","9","10","","10","","","","","124.201","159.05","143.884","","143.884","","","","","ac3b05ea1dd53601838e715692a947659a3ca593-1-e5e56647f862d8f32b772a763218bd8395b9844d","ac3b05ea1dd53601838e715692a947659a3ca593","root.record.ItemExhibitList.P5Item","ac3b05ea1dd53601838e715692a947659a3ca593-0-1f162e535dd2edd789a9bffae7f9000c6a5416ae"
"Army Active","50","228","46","","46","","","","","7.838","13.923","2.714","","2.714","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-0-810fdd75559d1acffc7978d540dd01214fc8d14c","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root.record.ItemExhibitList.P5Item","acd64bed0d74e695e370457cdfb4c53ec3a0891b-0-99abd68d4cda5964c1a339491ee12e4d37bffec4"
"Army National Guard","50","216","198","","198","","","","","7.838","12.406","11.65","","11.65","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-1-0a63927ce371af786765f121f8afe06e2b4f4952","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root.record.ItemExhibitList.P5Item","acd64bed0d74e695e370457cdfb4c53ec3a0891b-0-99abd68d4cda5964c1a339491ee12e4d37bffec4"
"Army Reserve","","7","30","","30","","","","","","0.4","1.77","","1.77","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-2-a4838b83c1fc0ec70098f4c2abf0711f3b1d1001","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root.record.ItemExhibitList.P5Item","acd64bed0d74e695e370457cdfb4c53ec3a0891b-0-99abd68d4cda5964c1a339491ee12e4d37bffec4"
"Army Active","92","26","67","","67","","","","","5.873","2.351","6.099","","6.099","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-0-d5a5c8c722fb5244c4089a100f5e1dcf3f3b8e78","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root.record.ItemExhibitList.P5Item","acd64bed0d74e695e370457cdfb4c53ec3a0891b-1-9279f9233f17f2095f9741235cc6d83a9d25816d"
"Army National Guard","189","82","62","","62","","","","","19.086","7.327","5.6","","5.6","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-1-3210047802b69fbe2364115100da804b371200d1","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root.record.ItemExhibitList.P5Item","acd64bed0d74e695e370457cdfb4c53ec3a0891b-1-9279f9233f17f2095f9741235cc6d83a9d25816d"
"Army Reserve","35","30","30","","30","","","","","1.653","2.67","2.73","","2.73","","","","","acd64bed0d74e695e370457cdfb4c53ec3a0891b-2-43897feed22febcf1f3cac45fef3e011ca634503","acd64bed0d74e695e370457cdfb4c53ec3a0891b","root.record.ItemExhibitList.P5Item","acd64bed0d74e695e370457cdfb4c53ec3a0891b-1-9279f9233f17f2095f9741235cc6d83a9d25816d"
"Army Active","","","","","","","","","","2.167","","","","","","","","","acdc58f463674ab5125939a07f7a874bb9bec419-0-8392aab1a9277e100736581b57c65538cf6b7854","acdc58f463674ab5125939a07f7a874bb9bec419","root.record.ItemExhibitList.P5Item","acdc58f463674ab5125939a07f7a874bb9bec419-0-f803f8fe3e27cc2e08fd3a077859e1f714058149"
"Army National Guard","","","","","","","","","","2.44","","","","","","","","","acdc58f463674ab5125939a07f7a874bb9bec419-1-796445882fc334d312d1e7a5a54d8e6b25561419","acdc58f463674ab5125939a07f7a874bb9bec419","root.record.ItemExhibitList.P5Item","acdc58f463674ab5125939a07f7a874bb9bec419-0-f803f8fe3e27cc2e08fd3a077859e1f714058149"
"Army Active","","","","","","","","","","29.795","28.913","16.082","","16.082","","","","","aeb7836eb2a9c26bd752dfa4f49ef85cce1fbaf8-0-b96faac72d446a9a996b3a332186d4d94a09faf3","aeb7836eb2a9c26bd752dfa4f49ef85cce1fbaf8","root.record.ItemExhibitList.P5Item","aeb7836eb2a9c26bd752dfa4f49ef85cce1fbaf8-0-7341d7a424a018aa0f33dc4be9b7d31e613ab877"
"Army Active","","","","","","","","","","8.505","","","","","","","","","aef64f2b2cc99fa8774aad42d2b735204847bc1e-0-bd549777aae782730f0e03143094140bbd46dec6","aef64f2b2cc99fa8774aad42d2b735204847bc1e","root.record.ItemExhibitList.P5Item","aef64f2b2cc99fa8774aad42d2b735204847bc1e-0-fca9489d2f49ea8dcc5e29a6533240dba542dd16"
"Army Active","","","","","","","","","","14.596","5.442","21.516","","21.516","","","","","aef64f2b2cc99fa8774aad42d2b735204847bc1e-0-3e17999a80b9b67483fa481ae479bcdd50a33cf3","aef64f2b2cc99fa8774aad42d2b735204847bc1e","root.record.ItemExhibitList.P5Item","aef64f2b2cc99fa8774aad42d2b735204847bc1e-1-31990268660af612263d47477cf4763b9467e497"
"Army Active","","","2","","2","","","","","","","2.662","","2.662","","","","","afad1381e4feb30875ccc29780cda9ec37ea7dbd-0-e957022f145e57cc1a15f9e30b46d333545379a3","afad1381e4feb30875ccc29780cda9ec37ea7dbd","root.record.ItemExhibitList.P5Item","afad1381e4feb30875ccc29780cda9ec37ea7dbd-0-8f8d4d8148279d7872d5e5692366fd4906b4fdde"
"Army National Guard","","","1","","1","","","","","","","1.353","","1.353","","","","","afad1381e4feb30875ccc29780cda9ec37ea7dbd-1-1dc62301229284dfe0b6832eeb8494500771100b","afad1381e4feb30875ccc29780cda9ec37ea7dbd","root.record.ItemExhibitList.P5Item","afad1381e4feb30875ccc29780cda9ec37ea7dbd-0-8f8d4d8148279d7872d5e5692366fd4906b4fdde"
"Army Reserve","","1","1","","1","","","","","","1.435","1.353","","1.353","","","","","afad1381e4feb30875ccc29780cda9ec37ea7dbd-2-90d480981b55e0788c292f3287fcbd33129ce075","afad1381e4feb30875ccc29780cda9ec37ea7dbd","root.record.ItemExhibitList.P5Item","afad1381e4feb30875ccc29780cda9ec37ea7dbd-0-8f8d4d8148279d7872d5e5692366fd4906b4fdde"
"Army Active","","","","","","","","","","13.992","7.054","9.203","","9.203","","","","","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-0-d173bd856e44e92067dd8314db8956cda52ea83e","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf","root.record.ItemExhibitList.P5Item","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-0-380cf02b23ab9b40f2097d84d9043f7fbb35d0ec"
"Army National Guard","","","","","","","","","","","4.4","2","","2","","","","","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-1-d8767c905b7cad8db0d8c2cf73ad9589e9df2a08","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf","root.record.ItemExhibitList.P5Item","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-0-380cf02b23ab9b40f2097d84d9043f7fbb35d0ec"
"Army Reserve","","","","","","","","","","","","2.25","","2.25","","","","","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-2-97061d816ca61c48f08bb50f122ae4c6e5170ee0","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf","root.record.ItemExhibitList.P5Item","b0225d6eaf5ea7e71b0497ddf9059ee130a07fcf-0-380cf02b23ab9b40f2097d84d9043f7fbb35d0ec"
"Army Active","38","50","79","","79","","","","","655.627","856.87","1303.574","","1303.574","","","","","b230e503cab545e740ad67c0aed66aa7190f6f12-0-2aa3807ff27525eb3575decf08372175487406a9","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Army National Guard","32","31","15","","15","","","","","573.35","508.285","259.45","","259.45","","","","","b230e503cab545e740ad67c0aed66aa7190f6f12-1-03efa2bdb8c451b5676e0fa80af4f3c7d4d0adee","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Army Reserve","","6","","","","","","","","","108.21","","","","","","","","b230e503cab545e740ad67c0aed66aa7190f6f12-2-77effb2b8e3d4b0d6d318716879d89660deae435","b230e503cab545e740ad67c0aed66aa7190f6f12","root.record.ItemExhibitList.P5Item","b230e503cab545e740ad67c0aed66aa7190f6f12-0-5cee3183ec94a106ce7ad3ccfe9b56a2c2ba9454"
"Army Active","","","62","","62","","","","","","","305.743","","305.743","","","","","b23b2049d1334e3450d243443f41558fd3bfc6d1-0-3f4a358325509b3f04556bc8d2eb81279a79fae0","b23b2049d1334e3450d243443f41558fd3bfc6d1","root.record.ItemExhibitList.P5Item","b23b2049d1334e3450d243443f41558fd3bfc6d1-0-2409a4c6171faa18f5ff4a52c8129f0db660fe27"
"Army Active","","50","","","","","","","","","11.127","","","","","","","","b4059eb0122517047f45edea99e01892d1f79289-0-b27ca348b6aeb9b29542aa16b2f5585be5a0dfc6","b4059eb0122517047f45edea99e01892d1f79289","root.record.ItemExhibitList.P5Item","b4059eb0122517047f45edea99e01892d1f79289-0-366fbbadbcec0cff19be4c78825355dc747d6aa2"
"Army National Guard","","17","","","","","","","","","4.08","","","","","","","","b4059eb0122517047f45edea99e01892d1f79289-1-16d4f1f53c225d9092ebf5f70ee9e1aba61d780b","b4059eb0122517047f45edea99e01892d1f79289","root.record.ItemExhibitList.P5Item","b4059eb0122517047f45edea99e01892d1f79289-0-366fbbadbcec0cff19be4c78825355dc747d6aa2"
"Army Reserve","","17","","","","","","","","","3.338","","","","","","","","b4059eb0122517047f45edea99e01892d1f79289-2-9e54a3abfcabaf0c2fd835c5a2251dbfddb653d2","b4059eb0122517047f45edea99e01892d1f79289","root.record.ItemExhibitList.P5Item","b4059eb0122517047f45edea99e01892d1f79289-0-366fbbadbcec0cff19be4c78825355dc747d6aa2"
"Army Active","","","20","","20","","","","","","","6.783","","6.783","","","","","b4059eb0122517047f45edea99e01892d1f79289-0-f513c3c8df1aaa2b10d8323d273b9b4d9795d307","b4059eb0122517047f45edea99e01892d1f79289","root.record.ItemExhibitList.P5Item","b4059eb0122517047f45edea99e01892d1f79289-1-30b80e32b47010cd7f66f26dc8ae3d7cbbf61e59"
"Army National Guard","","","10","","10","","","","","","","3.391","","3.391","","","","","b4059eb0122517047f45edea99e01892d1f79289-1-df1e6449f47d51729b13b91511c220b2bf1d552e","b4059eb0122517047f45edea99e01892d1f79289","root.record.ItemExhibitList.P5Item","b4059eb0122517047f45edea99e01892d1f79289-1-30b80e32b47010cd7f66f26dc8ae3d7cbbf61e59"
"Army Reserve","","","10","","10","","","","","","","3.391","","3.391","","","","","b4059eb0122517047f45edea99e01892d1f79289-2-defd80d1ff81f55291370fcea6ed78414057d8fd","b4059eb0122517047f45edea99e01892d1f79289","root.record.ItemExhibitList.P5Item","b4059eb0122517047f45edea99e01892d1f79289-1-30b80e32b47010cd7f66f26dc8ae3d7cbbf61e59"
"Army Active","18","32","","","","","","","","5.117","6.389","3.265","","3.265","","","","","b6724de9265ac32f1703c4c7323a8d44a0deff42-0-f10368ecc9f42e1341824a4b9fee6f0183539c12","b6724de9265ac32f1703c4c7323a8d44a0deff42","root.record.ItemExhibitList.P5Item","b6724de9265ac32f1703c4c7323a8d44a0deff42-0-576ef0b598bd329a67defcbbff0dc2f235611b60"
"Army National Guard","","2","","","","","","","","2.419","1.888","3.264","","3.264","","","","","b6724de9265ac32f1703c4c7323a8d44a0deff42-1-757c20a23547f63c838a361ee81696ff27ebd0ec","b6724de9265ac32f1703c4c7323a8d44a0deff42","root.record.ItemExhibitList.P5Item","b6724de9265ac32f1703c4c7323a8d44a0deff42-0-576ef0b598bd329a67defcbbff0dc2f235611b60"
"Army Reserve","","2","","","","","","","","2.419","1.888","3.264","","3.264","","","","","b6724de9265ac32f1703c4c7323a8d44a0deff42-2-7e560891d37213482794e1a7acc1392d92d6136a","b6724de9265ac32f1703c4c7323a8d44a0deff42","root.record.ItemExhibitList.P5Item","b6724de9265ac32f1703c4c7323a8d44a0deff42-0-576ef0b598bd329a67defcbbff0dc2f235611b60"
"Army Active","15","7","","","","","","","","62.951","36.583","2.975","","2.975","","","","","b83c0dc1edb4d29995aa8cfb0c32f6cac99289aa-0-c2a1bf982e9bcbe130d92357959655b7b803a812","b83c0dc1edb4d29995aa8cfb0c32f6cac99289aa","root.record.ItemExhibitList.P5Item","b83c0dc1edb4d29995aa8cfb0c32f6cac99289aa-0-9af14789d4d6a74184febfe8193d2acc607aa966"
"Army Active","6","10","14","","14","","","","","94.192","98.314","72.277","","72.277","","","","","b9915cf7cad58a5437c2cf090c000a01728c609e-0-d5097147d26ab866a59e8aee4eb2d4841dc29f4c","b9915cf7cad58a5437c2cf090c000a01728c609e","root.record.ItemExhibitList.P5Item","b9915cf7cad58a5437c2cf090c000a01728c609e-0-65789e6fd989297540decc139396672e1b40835a"
"Army National Guard","","3","7","","7","","","","","","27.836","22.268","","22.268","","","","","b9915cf7cad58a5437c2cf090c000a01728c609e-1-74167485fc855139422f5b7c7f92aba4a1b8131d","b9915cf7cad58a5437c2cf090c000a01728c609e","root.record.ItemExhibitList.P5Item","b9915cf7cad58a5437c2cf090c000a01728c609e-0-65789e6fd989297540decc139396672e1b40835a"
"Army Reserve","","1","","","","","","","","","1.082","","","","","","","","b9915cf7cad58a5437c2cf090c000a01728c609e-2-d332150d3250cdf8f9df30c8524af048306fdb49","b9915cf7cad58a5437c2cf090c000a01728c609e","root.record.ItemExhibitList.P5Item","b9915cf7cad58a5437c2cf090c000a01728c609e-0-65789e6fd989297540decc139396672e1b40835a"
"Army Active","","498","","","","","","","","18.553","16.671","2.224","","2.224","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-baf6118179e28c6f02870efe1c1fe1c2df4a21ef","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-6c56c095798f9c4d65d4a02051984b6aeabfa956"
"Army National Guard","","925","","","","","","","","","30.96","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-abbef84a6d6d74c87302323cbb4d3c65d34a6980","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-6c56c095798f9c4d65d4a02051984b6aeabfa956"
"Army Active","20","897","1720","","1720","","","","","0.143","8.704","10.242","","10.242","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-45efde5d5d6eac4fbeb2b5ff0b71b09d0d114191","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-3c6ec15a7d16209f049cd99a53bd2f8c16af3e26"
"Army National Guard","","471","894","","894","","","","","","4.842","5.713","","5.713","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-c5715ebc68b497b0adad7ba0d07a13457b4a0f4c","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-3c6ec15a7d16209f049cd99a53bd2f8c16af3e26"
"Army Reserve","","261","486","","486","","","","","","2.512","2.897","","2.897","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-2-863d046ba85564093f66d1c32e5204083e79c77b","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-3c6ec15a7d16209f049cd99a53bd2f8c16af3e26"
"Army Active","","","1052","","1052","","","","","","","31.628","","31.628","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-0e832b60d994eefe72f24125095fe06e10f150dd","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-2-33851f5bd5cb3cca1b0590c2f5b2e3bbac0f0c93"
"Army National Guard","","","564","","564","","","","","","","17.105","","17.105","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-dda1e48bd58ca22a30049c120db8ca504c0720b9","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-2-33851f5bd5cb3cca1b0590c2f5b2e3bbac0f0c93"
"Army Reserve","","","382","","382","","","","","","","11.378","","11.378","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-2-b3b2f8581cab82d5fc70b25ecec4b394db9a4d7c","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-2-33851f5bd5cb3cca1b0590c2f5b2e3bbac0f0c93"
"Army Active","","","379","","379","","","","","","","17.816","","17.816","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-4a7eeff584deafc9db466fc31e9b0f4a469a1cf4","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-3-b6a572bff1dc9d81f49eae35c495afc368313320"
"Army National Guard","","","705","","705","","","","","","","34.554","","34.554","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-cafe52cf3723b8a59aafc1406e1b6e58cf7bfaf5","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-3-b6a572bff1dc9d81f49eae35c495afc368313320"
"Army Reserve","","","18","","18","","","","","","","1.139","","1.139","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-2-60db7fb521a5593e42fef31da81d38898be7cd99","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-3-b6a572bff1dc9d81f49eae35c495afc368313320"
"Army Active","","","158","","158","","","","","","","13.451","","13.451","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-43866c035bb6498a80d7f83f49c2826e45597f05","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-4-4c4a8a3881158b6af09c91b5cf643da417ee666f"
"Army Reserve","","","138","","138","","","","","","","11.929","","11.929","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-cb196497ea0e12e8e61180219ca8cf6daf2d18a5","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-4-4c4a8a3881158b6af09c91b5cf643da417ee666f"
"Army Active","215","368","","","","","","","","20.259","16.833","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-0-ba499b3159228ebbe171b45fae2968476865821e","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-5-1affbdb174b35de19cb975a47d71422d99cd911d"
"Army National Guard","","681","","","","","","","","","31.26","","","","","","","","b99df48762312448f73dd6b18a6d0f3e43eed8fd-1-b68dc4fbfde6937c02557d78627155c3be39a5f7","b99df48762312448f73dd6b18a6d0f3e43eed8fd","root.record.ItemExhibitList.P5Item","b99df48762312448f73dd6b18a6d0f3e43eed8fd-5-1affbdb174b35de19cb975a47d71422d99cd911d"
