"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","","","1.31","1.31","10.97","11.299","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-5395f43f4a8cc929da0b0cde8fbcff41e9a43fe6","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e4765b66cf2a00e35a8b05ce1be1d7d80d703817"
"Air Force Active","","","","","0.719","8.322","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-d3db5f94241934444fd1748e05dca0f954e0cae6","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-2d1f0ee2576918e5b9686e3479e4c5afed4cb500"
"Air Force Active","","5.745","6.605","6.605","9.664","9.304","21.532","27.813","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-efb798fc6f43cc0d11d7c3b0415b6a135f64fefc","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e5692b0a236391d8a62959dbbdc236bcef0e7330"
"Air Force Active","4.226","3.824","4.553","4.553","3.302","3.302","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-01611ca5de28a61881cecef7f892535609433cd0","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-d99f9ce800fb29f877e31dcd776d73764bbe8011"
"Air Force Active","46.2","","","","","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-a8f2d8899ec8037ff3196442c5b03540847a483e","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-d55d8db8ccbc9e94b0b37d88ffe085e0e25231a8"
"Air Force Active","6.275","2.006","6.415","6.415","6.575","7.715","7.862","8.009","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-0a3d1bca6141fecfac09f554d6016c7b71f9d874","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-ffa5e6babb0364476841e78ff992aa99d92252be"
"Air National Guard","22.418","","","","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-986800c74918b70ea04e8502b21e38f4c8ad55ab","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-6ed1bed2913fa871cafd1c318a540eb4a155c82d"
"Air Force Active","53.658","60.793","37.611","37.611","39.951","47.86","43.967","31.137","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-9414a8e2018f38f69b55c9284e10f3c816139f4d","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-9048bf3649287a2926cc917aaecd8af4d35cbbb6"
"Air National Guard","8.812","6.836","6.637","6.637","5.671","3.12","2.025","2.166","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-f6accc409eaddba289c459b04381265f99303aab","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-9048bf3649287a2926cc917aaecd8af4d35cbbb6"
"Air Force Active","7.427","18.666","12.155","12.155","11.73","24.923","27.288","22.692","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-bc9066cc689282ba4b58478f9dce07f87fc6f3cf","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-5efd8c37fa91f344cfe7e4c492b90dda6dba6b8b"
