"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","1","1.035","1","1.205","1","2.821","1","2.821","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-6f471cac56500bb17c7380375da7e5c69b5bdf57","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-1-8b5c385f57770f3b3cf1fc801ef1d0c4199e7263"
"Air Force Active","1","1.741","1","0.692","1","0.705","1","0.705","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-2f945b980f13ab1c1493f871ae9bd99ca93b12e5","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-ceb68333190ad78371938428d87647387367c049"
"Air Force Active","","0.000","","2.317","","0.562","","0.562","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-a4667d83202cb50a6d9daccb118288ea8541f46d","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-fe1b42ab3f9aa8fb8f10efbc746a5d2205f2dc80"
"Air Force Active","","0.48","","0.485","","2.883","","2.883","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-13805fafa1e14756ed806acdb9837756e92f007b","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-1-7213a8f1a0a210709162b67e1d1353611acbe8c6"
"Air Force Active","","7.497","","1.586","","1.639","","1.639","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-a34aacaa3cae93a082ecb7ce93364bdc39f0e0ac","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-86ddc43d54aff9ffef4c149c0f9f455e1f15b699"
"Air Force Active","","1.384","","1.429","","1.45","","1.45","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-26607f4680d8ef39a655714614b96a1854ab6eb0","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-1-6e7276d8248a1826f2260c2f17d9b6e86dc2d85c"
"Air Force Active","1","1.348","1","1.511","1","1.815","1","1.815","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-a435f1a547817f3307843f6e4094b428508b41f5","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-2-5e5be228c70cad7553c35a30c5b106d3bd3c954e"
"Air Force Active","1","0.92","1","0.1","","0.102","","0.102","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-e9c60dfda1c6248adb909fb1bd216fc25be5e6f9","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-005a930f83edc449b31baad7a8ee9dd9529ff421"
"Air Force Active","","0.000","1","5","1","4.2","1","4.2","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-8cc33ecbee87a8381f0e47b22e6e8db419468f80","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-e62af38115a162f9d7e01b69cee786eeda7013ad"
"Air Force Active","","0.000","1","24.76","","0.000","","0.000","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-678f841c903835641cca3c784eeeae0286624482","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-c8c9b5bd2265b147baeb83085f1ec34b75706382"
"Air National Guard","","0.000","1","2","","0.000","","0.000","","","","","","","","","","","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-ff303caf025a41753cc335c2997592e973819768","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-4918454e5fa526bba615a04a833f6f4c2e0b5335"
"Air Force Active","7","5.637","12","11.4","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-6ce714776485759b260749b2d0ed944e9e6ead96","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-df9110e0e904791f0690597562f9c85c6401c14f"
"Air Force Active","","","2","0.94","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-34e7b5202791bb6ae8df97366573fd7f0a8a0248","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-2c8ce9f3043e043ca5056c449a81de54f41a0b8d"
"Air Force Reserve","","","2","0.94","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-1-bc2669331decbfbe8e21eef198923f39e7ab912b","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-2c8ce9f3043e043ca5056c449a81de54f41a0b8d"
"Air Force Active","","","","","170","8.443","170","8.443","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-26c73efcc6c5878735a0cbdaa389e31658213bc8","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-1-9905c0316d877e81c32002ec2214ad687d4313dd"
"Air Force Reserve","","","","","8","0.397","8","0.397","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-1-456eb81f6643691f0d640bac2eda94e2dea0ea2e","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-1-9905c0316d877e81c32002ec2214ad687d4313dd"
"Air National Guard","","","","","10","0.497","10","0.497","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-2-1fd2dce32d24e783df4aeb6698c61e2b82788dae","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-1-9905c0316d877e81c32002ec2214ad687d4313dd"
"Air Force Active","","","","","","0.05","","0.05","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-96f5fce385ef03b8dcce86c269e51f4cf1a32f7b","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-2-002ec7818c5e3a79da68a0f3d92e7d6470f08d8b"
"Air Force Active","","","1","3.178","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-e9cfbe18a957d5f2a0c85e1911f13b2fc23070c3","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-00f025654a7472a3b3f091c2193fa439d464581b"
"Air Force Active","","","","","","0.076","","0.076","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-26abb0e647bb64e956ad990d68d86c7c58b637c0","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-1-23700c049909d4c920ffe75bed9b80902301814e"
"Air Force Active","70","1.023","70","0.832","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-40f5c43e137172b001ee9dfa146cd06c2ad96826","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-2-e647d4e760fa966bc7bcc5c5eb754c93349d11e8"
"Air Force Active","","1.045","","1.045","","0.02","","0.02","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-82490791afa722ca7bc7f7dd6e9059621af1c974","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-3-dd97bbe5bbb54be4161dd2fc645586c70107f5d4"
"Air Force Active","3","0.888","1","0.473","18","2.167","18","2.167","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-4adaf9eb4ae2df0b20e59b05da886aaa9a2b90c6","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-4-186ffa88485c498ca59fa0ffb9f7414dd7987584"
"Air Force Active","","","","","8","0.293","8","0.293","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-bfd14f4abad49ed6c2430ed500e7718f1a0e81ca","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-5-adb28b4eda68fb31d43fbf8b4b4fc35e5972a683"
"Air Force Active","13","3.092","2","0.561","12","1.893","12","1.893","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-eb7c22c23a38975c5b3733f5b3827ce2efffe042","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-6-7011a5866d8389cf77368d015f69949a07ea3147"
"Air Force Active","10","0.033","","","16","0.068","16","0.068","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-ce3ad06fa78bf12543e949f2baeffcc46fab536b","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-7-2d043f75310d32159d4d806123c4cec097620cbd"
"Air Force Active","","","","","12","3.174","12","3.174","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-333961de04a10be375d787e0345a95e8bd0c1e95","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-8-2546ca9d39325790de223807c795c1188fe01a33"
"Air Force Active","4","1.278","1","0.333","7","2.45","7","2.45","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-ee94c88cd896a99690660cecad6e2a1fa9cd20e2","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-9-c86e52221bf07bc3d9afeeffc61eb5bb52c249b0"
"Air Force Active","1","0.014","","","4","0.084","4","0.084","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-c3606a79fe14bbccc60f922282dd106c654d0bf8","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-10-89b2c173d596dcc97721ea999acef187100d28f1"
"Air Force Active","","","1","0.578","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-c1720c03b6bfcb71f75284ac1ccff801b6444b36","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-11-e52921c13a69ae64474a144dc878377163781d87"
"Air Force Active","117","32.497","14","3.955","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-c08030b5be25939192e0f140ff7ed37b73858ca5","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-1b9d24357f9d069a28902c2766c79255fcb24ca4"
"Air Force Reserve","22","6.11","3","0.847","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-1-a6c953bc3e1f188bf5228449707bac08dec34df4","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-1b9d24357f9d069a28902c2766c79255fcb24ca4"
"Air National Guard","40","11.11","8","2.26","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-2-dee1e91fe5f2918dec552a8ff751a3ca389423ac","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-1b9d24357f9d069a28902c2766c79255fcb24ca4"
"Air Force Active","","","","","","0.015","","0.015","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-53b047fd187891cd987591e96d34ee7ddf40f718","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-1-b5350aa31326508309eb4e7496a133c0ae597098"
"Air Force Active","1","9.5","","","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-c36042ee0f286f635d47c3356e09af40dbbaebb1","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-8b24718dcbac26776455757b4466e3908cb9e434"
"Air National Guard","","","","","1","0.361","1","0.361","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-d3049b38844afe5d0fb5eba44ae845cc14f46e9f","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-8482063cb9f226898a96c5cd423903975102a575"
"Air Force Active","","","","","1","0.05","1","0.05","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-365aa7a1735489ac511b4be122ed60e730cbff43","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-1-bd32ced0b1301755ede9a779e4fcfd22facf0f56"
"Air Force Active","5","12.722","3","7.8","","","","","","","","","","","","","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-0f8f61a489b06d4136323fa4d6a1c7e190bbf5ff","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","d0084e59e4867559e7ac78e9cf9ff395619df604-0-aa19a50f03d2f255afbf21a87f58de468a06619d"
"Air Force Active","","","9","1.636","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-4b8a2e2fb26da1c8a956d57ff4fdfa6d8d87c3e0","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-075b5e60c31babe04ec4084ee1e5924157f82101"
"Air Force Reserve","","","3","0.545","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-f6fd34f60ef94ae2cf69100be154ab9f895701ac","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-075b5e60c31babe04ec4084ee1e5924157f82101"
"Air National Guard","10","1.89","","","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-2-71e8ab3a68cf90688c9d6faa8866e0873f6f6ca0","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-075b5e60c31babe04ec4084ee1e5924157f82101"
"Air Force Active","","","6","1.111","4","0.796","4","0.796","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-638947871e2ba9cf0353b131cb160a0d937a06f7","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-d446c20281b42f5eb54c785b904a2a001c9742bb"
"Air Force Reserve","","","3","0.555","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-cf02beb2f70df867186950fa05cdb50ef7f66f89","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-d446c20281b42f5eb54c785b904a2a001c9742bb"
"Air Force Active","","","2","0.354","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-ee5f7de74240266d4343278792ae75d2946e1042","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-2-dd0e0131b2672cab9b1366ba0cf2bb531003bf68"
"Air Force Active","23","9.591","5","2.047","3","0.66","3","0.66","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-4e5f93289d71d026cc6e4a80ccae297aefe2ec54","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-3-77d3d54769c0f8269936e0c85e2b40af8e5181a9"
"Air National Guard","","","1","0.41","4","0.88","4","0.88","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-146a471a4b59d854b689496227f45df2ce710e4a","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-3-77d3d54769c0f8269936e0c85e2b40af8e5181a9"
"Air Force Active","","","7","1.356","9","1.581","9","1.581","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-04b3c53cec2d78f8640de5945b356d374ea11776","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-4-43b6859f73838f77b4ce4145c259cabcb78d6849"
"Air Force Reserve","","","","","3","0.527","3","0.527","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-24ad9d14061fdf8e1c3f9765ce447b7a8bc82dab","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-4-43b6859f73838f77b4ce4145c259cabcb78d6849"
"Air National Guard","","","8","1.55","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-2-e6c1af7acbd5556de1d516a78aa704b73b288eba","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-4-43b6859f73838f77b4ce4145c259cabcb78d6849"
"Air Force Active","","","2","1.648","2","1.13","2","1.13","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-ce5187b441dc48dcbd8b7f0a11dd4a02afdb2804","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-5-56338e6c5125335d22971f9bd53e6cfa91840c70"
"Air Force Active","19","3.203","19","2.964","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-2623eeaa88a5d47d6bc0ecda117b41c7b565c59e","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-6-c3a405c7f0dd43cd5d4a0c2f0730ac4b1560df9c"
"Air Force Reserve","","","7","1.092","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-39d833314f33ae96250f678ecc585baf9b3fb965","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-6-c3a405c7f0dd43cd5d4a0c2f0730ac4b1560df9c"
"Air Force Active","17","2.729","17","3.293","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-ac3e2c6461c3759571c3ee3685ce5aa141a97949","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-7-961319359b2dea63549063f4a5edce7d689f157e"
"Air Force Active","13","0.584","19","0.655","19","0.713","19","0.713","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-1a76682556bc41d0a204b9f98044e1fb4a376885","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-8-24eaa8e9dcbbf7400decf73a5b24a46f9ca761a5"
"Air National Guard","","","3","0.103","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-fbc3e9a2ce2598ed559a083e0d9aab93dfae8f1f","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-8-24eaa8e9dcbbf7400decf73a5b24a46f9ca761a5"
"Air Force Active","","","5","0.167","4","0.144","4","0.144","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-06c650ad78ec93f3537c3a81476883d5c1ec7611","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-9-7678b15430a5b875fc677194e1f3cfbc19b33737"
"Air Force Active","5","0.305","10","0.677","13","1.151","13","1.151","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-7d653457c7810358ac981395fe751f6725f07310","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-10-297fa7a113613ad738f3efc757afffbb57439ee9"
"Air Force Reserve","","","1","0.068","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-92672eb1afdc146d82d37d8449473038f07fc1ea","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-10-297fa7a113613ad738f3efc757afffbb57439ee9"
"Air National Guard","1","0.061","3","0.203","","","","","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-2-c00e19eecf7f09e5ca4ada595cd206657655584e","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-10-297fa7a113613ad738f3efc757afffbb57439ee9"
"Air Force Active","","","4","0.04","1","0.2","1","0.2","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-9f9aff648e876ca8b7cc307f413bb635bf1eb1f0","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-11-2e787052832a0a10ebeb7ecd8258544be93cf754"
"Air Force Active","2","0.019","6","0.041","30","0.222","30","0.222","","","","","","","","","","","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-e9e1a2f33f1cd01b19a2bc485754f4bfdc3ce7c9","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-12-40910ea19626165845cb393ee32979e50b39287b"
