"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Reserve","4","24","16","","16","11","25","55","44","1.232","4.826","3.156","","3.156","2.245","5.329","11.879","9.63","","","","","","","","","9351f8594bbab6da97ee94e4fa3ae8ba62c9e6bd-2-c71dba1040a9a4c23b00205eae1ceabe1cd7f040","9351f8594bbab6da97ee94e4fa3ae8ba62c9e6bd","root","9351f8594bbab6da97ee94e4fa3ae8ba62c9e6bd-cbdf8cc3383a9a56d525b91059db8cafd44dc06a"
"Army Active","45","","","","","","","","","1.826","3","","","","","","","","","","","","","","","","93eb665aefe4ed12ccabfad3ac44f30c9635eb96-0-a7421bbb26a3a05dc73693dcdb52eb1854aca6af","93eb665aefe4ed12ccabfad3ac44f30c9635eb96","root","93eb665aefe4ed12ccabfad3ac44f30c9635eb96-4d9885aee65e42111adc954cfe900e4a2f845482"
"Army National Guard","25","","","","","","","","","5.37","","","","","","","","","","","","","","","","","93eb665aefe4ed12ccabfad3ac44f30c9635eb96-1-50ea01740b05c491b709f72a126040f2f65bf5f8","93eb665aefe4ed12ccabfad3ac44f30c9635eb96","root","93eb665aefe4ed12ccabfad3ac44f30c9635eb96-4d9885aee65e42111adc954cfe900e4a2f845482"
"Army Reserve","75","","","","","","","","","3.304","","","","","","","","","","","","","","","","","93eb665aefe4ed12ccabfad3ac44f30c9635eb96-2-01ebc54f2a3bc9fcf5e9c27855d778a850c087d0","93eb665aefe4ed12ccabfad3ac44f30c9635eb96","root","93eb665aefe4ed12ccabfad3ac44f30c9635eb96-4d9885aee65e42111adc954cfe900e4a2f845482"
"Army Active","","","","","","","","","","29.033","27.86","15.03","","15.03","13.918","41.519","103.351","101.82","","","","","","","","","94fd1fd3c2c7005f6978e13c41d204297ce379c0-0-81bdbddf071b280db3cf99cbaef2a86bd31c87e2","94fd1fd3c2c7005f6978e13c41d204297ce379c0","root","94fd1fd3c2c7005f6978e13c41d204297ce379c0-70a7ab3556cb9b1e8d706a594c7720feb19c6cb5"
"Army National Guard","","","","","","","","","","44.528","46.235","61.485","","61.485","37.099","50.29","45.717","89.632","","","","","","","","","94fd1fd3c2c7005f6978e13c41d204297ce379c0-1-cc0ee80e0a0a6b07f67c4726880a1527160eecc6","94fd1fd3c2c7005f6978e13c41d204297ce379c0","root","94fd1fd3c2c7005f6978e13c41d204297ce379c0-70a7ab3556cb9b1e8d706a594c7720feb19c6cb5"
"Army Active","","","","","","","","","","","1.25","","","","","","","","","","","","","","","","9540c2933128b21652e4980908d1bd8308a2645b-0-67b2fc09dfc910f0c60603f5f9197f72448d19e4","9540c2933128b21652e4980908d1bd8308a2645b","root","9540c2933128b21652e4980908d1bd8308a2645b-45ddf60b963869bf77172e461c490ee1c34c6b73"
"Air Force Active","","","","","","","","","","1.906","82.577","161.292","","161.292","","","","","","","","","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-7892795ad066ebf33a5d70a0651707e606d41d2d","968e3fc86a5aec93a38d2f8e0380880f966417d4","root","968e3fc86a5aec93a38d2f8e0380880f966417d4-5ea044aeb88decd1eea2fb8f418acd0138d04bfe"
"Air Force Reserve","","","","","","","","","","","8.226","18.856","","18.856","","","","","","","","","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-1-ff2e9144247dca577ef7930f0f24ef1a1d42b578","968e3fc86a5aec93a38d2f8e0380880f966417d4","root","968e3fc86a5aec93a38d2f8e0380880f966417d4-5ea044aeb88decd1eea2fb8f418acd0138d04bfe"
"Army Active","61","134","139","","139","94","68","71","68","6.788","13.61","16.269","","16.269","13.062","10.309","10.159","7.638","","","","","","","","","978ab7780d1bbbb60ed0fda9000597ce9a99e571-0-412a0a6a6b9939ee86098ec0a3068821499dd14d","978ab7780d1bbbb60ed0fda9000597ce9a99e571","root","978ab7780d1bbbb60ed0fda9000597ce9a99e571-fedcc48fc00176f4104ad49b6d9307a1ecf40ef4"
"Army National Guard","151","115","138","","138","96","73","73","67","16.988","16.376","17.714","","17.714","14.813","12.176","11.846","8.063","","","","","","","","","978ab7780d1bbbb60ed0fda9000597ce9a99e571-1-36e425701270c5cb57552873b9993d217b2a4a58","978ab7780d1bbbb60ed0fda9000597ce9a99e571","root","978ab7780d1bbbb60ed0fda9000597ce9a99e571-fedcc48fc00176f4104ad49b6d9307a1ecf40ef4"
"Army Reserve","65","56","59","","59","41","35","36","23","7.755","8.155","7.984","","7.984","6.953","5.989","5.612","3.795","","","","","","","","","978ab7780d1bbbb60ed0fda9000597ce9a99e571-2-5d33c8cb6df9b9ad69e62657cd03418835e25b78","978ab7780d1bbbb60ed0fda9000597ce9a99e571","root","978ab7780d1bbbb60ed0fda9000597ce9a99e571-fedcc48fc00176f4104ad49b6d9307a1ecf40ef4"
"Army Active","","","","","","","","","","","13.37","","","","5.856","0.992","","","","","","","","","","","97b62ad0e29d836cdcc284ca40049aa5c26ea18a-0-fd52197ada38ef4b0107ae55b27b942e4f7f7de6","97b62ad0e29d836cdcc284ca40049aa5c26ea18a","root","97b62ad0e29d836cdcc284ca40049aa5c26ea18a-6c4d66b6abb655609be5deeda81794f2e26fac47"
"Army National Guard","","","","","","","","","","","6.63","19.676","","19.676","13.368","","","","","","","","","","","","97b62ad0e29d836cdcc284ca40049aa5c26ea18a-1-c02b5c3beea767f6a39cae9667dcbdbaf85393fd","97b62ad0e29d836cdcc284ca40049aa5c26ea18a","root","97b62ad0e29d836cdcc284ca40049aa5c26ea18a-6c4d66b6abb655609be5deeda81794f2e26fac47"
"Army Reserve","","","","","","","","","","","","","","","0.51","","","","","","","","","","","","97b62ad0e29d836cdcc284ca40049aa5c26ea18a-2-288df9cd90c6114a19aa115a57660e194838d51d","97b62ad0e29d836cdcc284ca40049aa5c26ea18a","root","97b62ad0e29d836cdcc284ca40049aa5c26ea18a-6c4d66b6abb655609be5deeda81794f2e26fac47"
"Navy Active","","","","","","","","","","","","12.272","","12.272","30.244","58.597","49.919","50.867","","","","","","","","","97ce549bbac37d0e01edba34f15a73266f3b75a8-0-f6925aa8e459bb0a8f56641ae648341e9c932a1c","97ce549bbac37d0e01edba34f15a73266f3b75a8","root","97ce549bbac37d0e01edba34f15a73266f3b75a8-0dc024d2cc1cfd7bf479ebcc950c26661880f49a"
"Navy Reserve","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","97ce549bbac37d0e01edba34f15a73266f3b75a8-1-065cb7d7c362f12a4a746b9964f285812d5c8ada","97ce549bbac37d0e01edba34f15a73266f3b75a8","root","97ce549bbac37d0e01edba34f15a73266f3b75a8-0dc024d2cc1cfd7bf479ebcc950c26661880f49a"
"Army Active","9","13","","","","9","10","7","3","192.023","224.356","","","","121.889","137.191","95.179","71.199","","","","","","","","","97ea69fe8ac8985e9e589a0e7a21c2d7649472c0-0-1457bdd3a7d068538f30c0a03844719736b697f0","97ea69fe8ac8985e9e589a0e7a21c2d7649472c0","root","97ea69fe8ac8985e9e589a0e7a21c2d7649472c0-e399a1d2290844163763d038ab23409abf6d3c99"
"Army National Guard","6","6","13","","13","11","8","7","3","105.059","124.201","209.05","","209.05","152.228","106.752","107.755","87.888","","","","","","","","","97ea69fe8ac8985e9e589a0e7a21c2d7649472c0-1-27bd1559149a7190d0f3bac825d3d5d30c24bd57","97ea69fe8ac8985e9e589a0e7a21c2d7649472c0","root","97ea69fe8ac8985e9e589a0e7a21c2d7649472c0-e399a1d2290844163763d038ab23409abf6d3c99"
"Air Force Active","","","","","","","","","","157.617","83.528","81.626","","81.626","94.74","119.936","105.887","71.951","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b6b610bfa949e8f496b386eae351e592101c9d6d","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-56fc28368bb767642c0b5cb9c6def22a273d85cd"
"Air National Guard","","","","","","","","","","14.764","10.435","23.716","","23.716","","2.767","12.212","4.79","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-e501ff4e919e4d15ae06a0d176942518e8b117f6","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-56fc28368bb767642c0b5cb9c6def22a273d85cd"
"Air Force Reserve","","","","","","","","","","23.227","4.234","22.152","","22.152","0.207","0.638","0.47","8.414","","","","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-7d446c607ad204b3712bf6f1977e008bc3e9a7a5","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-56fc28368bb767642c0b5cb9c6def22a273d85cd"
"Army Active","","","","","","","","","","3.584","3.53","3.657","","3.657","3.779","3.894","4.011","4.092","","","","","","","","","986e4764897d7575c9534d0aa97f4741bbea1d2b-0-355997e4afbc0e4b984069afdacdb40079337845","986e4764897d7575c9534d0aa97f4741bbea1d2b","root","986e4764897d7575c9534d0aa97f4741bbea1d2b-a9d7972da70e2b0c66acfe8ff5f9e81fa03c2d44"
"Army Active","","","8","","8","7","6","6","5","","2.002","49.462","","49.462","43.931","34.03","37.267","27.6","","","","","","","","","98777000c61fb47e03ba95392e689afcee00c92d-0-425294ef2fc5dcb44f2add3bbbc49d37271d16b2","98777000c61fb47e03ba95392e689afcee00c92d","root","98777000c61fb47e03ba95392e689afcee00c92d-fd7edbded1951c7177dbbd469bb2335056c08fcc"
"Army National Guard","","","","","","","6","6","7","","","","","","","34.03","37.267","39.617","","","","","","","","","98777000c61fb47e03ba95392e689afcee00c92d-1-aa1de2d71daf95a8cc14f82885d5c01d4350f05f","98777000c61fb47e03ba95392e689afcee00c92d","root","98777000c61fb47e03ba95392e689afcee00c92d-fd7edbded1951c7177dbbd469bb2335056c08fcc"
"Army Reserve","","","","","","","3","8","6","","","","","","","21.231","44.967","32.6","","","","","","","","","98777000c61fb47e03ba95392e689afcee00c92d-2-19f0b6457de3de5e9983d76cb9dc49c1a318f0c5","98777000c61fb47e03ba95392e689afcee00c92d","root","98777000c61fb47e03ba95392e689afcee00c92d-fd7edbded1951c7177dbbd469bb2335056c08fcc"
"Army Active","1270","1360","1703","","1703","1830","1705","1575","2058","9","10.8","12.597","","12.597","13.218","13.808","13.98","15.284","","","","","","","","","98dbe6f0563abbdb545557fda5ca726538a532f0-0-d29ec30b4155a6eb7fd1fa149bde1d2cd48050ac","98dbe6f0563abbdb545557fda5ca726538a532f0","root","98dbe6f0563abbdb545557fda5ca726538a532f0-3067c0b2749c3c3685b784b7ede0c362646b1265"
"Army National Guard","9940","1052","1291","","1291","1291","1283","1431","1248","7.048","8.222","8.677","","8.677","8.484","8.322","8.687","9.898","","","","","","","","","98dbe6f0563abbdb545557fda5ca726538a532f0-1-c83684703d5dcca2509166b0e667ca9fc893cc8c","98dbe6f0563abbdb545557fda5ca726538a532f0","root","98dbe6f0563abbdb545557fda5ca726538a532f0-3067c0b2749c3c3685b784b7ede0c362646b1265"
"Army Active","","","2887","","2887","2847","7130","6977","6839","","0.3","2.358","","2.358","2.371","5.138","5.13","5.137","","","","","","","","","991c1de7b05c24a34bc8834cfee67d385956e265-0-3ef3ce068e45c92007068bc82d437bb1419b5800","991c1de7b05c24a34bc8834cfee67d385956e265","root","991c1de7b05c24a34bc8834cfee67d385956e265-045c5173d2f9def0bd36f7f1e6351a7d7c6cffcf"
"Army National Guard","","","1924","","1924","1898","4387","4293","4208","","","1.599","","1.599","1.599","3.202","3.202","3.202","","","","","","","","","991c1de7b05c24a34bc8834cfee67d385956e265-1-657f2f345dae55db0741ab9b8b368ad790bdd1f3","991c1de7b05c24a34bc8834cfee67d385956e265","root","991c1de7b05c24a34bc8834cfee67d385956e265-045c5173d2f9def0bd36f7f1e6351a7d7c6cffcf"
"Army Reserve","","","","","","","2194","2147","2104","","","","","","","1.593","1.593","1.593","","","","","","","","","991c1de7b05c24a34bc8834cfee67d385956e265-2-e4a6a702fbfbf1459591d680954a7ddc38cfa617","991c1de7b05c24a34bc8834cfee67d385956e265","root","991c1de7b05c24a34bc8834cfee67d385956e265-045c5173d2f9def0bd36f7f1e6351a7d7c6cffcf"
"Air Force Active","","","","","","","","","","13.633","5.392","14.486","","14.486","18.208","26.53","26.063","26.515","","","","","","","","","9993f851e250b0ffe32e61e2095e4dd533ab0ceb-0-184ee71a7f433fd5fb5f33d0b94e01bc33df1a94","9993f851e250b0ffe32e61e2095e4dd533ab0ceb","root","9993f851e250b0ffe32e61e2095e4dd533ab0ceb-032c107dd709a6dad422645689f3087a084463c4"
"Air Force Reserve","","","","","","","","","","0.000","","","","","","","","","","","","","","","","","9993f851e250b0ffe32e61e2095e4dd533ab0ceb-1-14026d8810567c0f0f82a83e66d2bd40b4126dac","9993f851e250b0ffe32e61e2095e4dd533ab0ceb","root","9993f851e250b0ffe32e61e2095e4dd533ab0ceb-032c107dd709a6dad422645689f3087a084463c4"
"Army Active","","","","","","","","","","1.372","1.427","1.008","","1.008","0.893","1.068","1.127","1.201","","","","","","","","","9aa0f453785ad8c91ecceb1ec0a9501c167be43c-0-e15514a8d405bf5cd38d0c2e794619e6ca04e919","9aa0f453785ad8c91ecceb1ec0a9501c167be43c","root","9aa0f453785ad8c91ecceb1ec0a9501c167be43c-1a854838dc5ce8e4dd3ce4f02ba5b73556a20909"
"Army Active","122","","","","","","","","","870.639","","","","","","","","","","","","","","","","","9ba20f5603ea860baedac903711feef8313b750e-0-3a7b641079504e26a8ee556c3566a94e0a675c88","9ba20f5603ea860baedac903711feef8313b750e","root","9ba20f5603ea860baedac903711feef8313b750e-de09bb55f55a00b932a98eb4ba59ca98cf52c8c4"
"Army Active","420","207","","","","","","","","35.51","12.496","2.113","","2.113","0.204","0.111","","0.003","","","","","","","","","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86-0-26a0eb6fa3b17384676ef0a9716e468ed3e65cb1","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86","root","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86-8d4c05ed9338af115ee0034532a625753efd5eab"
"Army National Guard","120","58","","","","","","","","1.086","0.499","","","","","","","","","","","","","","","","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86-1-622c1cb7a59cde9e9bbc216304caff1634d55df0","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86","root","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86-8d4c05ed9338af115ee0034532a625753efd5eab"
"Army Reserve","60","29","","","","","","","","0.543","0.25","","","","","","","","","","","","","","","","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86-2-860410efeae1de4da74d8ecdbdd5a6001a70b32c","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86","root","9e8e5f1b5a3a0378cc48e74f037aa94fcaa94d86-8d4c05ed9338af115ee0034532a625753efd5eab"
"Army Active","","","","","","","","","","","1.503","14.479","","14.479","3.906","","","","","","","","","","","","9f22884b731fb6b1e066bafa6bf57e0f08c18a59-0-6845f99238bc6913fb8380b6f0945babdc868f05","9f22884b731fb6b1e066bafa6bf57e0f08c18a59","root","9f22884b731fb6b1e066bafa6bf57e0f08c18a59-c9742fe468afc77875f7adbf32c14c158ee70e56"
"Army National Guard","","","","","","","","","","20.902","8.203","3.25","","3.25","","","","","","","","","","","","","9f22884b731fb6b1e066bafa6bf57e0f08c18a59-1-dd1b680ff06905e10921b710a44b5a1ffc2267bd","9f22884b731fb6b1e066bafa6bf57e0f08c18a59","root","9f22884b731fb6b1e066bafa6bf57e0f08c18a59-c9742fe468afc77875f7adbf32c14c158ee70e56"
"Army Reserve","","","","","","","","","","3.792","0.5","1.17","","1.17","","","","","","","","","","","","","9f22884b731fb6b1e066bafa6bf57e0f08c18a59-2-34076d04f3d5b514559c0858d337fc364f230575","9f22884b731fb6b1e066bafa6bf57e0f08c18a59","root","9f22884b731fb6b1e066bafa6bf57e0f08c18a59-c9742fe468afc77875f7adbf32c14c158ee70e56"
"Army Active","","","","","","","","","","24.967","","","","","","","","","","","","","","","","","a1228032b0b3222a5e6ee64aec87b003be0d758f-0-54c9c2306b0decf1eece46babc59ed0e0bd0d652","a1228032b0b3222a5e6ee64aec87b003be0d758f","root","a1228032b0b3222a5e6ee64aec87b003be0d758f-d0dfeff99d8695345808762ae1955cb479b46326"
"Air National Guard","","","","","","","","","","6.988","0.000","0.000","","0.000","0.000","0.000","0.000","0.000","","","","","","","","","a1abc12477c0aa99ae376fb34b656f04d59addb0-0-addd82d9a21b1687b3a5d12d97c7e37ef506f260","a1abc12477c0aa99ae376fb34b656f04d59addb0","root","a1abc12477c0aa99ae376fb34b656f04d59addb0-b3d1d17a5a122f241bfef29f6bdb41c329dd06d9"
"Army Active","4040","10972","6324","","6324","7376","6324","6324","6324","12.984","31.868","19.916","","19.916","21.809","20.176","20.462","20.867","","","","","","","","","a1b551729520fcc356ed2849ff54dfc6319bfbbd-0-209984ea4ed7693565c50d4d717b702a1465fe2f","a1b551729520fcc356ed2849ff54dfc6319bfbbd","root","a1b551729520fcc356ed2849ff54dfc6319bfbbd-b099481a7a4c21187f32e4501b78af487acd858d"
"Army National Guard","","","2020","","2020","","","","","","","4.438","","4.438","","","","","","","","","","","","","a1b551729520fcc356ed2849ff54dfc6319bfbbd-1-99b6a40f95ff25ed25b8de5b8f5bd4bcf492ea40","a1b551729520fcc356ed2849ff54dfc6319bfbbd","root","a1b551729520fcc356ed2849ff54dfc6319bfbbd-b099481a7a4c21187f32e4501b78af487acd858d"
