"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","21","","","","","","","","","10.035","","","","","","","","","","","","","","","","","a5bbe0d4a7ea89d1ca424a19027893886188c426-0-0e9ca4cd640fd209a72ba67242f1e4320e4b444d","a5bbe0d4a7ea89d1ca424a19027893886188c426","root","a5bbe0d4a7ea89d1ca424a19027893886188c426-8d5b3e000a479c71a45e41e7dc4587e344e5057a"
"Army Reserve","112","","","","","","","","","20.161","","","","","","","","","","","","","","","","","a5bbe0d4a7ea89d1ca424a19027893886188c426-1-4d48c23d4838a3c926bda0051ac4ef3555373fa4","a5bbe0d4a7ea89d1ca424a19027893886188c426","root","a5bbe0d4a7ea89d1ca424a19027893886188c426-8d5b3e000a479c71a45e41e7dc4587e344e5057a"
"Air Force Active","","","","","","","","","","0.243","5.219","4.592","","4.592","","","","","","","","","","","","","a5c892bb62578ce4b315d02ffaddfec7aa59123b-0-560b6264ef8e863384bb0f47187634a2d283c3aa","a5c892bb62578ce4b315d02ffaddfec7aa59123b","root","a5c892bb62578ce4b315d02ffaddfec7aa59123b-32f7a01bc227c42c5a968a7439059e0ec3fbc41d"
"Air National Guard","","","","","","","","","","","0.6","1.5","","1.5","","","","","","","","","","","","","a5c892bb62578ce4b315d02ffaddfec7aa59123b-1-7ba27f2ed184fe502418a8d5f9c3cc30c6f893c7","a5c892bb62578ce4b315d02ffaddfec7aa59123b","root","a5c892bb62578ce4b315d02ffaddfec7aa59123b-32f7a01bc227c42c5a968a7439059e0ec3fbc41d"
"Air Force Reserve","","","","","","","","","","","0.3","1.2","","1.2","","","","","","","","","","","","","a5c892bb62578ce4b315d02ffaddfec7aa59123b-2-0e846e571f313017c9e9440edb555bef3cfec12c","a5c892bb62578ce4b315d02ffaddfec7aa59123b","root","a5c892bb62578ce4b315d02ffaddfec7aa59123b-32f7a01bc227c42c5a968a7439059e0ec3fbc41d"
"Army Active","295","340","1924","","1924","1104","1696","890","1215","18.488","19.609","60.401","","60.401","40.772","58.501","66.792","101.262","","","","","","","","","a5cec9b2712d58230ae26dc707560265e4f7cf26-0-313ec3f0ea5547893f993ca05c1900b4fa8d212e","a5cec9b2712d58230ae26dc707560265e4f7cf26","root","a5cec9b2712d58230ae26dc707560265e4f7cf26-1cf7df117890f1d95cea5bef0d17a8929797f65e"
"Army National Guard","84","97","551","","551","314","484","253","346","4.51","1.328","6.163","","6.163","4.133","5.057","3.6","4.75","","","","","","","","","a5cec9b2712d58230ae26dc707560265e4f7cf26-1-712da4001b10aa9042ee885f36a3479971cf06fc","a5cec9b2712d58230ae26dc707560265e4f7cf26","root","a5cec9b2712d58230ae26dc707560265e4f7cf26-1cf7df117890f1d95cea5bef0d17a8929797f65e"
"Army Reserve","42","49","275","","275","157","242","127","173","1.504","0.664","3.082","","3.082","2.234","2.528","1.8","2.375","","","","","","","","","a5cec9b2712d58230ae26dc707560265e4f7cf26-2-b58dc0825a20cb1f7a8d9869858aa670357f6824","a5cec9b2712d58230ae26dc707560265e4f7cf26","root","a5cec9b2712d58230ae26dc707560265e4f7cf26-1cf7df117890f1d95cea5bef0d17a8929797f65e"
"Army National Guard","","","","","","","","","","3.674","","0.667","","0.667","","","","","","","","","","","","","a5d6404cad0564d18e33b30743f8199dfa887b2c-0-a664394a92d75fa2d7dde66f9e190e88313e98c5","a5d6404cad0564d18e33b30743f8199dfa887b2c","root","a5d6404cad0564d18e33b30743f8199dfa887b2c-cfb947c18a4a2f91f5f85d63bd36051c3770400d"
"Army Reserve","","","","","","","","","","","","","","","0.992","","","","","","","","","","","","a5d6404cad0564d18e33b30743f8199dfa887b2c-1-cdfaa3e323bd0d8e1430027e29b6a05184ac0fe0","a5d6404cad0564d18e33b30743f8199dfa887b2c","root","a5d6404cad0564d18e33b30743f8199dfa887b2c-cfb947c18a4a2f91f5f85d63bd36051c3770400d"
"Navy Active","","","","","","","","","","47.833","1.542","0.469","","0.469","6.864","7.103","7.885","10.18","","","","","","","","","a7ec33eaf55266c1d23648f25b13048ebf85d152-0-a429bd4c9f8d15ca91162dc9efa94d6b66313b6a","a7ec33eaf55266c1d23648f25b13048ebf85d152","root","a7ec33eaf55266c1d23648f25b13048ebf85d152-f5066e49b1a8edb61ef9d78034390f1618a22c3b"
"Navy Reserve","","","","","","","","","","","1.595","0.469","","0.469","1.206","1.037","0.5","0.511","","","","","","","","","a7ec33eaf55266c1d23648f25b13048ebf85d152-1-a12f7b7918b3aa9b2b6cb85001445384f4cd59f5","a7ec33eaf55266c1d23648f25b13048ebf85d152","root","a7ec33eaf55266c1d23648f25b13048ebf85d152-f5066e49b1a8edb61ef9d78034390f1618a22c3b"
"Army Active","","39","","","","","","","","","13.533","","","","","","","","","","","","","","","","a9320d09400a41bfafd14994bed48b8412ee3afe-0-33cfdbe1380f252f0d21372224f57683b74c002d","a9320d09400a41bfafd14994bed48b8412ee3afe","root","a9320d09400a41bfafd14994bed48b8412ee3afe-067967816f066a33f2432796ec905db92ba04282"
"Army Reserve","","9","14","","14","","","","","","3.468","4.938","","4.938","","","","","","","","","","","","","a9320d09400a41bfafd14994bed48b8412ee3afe-1-02703b30dd4eb662e69d55329b153405a6aaf7ab","a9320d09400a41bfafd14994bed48b8412ee3afe","root","a9320d09400a41bfafd14994bed48b8412ee3afe-067967816f066a33f2432796ec905db92ba04282"
"Army Active","509","116","1","","1","158","36","20","15","104.511","121.71","65.062","","65.062","83.273","77.616","106.763","52.427","","","","","","","","","aa69dae077347577955e34ea758c230593220cf2-0-9b138e0512d5137d41645a385fbddad388291a4b","aa69dae077347577955e34ea758c230593220cf2","root","aa69dae077347577955e34ea758c230593220cf2-3d54d8fd190c6c2eba71c2b266ccb9e6de1984f9"
"Army Active","3782","825","260","","260","554","660","475","455","19.109","6.994","7.388","","7.388","7.476","7.023","5.925","5.475","","","","","","","","","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-0-ae2d2f2a950da0ac45c294157f0278fe7a3ddd61","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d","root","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-73b8ff1f642165f4542b7462b4f0f39a9c7ec164"
"Army National Guard","3106","698","113","","113","471","640","453","434","15.482","8.587","7.067","","7.067","7.151","6.718","5.668","5.237","","","","","","","","","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-1-99b18fe5b95dde6689e6d38a81e8cafce676edba","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d","root","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-73b8ff1f642165f4542b7462b4f0f39a9c7ec164"
"Army Reserve","515","265","42","","42","127","155","102","99","2.694","3.174","1.606","","1.606","1.625","1.527","1.288","1.191","","","","","","","","","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-2-0a0e59a894498522c8f0170671d3bc1f1c75d8aa","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d","root","aaa64d1eb8c6a4788a3c0c692c450cc7d603444d-73b8ff1f642165f4542b7462b4f0f39a9c7ec164"
"Navy Active","","","","","","","","","","0.953","0.105","4.077","","4.077","29.729","24.919","0.564","0.022","","","","","","","","","aae1a1cb34f09e2d2e93cde12a101c87f07093e9-0-0e637d1615625b6de0fa868d4fc9cb0809a35ea6","aae1a1cb34f09e2d2e93cde12a101c87f07093e9","root","aae1a1cb34f09e2d2e93cde12a101c87f07093e9-69f6da76615a8af06ae6b610ad8ea3873ad00d8a"
"Navy Reserve","","","","","","","","","","4.496","","0.918","","0.918","","","","","","","","","","","","","aae1a1cb34f09e2d2e93cde12a101c87f07093e9-1-86c2b9203ef30b0f9128b138a60baf56131c6f47","aae1a1cb34f09e2d2e93cde12a101c87f07093e9","root","aae1a1cb34f09e2d2e93cde12a101c87f07093e9-69f6da76615a8af06ae6b610ad8ea3873ad00d8a"
"Army Active","","","","","","","","","","","5.183","","","","","","","","","","","","","","","","abd1f20f2264ff7d4d9fbce0c571f832e4e6b381-0-b305445101112f250c3c0564c624773a9fbcc0dd","abd1f20f2264ff7d4d9fbce0c571f832e4e6b381","root","abd1f20f2264ff7d4d9fbce0c571f832e4e6b381-383bfd0cc61093cb703044b001884fad7b4d5c72"
"Army Active","","8","66","","66","73","52","18","14","","1.333","2.5","","2.5","2.845","2.009","0.705","0.521","","","","","","","","","af15b0ebfc268a88902f64b19a50665a808109f3-0-c56445526169bede5ecb09fe3ad60cbedc5251e3","af15b0ebfc268a88902f64b19a50665a808109f3","root","af15b0ebfc268a88902f64b19a50665a808109f3-395f0589f388ae6613f58a86e2f67ec9a7a1c9be"
