"ItemList_Item","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_Quantity","CategorySubtotal_UnitCost","Name_val","Name_@footnote","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-068841e3428b869cd5392c05c5b7904b215abcf3-2-09408629c949e0696eeb795bb7275bf28ce2154a","","","","","","","","","","","","","","","","3) DC019 RADAR RESTORATION AN/SPS-67 ANTENNA","","","068841e3428b869cd5392c05c5b7904b215abcf3-2-306fa39f31393873a9c634c4e4719e8ce60b1b18","068841e3428b869cd5392c05c5b7904b215abcf3","root.record.ItemExhibitList.P40AItemGroup","068841e3428b869cd5392c05c5b7904b215abcf3-0-0aa040f786fee85d0921cc1ef9a2831d5074edfa"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-068841e3428b869cd5392c05c5b7904b215abcf3-3-cd6ab6fecd07f2a8f6c627832dfc494a552eb16c","","","","","","","","","","","","","","","","4) DC020 DUAL BAND RADAR (DBR)","","","068841e3428b869cd5392c05c5b7904b215abcf3-3-bef79e615f0b934be1c9196c7322351375b7eebc","068841e3428b869cd5392c05c5b7904b215abcf3","root.record.ItemExhibitList.P40AItemGroup","068841e3428b869cd5392c05c5b7904b215abcf3-0-0aa040f786fee85d0921cc1ef9a2831d5074edfa"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-068841e3428b869cd5392c05c5b7904b215abcf3-4-b8fb07f929b66016e28f60e0e6a9b5b09a8c3004","","","","","","","","","","","","","","","","5) DC021 AN/SPS-67(V)5 MARITIME RADAR PROCESSOR (MRP)","","","068841e3428b869cd5392c05c5b7904b215abcf3-4-8ee8a0b50842f49081c3f0eb43e8a888a6a080c0","068841e3428b869cd5392c05c5b7904b215abcf3","root.record.ItemExhibitList.P40AItemGroup","068841e3428b869cd5392c05c5b7904b215abcf3-0-0aa040f786fee85d0921cc1ef9a2831d5074edfa"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-074b8262b1be908084fd6a2a63216f3918928d72-0-24b97af27bba585ff874b826cc7f19bfa029e01c","","","","","","","","","","","","","","","","1) 343SA - MIO Intel Exploitation Team (U.S. Fleet Forces Command)","","","074b8262b1be908084fd6a2a63216f3918928d72-0-325d3d06c7b1551e86f69e4d25e52c51c0934be7","074b8262b1be908084fd6a2a63216f3918928d72","root.record.ItemExhibitList.P40AItemGroup","074b8262b1be908084fd6a2a63216f3918928d72-0-4de434a376684373748d78e4150fc9378dcb8370"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-075c58d322e5226d130c5d6999eea0587627d0bb-0-f1bac21156b2dd899444c7c69b5e7f927dd3f0d9","","","","","","","","","","","","","","","","1) CG002  MK 110","","","075c58d322e5226d130c5d6999eea0587627d0bb-0-90d684c54fee2954123a31b1a4bbc931f34a802c","075c58d322e5226d130c5d6999eea0587627d0bb","root.record.ItemExhibitList.P40AItemGroup","075c58d322e5226d130c5d6999eea0587627d0bb-0-51017a30c865f696407871ceceaabe6dbf45f233"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-075c58d322e5226d130c5d6999eea0587627d0bb-1-22d2f73539e487c4369823571a4919d351a79709","","","","","","","","","","","","","","","","2) CG003  MK 160","","","075c58d322e5226d130c5d6999eea0587627d0bb-1-eed58efd426cf7c6c718f3ac5d20ba5cfb4d9c9c","075c58d322e5226d130c5d6999eea0587627d0bb","root.record.ItemExhibitList.P40AItemGroup","075c58d322e5226d130c5d6999eea0587627d0bb-0-51017a30c865f696407871ceceaabe6dbf45f233"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-075c58d322e5226d130c5d6999eea0587627d0bb-2-0bd0b15cd343b0a3a88a9919d79e293f6390c446","","","","","","","","","","","","","","","","3) CG004 MK 38 MOD 2","","","075c58d322e5226d130c5d6999eea0587627d0bb-2-7b94f0b2e1945e0f3cef1e4ffbbe43c678cfa2c6","075c58d322e5226d130c5d6999eea0587627d0bb","root.record.ItemExhibitList.P40AItemGroup","075c58d322e5226d130c5d6999eea0587627d0bb-0-51017a30c865f696407871ceceaabe6dbf45f233"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-075c58d322e5226d130c5d6999eea0587627d0bb-3-ffc41e0fc78e7de53fb334c10e4ee505e368d685","","","","","","","","","","","","","","","","4) CG005 COMBAT SYSTEM INTEGRATION","","","075c58d322e5226d130c5d6999eea0587627d0bb-3-059c58b3f095075a8e9cffe75e11ebe6447fc458","075c58d322e5226d130c5d6999eea0587627d0bb","root.record.ItemExhibitList.P40AItemGroup","075c58d322e5226d130c5d6999eea0587627d0bb-0-51017a30c865f696407871ceceaabe6dbf45f233"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-07dc777cd702582d1d5d0caa0b440245fe5970e1-0-3dda6920fc88ec5eae8d3ae12860bf53a6ea2511","","","","","","","","","","","","","","","","1) Reactor Components","","","07dc777cd702582d1d5d0caa0b440245fe5970e1-0-5177a7cedb7c17c5b9d2425217167b954567403d","07dc777cd702582d1d5d0caa0b440245fe5970e1","root.record.ItemExhibitList.P40AItemGroup","07dc777cd702582d1d5d0caa0b440245fe5970e1-0-71b8758c36e8f394838a4d29c56dac17df6ed3b4"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-08b9ba2d444dee5b5c5dcbfcf7927cf855e31695-0-e8340056c0366dbc3886cb32a53f64f9e27b8e66","","","","","","","","","","","","","","","","1) DT001 CIWS BLOCK 1B","","","08b9ba2d444dee5b5c5dcbfcf7927cf855e31695-0-129280cd9e49765a56c026139b691c443352e071","08b9ba2d444dee5b5c5dcbfcf7927cf855e31695","root.record.ItemExhibitList.P40AItemGroup","08b9ba2d444dee5b5c5dcbfcf7927cf855e31695-0-b86b3bae81f9ee8c76cd0e0ad849e65a166d929e"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-08b9ba2d444dee5b5c5dcbfcf7927cf855e31695-1-c64bf3ddf1a3676d5f2ce878f0d2e2135593697a","","","","","","","","","","","","","","","","2) ACQUISITION WORKFORCE FUND - 2009","","","08b9ba2d444dee5b5c5dcbfcf7927cf855e31695-1-f35b4c8be9f6b64f44933b70d6ab85f38a930d5a","08b9ba2d444dee5b5c5dcbfcf7927cf855e31695","root.record.ItemExhibitList.P40AItemGroup","08b9ba2d444dee5b5c5dcbfcf7927cf855e31695-0-b86b3bae81f9ee8c76cd0e0ad849e65a166d929e"
"root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList-0905638a3f2001e762fb5f63358e10c4f55e8ff0-0-ed589f6af3e78057aa5f3a691a8099427026f6d3","","","","","","","","","","","","","","","","1) Commercial Cargo Vehicles","","","0905638a3f2001e762fb5f63358e10c4f55e8ff0-0-f7c5ad031779bf95391b94d96c6ed036c1f784d2","0905638a3f2001e762fb5f63358e10c4f55e8ff0","root.record.ItemExhibitList.P40AItemGroup","0905638a3f2001e762fb5f63358e10c4f55e8ff0-0-497cd5ba55036a3ba618addcffcf2c9bd90dce23"
