"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","","10.262","","","","10.262","","27.575","","16.272","","14.311","","17.806","","11.272","11.362","","","bbbd68f0ce30a7889521522ef24ed9178aa15355-0-f7137420e4f0887244291bc1a2e14c8c6ae2d18e","bbbd68f0ce30a7889521522ef24ed9178aa15355","root","bbbd68f0ce30a7889521522ef24ed9178aa15355-9a43dba0dde0fcd0a867bd0d63a0d98bab028522"
"Army Active","","13.89","","","","13.89","213","12.185","3652","17.418","2434","34.112","2316","34.731","2316","35.179","35.5","2316","","bc487dcb6315a48c09d76f3a22ce582274abb9c9-0-0f8cb13a5892cbbc4e319482ce8174a6d3e8943e","bc487dcb6315a48c09d76f3a22ce582274abb9c9","root","bc487dcb6315a48c09d76f3a22ce582274abb9c9-074a4df86776130bb4f89d0ef9cdbe0bc7d6a3a0"
"Army National Guard","","","","","","","26","0.178","1826","4.51","","","","","","","","","","bc487dcb6315a48c09d76f3a22ce582274abb9c9-1-359c1139d0bdb000552ff1d0a3dfe7bbb84eba76","bc487dcb6315a48c09d76f3a22ce582274abb9c9","root","bc487dcb6315a48c09d76f3a22ce582274abb9c9-074a4df86776130bb4f89d0ef9cdbe0bc7d6a3a0"
"Army Reserve","","","","","","","26","0.178","609","1.504","","","","","","","","","","bc487dcb6315a48c09d76f3a22ce582274abb9c9-2-54403249820af80ae64e5253fe50fd1b84881a8d","bc487dcb6315a48c09d76f3a22ce582274abb9c9","root","bc487dcb6315a48c09d76f3a22ce582274abb9c9-074a4df86776130bb4f89d0ef9cdbe0bc7d6a3a0"
"Army Active","","","","","","","141","44.154","","","","","","","","","","","","bc64578bdcca966084b9e35e428e94931c960daf-0-e674e0157a4b1a6aa556c8289a7820da928df00c","bc64578bdcca966084b9e35e428e94931c960daf","root","bc64578bdcca966084b9e35e428e94931c960daf-1cd104b15f00173a6b31dada6e6757f0c4703814"
"Army National Guard","","","","","","","76","23.775","","","","","","","","","","","","bc64578bdcca966084b9e35e428e94931c960daf-1-3fa76d9855b2c0caf7acfd9fe9ff1d28c8bb6321","bc64578bdcca966084b9e35e428e94931c960daf","root","bc64578bdcca966084b9e35e428e94931c960daf-1cd104b15f00173a6b31dada6e6757f0c4703814"
"Army Active","","","","","","","","53","","52","","","","","","","","","","bc76ed76aa8ecbf6958cc4e71e1c21b3c5ba6a95-0-84f08f6f2c29aa13342d7c510fea98c34673d3a0","bc76ed76aa8ecbf6958cc4e71e1c21b3c5ba6a95","root","bc76ed76aa8ecbf6958cc4e71e1c21b3c5ba6a95-40c3d223b45cab114351fda8efb1571048c12cce"
"Army Active","449","110.51","","","449","110.51","710","172.502","400","81.121","597","115.444","568","112.847","575","116.277","104.547","491","","bd65e66876d69837435efc8363f3489d2703bafc-0-54670dd1b56515340a633cc227293e69464668b2","bd65e66876d69837435efc8363f3489d2703bafc","root","bd65e66876d69837435efc8363f3489d2703bafc-da4176b50c7a8615ab704070d44037d26a68ab05"
"Army Active","","2.002","","","","2.002","","","","","10","53.928","2","13.689","5","26.134","56.676","11","","bdf78c0023eae28233249be9f57c9fbcfbce9096-0-318dcae162eef251b46d93cf9291ec13cd8fdee2","bdf78c0023eae28233249be9f57c9fbcfbce9096","root","bdf78c0023eae28233249be9f57c9fbcfbce9096-a65b1de14166fea4e59de558c3bc7af4725fe07b"
"Army National Guard","","","","","","","","","","","","","4","20.7","5","26.134","56.676","11","","bdf78c0023eae28233249be9f57c9fbcfbce9096-1-829138e7b95718ec51f79b6107f1eac88d7bcaca","bdf78c0023eae28233249be9f57c9fbcfbce9096","root","bdf78c0023eae28233249be9f57c9fbcfbce9096-a65b1de14166fea4e59de558c3bc7af4725fe07b"
"Army Reserve","","","","","","","","","","","","","4","20.7","5","26.134","56.675","11","","bdf78c0023eae28233249be9f57c9fbcfbce9096-2-4e8906a5e0d0bfcb59834e1e88e713d50377df76","bdf78c0023eae28233249be9f57c9fbcfbce9096","root","bdf78c0023eae28233249be9f57c9fbcfbce9096-a65b1de14166fea4e59de558c3bc7af4725fe07b"
"Army Active","","34.196","","","","34.196","","16.728","","","","23.805","","9.225","","9.052","8.654","","","bee6f8d374862d85e953667b2e8482ba8fe4da84-0-39ee62738b94c97256a28e6582c2b918ccd36462","bee6f8d374862d85e953667b2e8482ba8fe4da84","root","bee6f8d374862d85e953667b2e8482ba8fe4da84-699b8fc697a3b6a87345ed26bf0ead2eb89d13f0"
"Army National Guard","","14.092","","","","14.092","","10.496","","","","11.799","","2.573","","2.462","2.198","","","bee6f8d374862d85e953667b2e8482ba8fe4da84-1-f75e116f54e873f3a35540b3f56fcf2234884118","bee6f8d374862d85e953667b2e8482ba8fe4da84","root","bee6f8d374862d85e953667b2e8482ba8fe4da84-699b8fc697a3b6a87345ed26bf0ead2eb89d13f0"
"Army Reserve","","6.039","","","","6.039","","5.576","","","","6.268","","1.367","","1.307","1.168","","","bee6f8d374862d85e953667b2e8482ba8fe4da84-2-ebda20679091b57e6c868edcfef91af74828d932","bee6f8d374862d85e953667b2e8482ba8fe4da84","root","bee6f8d374862d85e953667b2e8482ba8fe4da84-699b8fc697a3b6a87345ed26bf0ead2eb89d13f0"
"Army Active","","2.2","","","","2.2","224","127.862","2000","927.4","","2.2","","","","","","","","bff69b10a7120f31036b1d59db1c2160e42f3d84-0-6c4007d9d0789820d20d87c86729c5e31bba162a","bff69b10a7120f31036b1d59db1c2160e42f3d84","root","bff69b10a7120f31036b1d59db1c2160e42f3d84-8842bc75f7b52411c2eff63b4b86cf58cf65455a"
"Army Active","","8","","","","8","","4.09","","7.368","","","","","","","","","","c0123d257afb80aa953c7b1500f93500443b9c31-0-db6492c054a3a3cc4f694d936b4adb88d4e28f75","c0123d257afb80aa953c7b1500f93500443b9c31","root","c0123d257afb80aa953c7b1500f93500443b9c31-13497a748b6e0533d6f9320ca42d9290fc604b7f"
"Army Active","","5.285","","","","5.285","","5.043","","5.2","","5.333","","5.364","","5.455","5.808","","","c1222536309a6566516c4d9d2d4d17d6163e1554-0-b465761abf6c3d7d40baf5c06b186f2eab38f0b1","c1222536309a6566516c4d9d2d4d17d6163e1554","root","c1222536309a6566516c4d9d2d4d17d6163e1554-6a8446b4ee83ffb0438ae92d8bb99b441c3aee73"
"Navy Active","","79.459","","","","79.459","","116.347","","33.585","","49.14","","25.903","","31.088","28.36","","","c1c873b3087ac49c18dd27cd897997a5552618f9-0-c0654994b96c4cc85d4e4b2f566464b488fc59ff","c1c873b3087ac49c18dd27cd897997a5552618f9","root","c1c873b3087ac49c18dd27cd897997a5552618f9-b476c4a916e6075529dd7de9540301bbeffa7f93"
"Navy Reserve","","3.835","","","","3.835","","","","1.605","","6.822","","3.095","","0.19","0.407","","","c1c873b3087ac49c18dd27cd897997a5552618f9-1-f3e73eac703f650026da49bf721949f6a309a51c","c1c873b3087ac49c18dd27cd897997a5552618f9","root","c1c873b3087ac49c18dd27cd897997a5552618f9-b476c4a916e6075529dd7de9540301bbeffa7f93"
"Navy Active","","35.349","","","","35.349","","36.172","","29.026","","44.592","","42.635","","42.089","42.775","","","c329a79f5bf92c418128d71625903cb298b40082-0-39979463067418da1ab739184cbc15327ac57153","c329a79f5bf92c418128d71625903cb298b40082","root","c329a79f5bf92c418128d71625903cb298b40082-1e3ba39b9867c084c090057969b27fd90dd55723"
"Navy Reserve","","1.103","","","","1.103","","1.081","","1.105","","1.132","","1.144","","1.164","1.184","","","c329a79f5bf92c418128d71625903cb298b40082-1-4d29ed38550034af8dfa7b2a17fc12e067f536ee","c329a79f5bf92c418128d71625903cb298b40082","root","c329a79f5bf92c418128d71625903cb298b40082-1e3ba39b9867c084c090057969b27fd90dd55723"
"Air Force Active","","0.452","","","","0.452","","0.486","","0.445","","0.461","","0.46","","0.468","0.476","","1.643","c354ba79a4974123085ad93709d34c51411a8475-0-4a2d0b8510dffa0153a0b0b8f4fc7f35090b5a5d","c354ba79a4974123085ad93709d34c51411a8475","root","c354ba79a4974123085ad93709d34c51411a8475-b13ed8479fca2890502de880a1ca99df19dfee18"
"Army Active","","3.493","","","","3.493","","","2","8.356","","2.753","","3.5","","3.05","4.03","","","c3862f516ee55026cfebd0ac1c33ba7945c957d4-0-f62f782d97aa47010df2c052c1b4cb10a18ab06d","c3862f516ee55026cfebd0ac1c33ba7945c957d4","root","c3862f516ee55026cfebd0ac1c33ba7945c957d4-747e7a26c9ff86ad7f604bc058bec94cf7efbf3b"
"Army National Guard","","4.969","","","","4.969","","","","1","","4.7","","3.25","","2.25","3.7","","","c3862f516ee55026cfebd0ac1c33ba7945c957d4-1-6c4a2fe068e9998d66df649f1a3b35af02b1fa6d","c3862f516ee55026cfebd0ac1c33ba7945c957d4","root","c3862f516ee55026cfebd0ac1c33ba7945c957d4-747e7a26c9ff86ad7f604bc058bec94cf7efbf3b"
"Army Reserve","","1.493","","","","1.493","","","","0.6","","1.142","","1.369","","1.021","1.024","","","c3862f516ee55026cfebd0ac1c33ba7945c957d4-2-73359f20513924694a67fcba048ca3a1c465b5c1","c3862f516ee55026cfebd0ac1c33ba7945c957d4","root","c3862f516ee55026cfebd0ac1c33ba7945c957d4-747e7a26c9ff86ad7f604bc058bec94cf7efbf3b"
"Army Active","","3.81","","","","3.81","70","6.537","","6.104","","3.566","","3.57","","","","","","c495557a6701d654448e38c9ba0abe77ce2d2a11-0-13c2ab9ab792fe2aea2ba4fe9cab229831369b9f","c495557a6701d654448e38c9ba0abe77ce2d2a11","root","c495557a6701d654448e38c9ba0abe77ce2d2a11-cdc5deb7c2559334b0dd2030d0c68fe10fb35237"
"Army National Guard","","1.5","","","","1.5","","3.64","","2","","1.5","","1.5","","","","","","c495557a6701d654448e38c9ba0abe77ce2d2a11-1-28399111abdc92af82de5bb173ff4bd90ab60caa","c495557a6701d654448e38c9ba0abe77ce2d2a11","root","c495557a6701d654448e38c9ba0abe77ce2d2a11-cdc5deb7c2559334b0dd2030d0c68fe10fb35237"
"Army Active","83","18.329","","","83","18.329","42","7.449","41","10.754","83","16.016","","","","","","","","c5119a564930d119cc594f0999217e6188d74711-0-40692befd5f5675a9c3b0327bedcbc4bf5db6377","c5119a564930d119cc594f0999217e6188d74711","root","c5119a564930d119cc594f0999217e6188d74711-d1155479057408efc205b72585a54730cd1687a0"
"Army National Guard","37","4.771","","","37","4.771","54","9.573","79","18.751","37","4.593","","","","","","","","c5119a564930d119cc594f0999217e6188d74711-1-bb2677e3260d16b0d4ca14d4e36ec2b998d577df","c5119a564930d119cc594f0999217e6188d74711","root","c5119a564930d119cc594f0999217e6188d74711-d1155479057408efc205b72585a54730cd1687a0"
"Army Active","","65.613","","","","65.613","","62.009","","81.176","","59.01","","61.847","","62.424","68.344","","","c696aedb3a209335d256d359d3ef83186a062ee8-0-a8df1dd7e6d0008a900afa4f1dd204c592e3e964","c696aedb3a209335d256d359d3ef83186a062ee8","root","c696aedb3a209335d256d359d3ef83186a062ee8-4d9c600a93f66a595fea8ad8f041c0471722cc19"
"Army National Guard","","","","","","","","4.327","","3.391","","","","","","","","","","c696aedb3a209335d256d359d3ef83186a062ee8-1-264c859d5bc7ae0212a281f12e2b245a04485cfd","c696aedb3a209335d256d359d3ef83186a062ee8","root","c696aedb3a209335d256d359d3ef83186a062ee8-4d9c600a93f66a595fea8ad8f041c0471722cc19"
"Army Reserve","","","","","","","","2.884","","2.713","","","","","","3.369","3.429","","","c696aedb3a209335d256d359d3ef83186a062ee8-2-8ca6a3968f89a4108969e426e44f9ca0efbe9f7c","c696aedb3a209335d256d359d3ef83186a062ee8","root","c696aedb3a209335d256d359d3ef83186a062ee8-4d9c600a93f66a595fea8ad8f041c0471722cc19"
"Air Force Active","","12.725","","","","12.725","","12.544","","38.768","","11.415","","1.455","","0.805","0.000","","200.449","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-0-46631f60ab51e4de34a4b5469601ea2bd5ab019a","c70a9627ffd057d80be1f80f67fc2c78f9ac7780","root","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-ba4f20cff0436f1ee8a06839471fd5b9fa562370"
"Air National Guard","","44.747","","","","44.747","","10.014","","20.552","","18.342","","","","","0.000","","150.051","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-1-8d5524eb641bda513a78709f316b36ddecd47fce","c70a9627ffd057d80be1f80f67fc2c78f9ac7780","root","c70a9627ffd057d80be1f80f67fc2c78f9ac7780-ba4f20cff0436f1ee8a06839471fd5b9fa562370"
"Army Active","","11.88","","","","11.88","","21.93","","","","12","","12.4","","12.4","12.493","","","c73f5b666d9cf59bb5952914ea98eabf6a197d55-0-8cd9abd774143f13feb5329075cd0541dbc8432d","c73f5b666d9cf59bb5952914ea98eabf6a197d55","root","c73f5b666d9cf59bb5952914ea98eabf6a197d55-5f966041f0731d5b713ebd9939cd81cbb80f2e6c"
"Army Active","1754","804.502","","","1754","804.502","786","805.522","2166","873.652","1742","937.473","1085","764.303","673","1013.94","2052.276","195","","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39-0-6b0860f7a7491075ffffafe1d4e10fabd0dbbce8","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39","root","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39-9b5c0e91d2945fc72245927568bfd461d51fc4cf"
"Army National Guard","327","166.534","","","327","166.534","","5.585","","18.983","","49.298","526","383.223","18","92.218","","","","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39-1-0a57b73e4a790ffa4b7cd3ec30a81c1c9363944b","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39","root","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39-9b5c0e91d2945fc72245927568bfd461d51fc4cf"
"Army Reserve","58","2.441","","","58","2.441","","","","","","4.694","52","7.549","","8.782","","","","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39-2-d958c70023705fa048415034504c698c6abe1be0","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39","root","c763efea4fca034f5a4ce9bf4fb0b4f2fa84be39-9b5c0e91d2945fc72245927568bfd461d51fc4cf"
"Navy Active","","56.96","","","","56.96","","134.494","","76.5","","45.343","","44.645","","41.689","47.784","","","c855afde4d57d29458cfb9248e35c8c538f4feec-0-30f38dbf2f00fa0b969a4ab3b74b3628aaf5a709","c855afde4d57d29458cfb9248e35c8c538f4feec","root","c855afde4d57d29458cfb9248e35c8c538f4feec-8000f96b78d661fec242d9fa27d839bbaf5754c2"
"Navy Reserve","","4.393","","","","4.393","","","","","","1.931","","2.273","","3.266","1.849","","","c855afde4d57d29458cfb9248e35c8c538f4feec-1-111c646c5593cb9893c2f9838ea4c10bd7c85892","c855afde4d57d29458cfb9248e35c8c538f4feec","root","c855afde4d57d29458cfb9248e35c8c538f4feec-8000f96b78d661fec242d9fa27d839bbaf5754c2"
"Air Force Active","","132.222","","","","132.222","","198.007","","149.756","","141.643","","130.423","","102.804","70.212","","358.329","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-27a9c4bf0e10d64e18bbe7a5aa0b7a6c8ce45154","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-fc269019c61ce0ea1fabe1728ea6b42b0a18bd00"
"Navy Active","","17.786","","","","17.786","","49.388","","26.589","","39.579","","36.86","","73.114","68.613","","","ca3ef97838aa94ae764b9ff709ca09f9cd918fed-0-5012f2bb594bdf90fe4f9f0aa091724603636a80","ca3ef97838aa94ae764b9ff709ca09f9cd918fed","root","ca3ef97838aa94ae764b9ff709ca09f9cd918fed-e3cded406a00e37c32424c8ee722125a7ff1f1c9"
"Navy Reserve","","0.608","","","","0.608","","","","0.276","","0.041","","2.575","","","","","","ca3ef97838aa94ae764b9ff709ca09f9cd918fed-1-c1f9cea26516c23097d4f0fdd2d34f821ba2cbca","ca3ef97838aa94ae764b9ff709ca09f9cd918fed","root","ca3ef97838aa94ae764b9ff709ca09f9cd918fed-e3cded406a00e37c32424c8ee722125a7ff1f1c9"
"Army Active","4048","19.234","","","4048","19.234","1743","7.11","1345","8.383","6093","28.642","4684","23.898","4355","22.35","19.154","10254","","caadd62486ffd81402c7e6c31de15129207f835e-0-87a02e85ce4805409341dcefddf93e879a4b1619","caadd62486ffd81402c7e6c31de15129207f835e","root","caadd62486ffd81402c7e6c31de15129207f835e-2f47e27e1c03e1b740a7b92dcf445322afbd7f7a"
"Army National Guard","759","3.606","","","759","3.606","975","3.98","752","4.599","1142","5.368","878","4.48","817","4.193","3.592","1923","","caadd62486ffd81402c7e6c31de15129207f835e-1-2c8e8d285e352d47395a1d52b0aa4ed1c2e5a629","caadd62486ffd81402c7e6c31de15129207f835e","root","caadd62486ffd81402c7e6c31de15129207f835e-2f47e27e1c03e1b740a7b92dcf445322afbd7f7a"
"Army Reserve","254","1.209","","","254","1.209","236","0.965","183","1.114","380","1.786","293","1.495","272","1.396","1.195","641","","caadd62486ffd81402c7e6c31de15129207f835e-2-dc0c9d0a319d2a2daa623a9c7481457a0ba2df97","caadd62486ffd81402c7e6c31de15129207f835e","root","caadd62486ffd81402c7e6c31de15129207f835e-2f47e27e1c03e1b740a7b92dcf445322afbd7f7a"
"Navy Active","","10.527","","","","10.527","","24.096","","10.779","","13.122","","11.967","","17.333","19.066","","","cb6da82cc69afa10dbd02d8a6cbd67f58eba1bb4-0-3c99de8857eb5ad552a6a4c506af882a28a6a716","cb6da82cc69afa10dbd02d8a6cbd67f58eba1bb4","root","cb6da82cc69afa10dbd02d8a6cbd67f58eba1bb4-cbdd324292920fd712346044c911d71a9e51a9ed"
"Navy Reserve","","0.354","","","","0.354","","0.644","","0.349","","0.362","","0.367","","0.373","0.38","","","cb6da82cc69afa10dbd02d8a6cbd67f58eba1bb4-1-836fe7fe398ea3e04ba68e97f128b113c4d7768a","cb6da82cc69afa10dbd02d8a6cbd67f58eba1bb4","root","cb6da82cc69afa10dbd02d8a6cbd67f58eba1bb4-cbdd324292920fd712346044c911d71a9e51a9ed"
"Army Active","125","4.101","","","125","4.101","776","4.745","382","9.553","175","4.451","174","4.346","182","4.451","4.451","182","","cd226da4b90e47fb2872a01d78b6cee97bfd69a6-0-798a46aeac2d60c733ac01c5171f770a45097c91","cd226da4b90e47fb2872a01d78b6cee97bfd69a6","root","cd226da4b90e47fb2872a01d78b6cee97bfd69a6-0e09aad744e1fcdd826b94b3719874d6bcc32153"
"Army National Guard","85","1.758","","","85","1.758","341","4.606","412","3.633","75","1.908","74","1.863","76","1.908","1.908","76","","cd226da4b90e47fb2872a01d78b6cee97bfd69a6-1-ca9cefa1e3fa7bdd9ed857763880e7679875eed3","cd226da4b90e47fb2872a01d78b6cee97bfd69a6","root","cd226da4b90e47fb2872a01d78b6cee97bfd69a6-0e09aad744e1fcdd826b94b3719874d6bcc32153"
"Army Reserve","","","","","","","222","3.131","24","0.907","","","","","","","","","","cd226da4b90e47fb2872a01d78b6cee97bfd69a6-2-d575281c7c1383dbf8372051f000528c120ba819","cd226da4b90e47fb2872a01d78b6cee97bfd69a6","root","cd226da4b90e47fb2872a01d78b6cee97bfd69a6-0e09aad744e1fcdd826b94b3719874d6bcc32153"
"Army Active","9","1.031","","","9","1.031","10","2.32","","4.689","10","1.759","16","2.153","","","","","","cd57251187fed859d82c0426df620768cdde9008-0-f590a6bc557f2276f880b02c09dc504aae3b1e94","cd57251187fed859d82c0426df620768cdde9008","root","cd57251187fed859d82c0426df620768cdde9008-7f0b39487eba673652fdc04409dc341e8ea25159"
"Army National Guard","39","4.103","","","39","4.103","28","6.622","","4.445","47","5.976","22","3.457","34","4.45","4.978","37","","cd57251187fed859d82c0426df620768cdde9008-1-b729beaac862909f48128a4891b7c4cc5df856c5","cd57251187fed859d82c0426df620768cdde9008","root","cd57251187fed859d82c0426df620768cdde9008-7f0b39487eba673652fdc04409dc341e8ea25159"
"Army Reserve","18","1.716","","","18","1.716","16","3.712","","","25","2.601","21","3.33","25","3.732","3.343","27","","cd57251187fed859d82c0426df620768cdde9008-2-c322e35fbdb976f71dc736dfbfc61f0c8962873a","cd57251187fed859d82c0426df620768cdde9008","root","cd57251187fed859d82c0426df620768cdde9008-7f0b39487eba673652fdc04409dc341e8ea25159"
"Air Force Active","","46.88","","","","46.88","","62.045","","76.112","","0.000","","0.000","","0.000","0.000","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-0-3bbd6644938b899f9a6f954dcf73b611f851ce2e","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-c5f3214149ce895b871c9cdcb668dd00369952a8"
"Air National Guard","","2.747","","","","2.747","","0.275","","4.788","","0.000","","0.000","","0.000","0.000","","","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-1-d303eb8ef8e07a8641633f1c00c1b3638c45cb2a","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b","root","ce9b39ec013ed8dc9d7c6cbc414844e358d1417b-c5f3214149ce895b871c9cdcb668dd00369952a8"
"Army Active","","152.569","","","","152.569","","118.432","","190.789","","182.009","","186.239","","185.675","172.847","","","cf1fd7a5069f0f934174673172d65551739ad8fe-0-4595460f5f59d2c87117e85ea1454b0aacd6452f","cf1fd7a5069f0f934174673172d65551739ad8fe","root","cf1fd7a5069f0f934174673172d65551739ad8fe-c24f97b7cf19b48c16d811e34049541a3538a6fa"
"Army Active","","7.232","","","","7.232","","8.249","","9.108","","5.7","","7.692","","7.823","10","","","cff64a5426b1b9b8c613ef61fa4819ab00fbb905-0-faa896d83a05ab69faf044da45bae8bc87169d00","cff64a5426b1b9b8c613ef61fa4819ab00fbb905","root","cff64a5426b1b9b8c613ef61fa4819ab00fbb905-b9f71e2b602cb2f68fc8464fdac9a63d1b116a19"
"Air Force Active","","47.484","","","","47.484","","112.861","","52.495","","8","","8","","8","8.144","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-a98224d2ed834f99653447e48cf64e894e1dca03","d0084e59e4867559e7ac78e9cf9ff395619df604","root","d0084e59e4867559e7ac78e9cf9ff395619df604-2307b4ad1821573b5230e0e9f67856be3ed967c5"
"Air National Guard","","1.26","","","","1.26","","14.148","","2.26","","0.000","","0.000","","0.000","0.000","","","d0084e59e4867559e7ac78e9cf9ff395619df604-1-755d6bf16345e61350b7f74fb92f7177011d0f50","d0084e59e4867559e7ac78e9cf9ff395619df604","root","d0084e59e4867559e7ac78e9cf9ff395619df604-2307b4ad1821573b5230e0e9f67856be3ed967c5"
"Air Force Reserve","","0.397","","","","0.397","","6.11","","1.787","","0.000","","0.000","","0.000","0.000","","","d0084e59e4867559e7ac78e9cf9ff395619df604-2-4b6a01661988e00e660c54815765187c18598b8f","d0084e59e4867559e7ac78e9cf9ff395619df604","root","d0084e59e4867559e7ac78e9cf9ff395619df604-2307b4ad1821573b5230e0e9f67856be3ed967c5"
"Air Force Active","","105.935","","","","105.935","","36.481","","47.592","","108.272","","260.219","","239.734","244.157","","","d0f382b6192a7f47d78d235e4d09efad2aaf712d-0-b8624a73c59ffd017ef1b943de9ef585b678f1df","d0f382b6192a7f47d78d235e4d09efad2aaf712d","root","d0f382b6192a7f47d78d235e4d09efad2aaf712d-d56ffae25e41c7b84d1a272c1ef0ab77504af2dc"
"Air National Guard","","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","0.000","","","d0f382b6192a7f47d78d235e4d09efad2aaf712d-1-a62ff53ca540710063f2d05560524b392e5e9ad1","d0f382b6192a7f47d78d235e4d09efad2aaf712d","root","d0f382b6192a7f47d78d235e4d09efad2aaf712d-d56ffae25e41c7b84d1a272c1ef0ab77504af2dc"
"Air Force Reserve","","0.000","","","","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","0.000","","","d0f382b6192a7f47d78d235e4d09efad2aaf712d-2-7324cd497f696da129a889836f77fc1832872c8c","d0f382b6192a7f47d78d235e4d09efad2aaf712d","root","d0f382b6192a7f47d78d235e4d09efad2aaf712d-d56ffae25e41c7b84d1a272c1ef0ab77504af2dc"
"Army Active","","","","","","","","2.415","","","","","","","","","","","","d1e6574c54763578052e2004b32be16620d83ee1-0-593067f39cdecaf17e4930f7a1ebdf88f7be9edc","d1e6574c54763578052e2004b32be16620d83ee1","root","d1e6574c54763578052e2004b32be16620d83ee1-5f8d501ab2850ee9551ebee90d31ba4505d463ba"
"Army Active","18","260.177","","","18","260.177","","","17","206.101","18","302.299","18","297.624","26","353.743","368.893","36","","d2821945f599753cf917afb0c7a170d74c33eca7-0-965980a42aa83b4adf8962b2496decad7692262f","d2821945f599753cf917afb0c7a170d74c33eca7","root","d2821945f599753cf917afb0c7a170d74c33eca7-c920f27abce242b1f9589e60e059047e3aeed933"
"Army National Guard","","","","","","","","","","","","","","","16","117.915","245.928","24","","d2821945f599753cf917afb0c7a170d74c33eca7-1-08192c3f7d747084e05fdaa6927dee8ebf56518b","d2821945f599753cf917afb0c7a170d74c33eca7","root","d2821945f599753cf917afb0c7a170d74c33eca7-c920f27abce242b1f9589e60e059047e3aeed933"
"Army Active","","20.522","","","","20.522","","51.497","","60.881","","69.686","","66.792","","383.879","477","","","d4fcee30ff2505b7223bbc2edba2364f893944a1-0-1656c092289334fabb5ff1ea8b29830e84d69ebc","d4fcee30ff2505b7223bbc2edba2364f893944a1","root","d4fcee30ff2505b7223bbc2edba2364f893944a1-dc55ad366a017c99e59eea4f471f3859a2ff080e"
"Army Active","31530","26.526","","","31530","26.526","7000","8.509","9194","11.222","28622","25.938","16441","17.369","5250","11.793","9.187","3677","","d574752d9569dd54fac2274ab94a2e670547c4da-0-7738f9b1ea64c3d50bda4700b72e2e09c568859c","d574752d9569dd54fac2274ab94a2e670547c4da","root","d574752d9569dd54fac2274ab94a2e670547c4da-41ca5927da365e217ca1a08b6e1c8fff6933b8cc"
"Army Active","130","19.2","","","130","19.2","","","152","73.286","305","68.737","279","62.775","279","62.775","64.962","289","","d5f22e934702c10c003bf006b2412f8b596b6fbf-0-124e146ed25b8e70ee3f869a1b8f9e6214e58d71","d5f22e934702c10c003bf006b2412f8b596b6fbf","root","d5f22e934702c10c003bf006b2412f8b596b6fbf-8ac778d553f32b0820852e446350f7e14f822df2"
"Army National Guard","","","","","","","","","71","12.933","67","14.963","93","20.925","93","20.925","21.654","96","","d5f22e934702c10c003bf006b2412f8b596b6fbf-1-0de4b8f52fccff0bfa5a27a0ae9c8964fde75de1","d5f22e934702c10c003bf006b2412f8b596b6fbf","root","d5f22e934702c10c003bf006b2412f8b596b6fbf-8ac778d553f32b0820852e446350f7e14f822df2"
"Army Active","","31.353","","","","31.353","","21.58","","20.298","","20.598","","89.066","","117.494","149.944","","","d6b10d09328a9bd14f7c3c0d752a0d8c75d78dbb-0-5bc9af886938db5db9fada2085e62d1536006912","d6b10d09328a9bd14f7c3c0d752a0d8c75d78dbb","root","d6b10d09328a9bd14f7c3c0d752a0d8c75d78dbb-9f37787fadcabd5785e86e64d847554744e4b1aa"
