"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Reserve","","","6","0.335","","","","","","","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-2-e991c5e01a8db5e207dd1351cb41aed45ceea855","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-f7c306a0cda50ad584ecdcbdfd66252bde9bf53f"
"Army Active","139","12.359","201","22.745","512","21.334","104","4.4","616","25.734","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-59d0c97160986c4ff487d55265cb108c74dda7a6","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-2-f3bbb7a4bcc915c9b9639b420ebcebe24b1660cf"
"Army National Guard","182","23.049","101","14.325","342","14.222","22","0.93","364","15.152","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-ee27671e025b703c058e187b1fc742b5abc2812c","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-2-f3bbb7a4bcc915c9b9639b420ebcebe24b1660cf"
"Army Active","13","0.18","144","2.164","55","0.826","66","1","121","1.826","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-2479a851b6d048bcb918ead49a3e13bad010d76f","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-3-80cabcc9bb1dff1eb71470fe9f70ebe572ec2619"
"Army National Guard","25","0.324","39","0.604","36","0.551","20","0.3","56","0.851","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-d243bc48b6652710bff828922b8d014df04dccac","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-3-80cabcc9bb1dff1eb71470fe9f70ebe572ec2619"
"Army Active","166","4.109","328","8.484","184","4.747","213","5.5","397","10.247","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-0-dfd26a27a2cc9b8d4f4c8cf6debc10570f478d94","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-4-da4ec29fd1b5d2bac5a35b22b707a753574f1f3c"
"Army National Guard","98","2.739","186","4.818","122","3.164","54","1.4","176","4.564","","","","","","","","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-1-6b1d21fd79b85373cb58cd4b69b65ce1ecc7e1d0","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4","root.record.ItemExhibitList.P5Item","a269615b7e5e224bf344a0ce4f1e8ded1f7778c4-4-da4ec29fd1b5d2bac5a35b22b707a753574f1f3c"
"Army Active","481","22.838","465","22.055","515","24.2","","","515","24.2","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-0-97e0546c64766d87c5059508480ad8386ec74a28","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-0-ed69caf8be52143765ecb2d60f27e798b8d8f7d3"
"Army National Guard","202","10.781","210","9.939","30","1.404","","","30","1.404","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-1-73c0e6c1afecb98e9e5ae54db08322627241660d","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-0-ed69caf8be52143765ecb2d60f27e798b8d8f7d3"
"Army Reserve","23","1.12","40","1.876","42","1.989","","","42","1.989","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-2-36f169a6ec8670a6a60f79a111421fb7399289d3","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-0-ed69caf8be52143765ecb2d60f27e798b8d8f7d3"
"Army Active","17850","17.85","","","","","","","","","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-0-17f5d0bd1e1db2f4f3eba1211027847add4540f9","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-1-c13368721a000c1e00dfd699ad50cd8571440617"
"Army National Guard","9442","9.442","","","","","","","","","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-1-0f595add666fb2d0a6c5158d9dba28f67efdeb78","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-1-c13368721a000c1e00dfd699ad50cd8571440617"
"Army Reserve","802","0.802","","","","","","","","","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-2-e48fdd6a5b78c7bad66029f1c7fe3971494cf9bd","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-1-c13368721a000c1e00dfd699ad50cd8571440617"
"Army Active","1970","6.781","6419","98.248","4699","86.228","","","4699","86.228","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-0-07d0edfb1f87dbaa6d2c78e7cbeff629ca0882a3","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-2-eef1588fc79a77f49c7b649b48594046b4c3efc6"
"Army National Guard","","","1254","19.194","1929","34.689","","","1929","34.689","","","","","","","","a2ba7966c607300b4778ed486e38531c254b5553-1-bf225b887f2623584596970c83276293d5d610af","a2ba7966c607300b4778ed486e38531c254b5553","root.record.ItemExhibitList.P5Item","a2ba7966c607300b4778ed486e38531c254b5553-2-eef1588fc79a77f49c7b649b48594046b4c3efc6"
