"Name_val","Name_@footnote","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_Continuing_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2.2.1)  Installation Equipment N/R. - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","3.814","","4.014","","","","","","","","","","","","","","","","","","","","","0.2","","","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-632bdc95e3fc9310f0a1a3cee2d56c76d9b0b401","42ccc10aa08a50cbe9f58e982e871c9eb18404a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-6c42e32dc1d880a4c3934d7c1c5a73a0429d4306"
"2.2.2) Installation Equipment N/R OCO - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9","","","","","","","","","","","","","","","","","","","","","0.9","","","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-1-efd4db822ff06423a9ba0a5e79063e7f5a61f7e6","42ccc10aa08a50cbe9f58e982e871c9eb18404a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-6c42e32dc1d880a4c3934d7c1c5a73a0429d4306"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","10.338","","16.969","","","","","","","","","","","","","","","","","","","","","6.631","","","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-5dc180b5f9bd327345d08505c8cf2222ae291193","42ccc10aa08a50cbe9f58e982e871c9eb18404a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-54763f286bc72e07d283091d335531fec30b22b2"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.59","","0.59","","","","","","","","","","","","","","","","","","","","","","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-4c151a4f617d6922a6f52af9ae705fff7c1a6f91","42ccc10aa08a50cbe9f58e982e871c9eb18404a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-91fb186b8460a6be4d8359aa69f321f49760862a"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.065","","4.666","","","","","","0.2","","0.15","","1","","1","","1.049","","","","","","","","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-fef5aee89a5274a13e5d3bf857840bbbc2092826","42ccc10aa08a50cbe9f58e982e871c9eb18404a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-7cb2e0d61e34aed7708a5cadddb4c9dd85ac208c"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","","","","1","","1","","0.15","","","","","","","","","","","","","","","","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-f2df73e1b25b75c29d7aff35d25a83520fb80f80","42ccc10aa08a50cbe9f58e982e871c9eb18404a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","42ccc10aa08a50cbe9f58e982e871c9eb18404a4-0-d06923a0d50e2c5e5145c1520e513f6256047672"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-35dc3be47ca743bd7d376623ba1f0fb80f58b4d5","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-d128a59812bb3815ea1c81020467a223c8c3e0af"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-74eafa90d62bda1e027622793dbc3e2fa77be293","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-16b2ae5ad099f8c21227f2adc5e7c67c92e225c7"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-6ea08df2226107fbaf17ca2c302e401a7da4173d","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-83f077c906c99972c5497493d5abecdc6d1edc1a"
"EQUIP NONREC Group B (Reserve)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-1-0b94cd29f5f527895d19d7a245ae785d85f8ae17","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-83f077c906c99972c5497493d5abecdc6d1edc1a"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","3","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","4b5c5eb193dac6596ef45e50f9e2015a538019be-0-aa84956d4ee847f76e207ccbd151ea412ea80fdb","4b5c5eb193dac6596ef45e50f9e2015a538019be","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4b5c5eb193dac6596ef45e50f9e2015a538019be-0-0ea8a61b2e5738a7b177f6dfcfdd1e4a88f1c961"
"Army (P-2 provided B kits)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","2","0.000","2","","","","","","","","","","","","","","","0.000","0","","","","","","","4e9e6d15e0844c4ff1ee06c60489171ee9bf916a-0-37642933f5ae2855e008da7fa091957e2ebec133","4e9e6d15e0844c4ff1ee06c60489171ee9bf916a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4e9e6d15e0844c4ff1ee06c60489171ee9bf916a-0-af9fc7c797186ad53c731a49b49e02dffdac8660"
"1.1.1) GUAM SMMTT - NonOrganic","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.498","1","7.498","1","","","","","","","","","","","","","","","","","","","","","5001f0f43af9f46a2b851f13e6fbf03de90ec790-0-952531f704a7f2741a42afdec37c9c78c485a3b9","5001f0f43af9f46a2b851f13e6fbf03de90ec790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5001f0f43af9f46a2b851f13e6fbf03de90ec790-0-418a94de0040b510fc3ffbe63627f2909b16db59"
"1.1.1) SEAWOLF SMMTT - NonOrganic","","","","","","","","","","","","","","","","","","","","","","","","","","6.178","2","6.178","2","","","","","","","","","","","","","","","","","","","","","","OSD-12 comment - Type commander cancelled TI08 install and directed TI12 be delivered to better support SSN21 class modernization.","5001f0f43af9f46a2b851f13e6fbf03de90ec790-0-9164a7ef54e053aaa3dd4085571b9e47a6650e0e","5001f0f43af9f46a2b851f13e6fbf03de90ec790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5001f0f43af9f46a2b851f13e6fbf03de90ec790-0-4d5de08f13618195f10e0e0b32b1346818a20dda"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","54eee1c6eda620239068af390dbe5bb5a9842adb-0-e320d30d9ff70335a71bfa4400a1f1ff2807b7af","54eee1c6eda620239068af390dbe5bb5a9842adb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","54eee1c6eda620239068af390dbe5bb5a9842adb-0-2551c77e71eed1a62b12a6674e7ddec9d3e5f3f7"
"EQUIP NONREC Group B (Guard)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","54eee1c6eda620239068af390dbe5bb5a9842adb-1-88cfb2fe836a5fe0ff2c0a41d05161e807e72534","54eee1c6eda620239068af390dbe5bb5a9842adb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","54eee1c6eda620239068af390dbe5bb5a9842adb-0-2551c77e71eed1a62b12a6674e7ddec9d3e5f3f7"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","117.082","","119.58","","0.602","","0.103","","0.103","","","","","","","","","","","","","","","1.793","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-1608bbba355b201c903745c32b5fa6261aeb5780","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-de7da8c71a4158cd244feb14fd156b4a6215d7b3"
"2.2.1) Install Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","100.826","","101.285","","0.02","","","","","","","","","","","","","","","","","","","0.439","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-8779375a9c22e26bca0edf9d7555a2ee0cb35c72","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-f2d75b5cf5ae5a78e73fdc1563867b9e01cffd1e"
"2.2.2) Install Equipment N/R (FMV OCO) - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-1-042385d4987ff0b355f881e540c1721f09ec75a6","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-f2d75b5cf5ae5a78e73fdc1563867b9e01cffd1e"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","14.359","","15.375","","","","","","","","","","","","","","","","","","","","","1.016","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-a1c1b549924f2aa1f720f49bfcdce9431614dcad","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-9c7b19ce480a578e0faa4e59e2473501ed951eb8"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","15.93","","15.93","","","","","","","","","","","","","","","","","","","","","","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-a089099651ea58361235eba4fefd4c31bd527fee","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-c7a7617f988c25683176ba225e876b3d2ca3a802"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","0.326","","0.508","","0.038","","0.038","","0.038","","0.038","","","","","","","","","","","","","0.068","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-fa7f9bac8253d809aa522b5f3213893ed8788493","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-f5838e86f5beec67dde8ff9bed9dbf666479a7c6"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","8.376","","8.968","","0.423","","","","","","","","","","","","","","","","","","","0.169","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-030a4e6c94b7ddfe159425a78c94570e937fed96","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-1a6547ec5fb6178607a5243f3281f2f36a11119e"
"2.2.1) Inactive OSIPs - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","125.4","","125.4","","","","","","","","","","","","","","","","","","","","","","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-6c374d4e44e3152f58e179e621e306d69082fbcc","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-fd6cf5b0e1672a98f21d70d01a34fc32990aa28d"
"2.2.1) DAWDF REALIGNMENT - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","1.043","","1.043","","","","","","","","","","","","","","","","","","","","","","","","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-14f28ede4f63c1a7e1cb8a9d440d47d3bf11fe4f","55fe7b76eb94746201d1c4bb9280019c367b7a51","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","55fe7b76eb94746201d1c4bb9280019c367b7a51-0-ec31db3bdf5098f04f1c7fdf73bd99ec153d5248"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","4.244","","4.244","","","","","","","","","","","","","","","","","","","","","","","","56b74c3976ead92ffb229b2b65b6710b923210d3-0-f7ff8043cb4625bc60655364f907c0cdd7b94122","56b74c3976ead92ffb229b2b65b6710b923210d3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","56b74c3976ead92ffb229b2b65b6710b923210d3-0-c29e6c4adaf3e68e4320bd831f42917f27d7e60f"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","5.756","0","0.000","0","0.000","0","0.000","0","0.55","0","0.556","0","4.094","0","0.556","0","0.000","0","0.000","0","0","0.000","","","59be73e034389a010dbcc3a981c4115536ebaee8-0-c7a40c719669a30ff4b23069cc6d6201afe5797f","59be73e034389a010dbcc3a981c4115536ebaee8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","59be73e034389a010dbcc3a981c4115536ebaee8-0-0602db95829ee84ebea346ac7195314f0a6fb375"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","48.708","0","15.805","0","3.665","0","3.665","0","4.85","0","5.718","0","0.000","0","0.000","0","0.000","0","0.000","0","0","18.67","","","59be73e034389a010dbcc3a981c4115536ebaee8-0-182c47d90a6011e6fe3c74042d35fc32f22b93fb","59be73e034389a010dbcc3a981c4115536ebaee8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","59be73e034389a010dbcc3a981c4115536ebaee8-0-16da2a465b03a5e42f6d989945020a0b6450c66e"
"3.1.1) ESSM ORDALT - NonOrganic","","","","","","","","","","","","","","","","","","","","","","","","","","13.568","16","31.511","32","","","","","","","3.848","2","3.954","4","4.08","4","4.165","4","","","","","2","1.896","","","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-a11720b920599707b7ba27504d3e00400bc05f1c","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"3.1.2) TEST SUPPORT - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","0.265","","0.975","","0.025","","0.125","","0.125","","0.125","","0.125","","0.125","","0.125","","","","","","","0.06","","","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-1-13e5239a789dfca913e0c894bdd144208d165ae6","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"3.1.3) ECP'S - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","1.132","","3.083","","0.425","","0.253","","0.253","","0.126","","0.085","","0.238","","0.227","","","","","","","0.597","","","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-2-71876b6a86d3cdf94789854e91ff6b569ef14fba","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"3.1.4) MK 29 ORDALT INSTALL - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","12.284","","13.864","","","","","","","","","","","","","","","","","","","","","1.58","","","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-3-63612a695f9c7d6d55c19aecb80b34b1271207df","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"3.1.5) TRAINING - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","2.047","","2.047","","","","","","","","","","","","","","","","","","","","","","","","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-4-73169789fed5b4677297adf0ced991721429e3f3","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5e509bc60c57e1bb4fd6bd7cfdce27e3e688d349-0-41f21680838af7af10e9b1bc6f917f69a9690a42"
"1.1.1) EQUIPMENT - NonOrganic","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.209","16","","","2.136","2","2.136","2","2.24","2","6.624","6","2.246","2","2.4","2","2.563","2","","","","","","Production Engineering and Integrated Logistics Support in FY12 is for Non-recurring Engineering and logistics efforts in preparation for the FY13 procurement.","63c73787478bab06c9be31391492ea2c2fcb2c8b-0-12fd045dca59d750f8b22840cc351086a336afef","63c73787478bab06c9be31391492ea2c2fcb2c8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","63c73787478bab06c9be31391492ea2c2fcb2c8b-0-fc6602b581e9d47efab300bb5a99442456e79129"
"1.1.2) Integrated Logistics Support - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.358","","0.14","","0.14","","0.151","","0.318","","0.11","","0.117","","","","","","","","true","","63c73787478bab06c9be31391492ea2c2fcb2c8b-1-8deab3d277db68dbaf3e2d0377f0cec16e0cc77e","63c73787478bab06c9be31391492ea2c2fcb2c8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","63c73787478bab06c9be31391492ea2c2fcb2c8b-0-fc6602b581e9d47efab300bb5a99442456e79129"
"1.1.3) Production Engineering - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.479","","0.468","","0.468","","0.471","","1.413","","0.535","","0.572","","","","","","","","true","","63c73787478bab06c9be31391492ea2c2fcb2c8b-2-4497f71878574cc050ca696f4de5d214e42cb54a","63c73787478bab06c9be31391492ea2c2fcb2c8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","63c73787478bab06c9be31391492ea2c2fcb2c8b-0-fc6602b581e9d47efab300bb5a99442456e79129"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","2.192","","5.856","","0.075","","0.325","","0.325","","0.631","","0.15","","","","0.3","","1.775","","","","","0.408","","","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-b92eed8ba56043b7719f2a4b6e4f59398f78b1eb","644d498aa33485ad3172f0a21dfdff55f0cc03d5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","644d498aa33485ad3172f0a21dfdff55f0cc03d5-0-1a3f19e6946704d6f5d26383791b2aa710ef2d51"
"B-Kit NonRecurring","","","","","","","","","","","","","","","","","","","","","","","","","","101.8","0","102.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","","","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-0-21161d6583fbead99e1e3e805ba163149a92dc3a","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-5-d30fea1261ed023eb21c5b0fcbed6af98255dfe7"
"B Kit (Nonrecurring)","","","","","","","","","","","","","","","","","","","","","","","","","","12.3","0","12.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-0-30e5a2f3c8e839dbbe9351e3200af470972da8ed","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","73c1daf1f6fd4d92f0da1b6bc0ce1fb5eb7e27d1-6-29803a2d6e8652146603c2b4bfcb52fcde6d2e23"
"2.2.1)  Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","","1.15","","","","","","","","","","","","","","","","","","","","","","","","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-9ea4ddb11fe0d33abe819dea2f6287580f453446","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-7574dcf5cf2335d1ffa18e4c8723e1566ec9c83e"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","0.22","","0.22","","","","","","","","","","","","","","","","","","","","","","","","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-452f7c40190f4a3f3ee1c9d6e43d85e5d196976c","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-9be70d9e4a24e72593c4ab88731f959d1e8f35a2"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4","","","","","","","","","","1.2","","","","","","9.2","","","","","","","","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-6bed747f354440da0f55c5da9cc7a3b9f91f7d6d","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-1c65ec4894bcc12cd279d79cde1f196eadd87ba2"
"2.2.1) Installation Equipment N/R - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05","","","","","","","","0.5","","0.5","","","","","","5.05","","","","","","","","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-26e5a16172a3678abe2bdf7f5ebcb948c541263c","7b28b6e642c522e89b24cb1ceacac27b4b26105b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","7b28b6e642c522e89b24cb1ceacac27b4b26105b-0-11dc3a9f2d68c22f0ccbdbeeae6f25f6367a0f4c"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-f57604e4277674c0e6ee89e0852ca938df7633a0","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-59499bf163e7699ad3846d0b343e498f16f0ed32"
"EQUIP NONREC Group B (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0","0.000","","","80c314a08d629cf8ab4d43a0a1a5135314197657-0-98578fa7333b3a69d4674338b1bd144a15bae7e2","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-59844729581c7bfae5bac49e739e43963b90ef4b"
"2.2.2) Non Recurring Engineering - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","2","","2","","","","","","","","","","","","","","","","","","810aad1fdc28f525c3d5fd26415196e3b2567be7-0-ff6abe0b33f09fe949b9ee2d3fa2b34d050aa31c","810aad1fdc28f525c3d5fd26415196e3b2567be7","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","810aad1fdc28f525c3d5fd26415196e3b2567be7-0-7f7b384429ebfe8619ae0fc65610fe56f32ed7a4"
