"Name_val","Name_@footnote","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Total_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Engines","","0","","274.009","64.548","74.697","64.214","96.538","116.283","114.88","109.498","3990.901","4905.568","Pratt & Whitney","East Hartford, CT","27","27","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-c47708876d5693aaeccd5525165a52cf552a4d68-0-d20fae0d06e277222a5bceca61277edf3c88ae51","c47708876d5693aaeccd5525165a52cf552a4d68-0-31c62ef2e308e1f6cd71fe0e75af30e7743d49e9","c47708876d5693aaeccd5525165a52cf552a4d68","root.record.ItemExhibitList.P5Item","c47708876d5693aaeccd5525165a52cf552a4d68-0-11a7dde0a0746fe5841456e33c30d372993c8226"
"GFE Electronics","","0","0","18.946","2.055","1.804","0","","","","","","","","","","","","c8929f601f33e088b069cfb397f2caf339239d4c-0-2d479913665e075146ba160910da116490670e20","c8929f601f33e088b069cfb397f2caf339239d4c","root.record.ItemExhibitList.P5Item","c8929f601f33e088b069cfb397f2caf339239d4c-0-e7b4cb428c02e10e3f0b15175df4791fb0209e9f"
"GFE Other","","0","0","1.952","0.211","0.084","0","","","","","","","","","","","","c8929f601f33e088b069cfb397f2caf339239d4c-1-c71ef6e7b45136cb3fadedeffe5521fee0ce6049","c8929f601f33e088b069cfb397f2caf339239d4c","root.record.ItemExhibitList.P5Item","c8929f601f33e088b069cfb397f2caf339239d4c-0-e7b4cb428c02e10e3f0b15175df4791fb0209e9f"
"GFE Other","","0","0","85.874","0.154","0.148","0.165","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-7bc074ca17a9fdd050440eb8c0e603144d8c761a","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-5728bea9e19cf7d871468ba2901d657dd994b351"
"CFE Com/Nav","","0","0","15.496","2.654","1.622","2.535","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-1-4bcd966c6e9dc070e41d5d15ed787c842646c278","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-5728bea9e19cf7d871468ba2901d657dd994b351"
"GFE EW","","0","0","17.004","2.916","1.882","2.81","","","","","","","","","","","","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-2-f3ae9db45a8f9fbd788658a97b323afffffdb188","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f","root.record.ItemExhibitList.P5Item","cd853530d7156d2fc7d67a7a924b17c7f4f1f18f-0-5728bea9e19cf7d871468ba2901d657dd994b351"
"GFE Other","","0","0","20.334","2.937","5.025","","","","","","","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-0-5d61ebff56c005d9cce5223050b562b5714bea37","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"Equipment","","12","","","","8","10","6","","2","","","26","Various","Various","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-d32843718d71c1a25e1b3b3e9a420541746a559a-0-853534bce6a9bb32b26ec0ea55ffe917953571f0","d32843718d71c1a25e1b3b3e9a420541746a559a-0-6b1334dcb7524918bd2e774b2680bcb9e1507c9f","d32843718d71c1a25e1b3b3e9a420541746a559a","root.record.ItemExhibitList.P5Item","d32843718d71c1a25e1b3b3e9a420541746a559a-0-82e26fcb4f20dde1083fe9a9e67efcafda36c2f0"
"GFE- Engines Termination Liability","","0","1","206.544","12.681","20.639","37.43","","","","","","","","","","","","d65af189eff26da1f3e1e7e45c5cc213158052d8-0-97d1095e43275ee3d5546f7335fe90b60a8f515b","d65af189eff26da1f3e1e7e45c5cc213158052d8","root.record.ItemExhibitList.P5Item","d65af189eff26da1f3e1e7e45c5cc213158052d8-0-a69bf18a834a2d1dee749db1cd2b841fee9c1ecc"
"Other Government Furnished Equipment","","12","","14.624","11.762","14","28","4","","","","","72.386","Various","Various","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.GFE.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e615c20672a354eae07583fce3fbefe766b6d6a9-0-33bb92167acadb0c4af4c84e0f977f44796415fd","e615c20672a354eae07583fce3fbefe766b6d6a9-0-b9ec9ac084a6f5158b7908770699928fc337ec1c","e615c20672a354eae07583fce3fbefe766b6d6a9","root.record.ItemExhibitList.P5Item","e615c20672a354eae07583fce3fbefe766b6d6a9-0-fafb83de16c48dd4bfc4553f4fdd4f14ba6615af"
