"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","1076","0.857","1076","0.857","994","0.924","1022","0.959","848","3.026","671","0.878","476","0.543","654","0.474","835","0.588","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-e7db54ec65df5b4bd6eaa6e4979743f4b2253654","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air National Guard","119","0.095","119","0.095","110","0.102","113","0.107","94","0.098","74","0.097","","","68","0.053","98","0.065","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-ac48f9d5312b6c9c9d5bd78ec665f721574ac4e7","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air Force Active","34","43.655","34","43.655","16","24.09","11","3.372","4","3.778","4","1.25","17","48.5","23","45.064","33","46.486","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-a0a9673b8e8e66ea56c55318f67aa82cbfe533aa","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
"Air National Guard","5","6.72","5","6.72","7","9.41","4","5.376","","","","","","","2","2.688","2","2.688","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-53628d8f799c60b43e382b427bfb9cf517578dd0","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
"Air Force Active","17","0.478","17","0.478","15","12.15","25","8.915","10","6.25","10","0.25","32","1.55","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-ab4fa0db678b9852d047ad8bd579cc30ee651aa2","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-8834ac8213a8b2019cd0588a13b9950886b68319"
"Air Force Active","30","4.327","30","4.327","29","3.886","14","1.853","","","","","1","0.199","9","1.376","15","2.244","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-4863a2249fd05ecd11004ab17bf9c2e0ee093330","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air National Guard","","","","","","","15","1.985","7","0.933","","","","","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-dbf843b614086d27a0ed80bb9713cd8d07493312","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air Force Reserve","","","","","","","","","10","1.333","","","","","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-c3e53e511a6f6f290c35e7c000d229dfeecea4a9","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air Force Active","50","3.778","50","3.778","30","2.366","","","","","","","","","34","1.954","68","4.76","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9f7acc5c44ed3567064560e18b4cb01016040165","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-dddf1c0b0db925a31f05579eed68ae88c14a4d49"
"Air National Guard","18","1.36","18","1.36","4","0.315","","","","","","","","","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-a12879f778758d8170ae84a61b534baa58b588b5","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-dddf1c0b0db925a31f05579eed68ae88c14a4d49"
"Air Force Reserve","","","","","18","1.419","","","","","","","","","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-0f353c3c75d99a94edbd9cdfd1ce81cf08311151","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-dddf1c0b0db925a31f05579eed68ae88c14a4d49"
"Air Force Active","79","28.79","79","28.79","30","9.615","","","","","","","297","164.673","144","7.254","144","101.143","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-01392657414ce7b9395925fdb0784a29eb6beae2","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-efdf047e658f4474ad0f7b83529e5a358ef9aebb"
"Air National Guard","55","20.044","55","20.044","51","16.346","","","","","","","82","44.799","24","1.209","14","9.833","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-18a9a4b39c0f32d74ed1402f07ae7911e6a41007","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-efdf047e658f4474ad0f7b83529e5a358ef9aebb"
"Air Force Reserve","21","7.653","21","7.653","58","18.589","","","","","","","53","30.434","","","12","8.429","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-2-d8f6cea688ed17ba61e1ca174d663f4073157c7d","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-efdf047e658f4474ad0f7b83529e5a358ef9aebb"
"Air Force Active","38","2.071","38","2.071","33","1.966","33","2.112","33","2.156","33","2.252","","","","","2","1.771","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-fd0aadae294d07912b918d003d2b5fc45151d488","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-685b5931689e7f7451d837c1c7b18241771121a0"
"Air Force Active","2","5.474","2","5.474","2","5.497","2","5.53","3","10.003","4","12.94","8","21.695","2","4.886","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-4249997c16392f39b62fe462fef096b4bca4814c","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-2c27806dfe06160c83a04eec2f31e690892d424b"
"Air Force Active","2","15.428","2","15.428","2","15.594","2","15.708","4","39.035","6","57.685","6","45.464","2","12.688","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-4112dceb8043deaebf2dd47efa1c8ce4982f5f77","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ba7e7521acebd42c941bb75881443bf9bb6877e8"
"Air Force Active","3","0.155","3","0.155","12","0.447","12","0.45","11","0.399","","","","","","","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-df3286384aa049c67d7df9f0ada37b51f7acdc45","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-0c3165c3f7a802ab08f53c1f80607f356be1b92f"
