"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","","","","","1.424","0","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-6a469ca2733a9c2a56679d660cb5ac92914085ff","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-24-302f21655de896fcef1080420d37884b696c56ac"
"Air Force Reserve","","","","","0.876","0","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-e02b1652a9fb5c25c8dd4d58315cddb6b4e9cfaf","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-24-302f21655de896fcef1080420d37884b696c56ac"
"Air Force Active","0.84","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-ba3969d581295ed48616b43c95f9dd94370bf79d","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-26-b3a7e99896bcd165a43e3a446c0771e10adcb7d1"
"Air National Guard","0.249","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-faad50ada697e715f7eea36a84899741eb6c08ce","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-26-b3a7e99896bcd165a43e3a446c0771e10adcb7d1"
"Air Force Active","0","0","0","0","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-a3d007f71f724e546ffd68a77847dc08de4d10a9","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-31-0499749e376f9f3dafc798f53b01a69159800597"
"Air Force Reserve","0","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-ec8fe06f14d052d4cc6e225acd97a124ad2f5e79","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-31-0499749e376f9f3dafc798f53b01a69159800597"
"Air Force Active","0.505","0.326","0.328","0.328","0.045","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-5e0ec77065d003efd3e949d554365e15ea174ae1","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-33-944f66e8aa067eea391458a7a83deb6230286aee"
"Air National Guard","0.437","0","0","0","0.437","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-176bc2ac2aea5c813561726493b6c36f2e9e9523","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-33-944f66e8aa067eea391458a7a83deb6230286aee"
"Air Force Reserve","0.295","0","0","0","0.04","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-4ae7fa3692a374490975c3cfeb77789e0787aa78","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-33-944f66e8aa067eea391458a7a83deb6230286aee"
"Air Force Active","0","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-a0c31b42390c8e9480c996c9ec7c0b5d5f9e06d7","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-35-dca06527f44dc2cfb2506b027c0ac6d0fc36bb14"
"Air Force Active","0","70","0","0","9.614","15.004","15","4","0","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-880b98a61cba8bf8a63fe6b03c8a0e976b76ae6e","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-36-677be56fb75be32f8f8a9dcae5fcdcc282371056"
"Air National Guard","","","","","32.54","26.959","0","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-7d95443458cbe6d5e8865327e93b54d30bacc943","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-36-677be56fb75be32f8f8a9dcae5fcdcc282371056"
"Air Force Reserve","","","","","10.846","9.58","0","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-9e796d8789e0259c35409c56d6c5c3108757d83e","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-36-677be56fb75be32f8f8a9dcae5fcdcc282371056"
"Air Force Active","7.447","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-95d3391b6fe18de75b64babefc4e087f420ede2f","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-37-1689b440a5046c54f22bbe5492e69b318104ebe4"
"Air Force Active","7.151","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-9dab596899d4da2b9c257385fa33dd16de16d262","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-38-15ec16228adcd7a2e01b5904f6e447caac2c81e1"
"Air Force Active","20.4","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-a91724952ceec3d0444ae3e4649d6dfa76cc55ec","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-41-394ffeb33376e9f3ed57826b522ded0c78f8e36b"
"Air Force Active","2.24","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-98f45896e49afb49d29b3d4fd567f15661e5d87b","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-42-075360e4e5c50646dd83bf5efc3ae0d945cbcd72"
"Air Force Active","12.4","","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-9a3d9c6d8a400c26f1b1b38857bc62db899dd49a","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-43-fd49834359da2fbc8def8590aaeff0ea9ace37b7"
"Air Force Active","","4.856","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-42bd4590e6cf9e292aec21dd3a2cf9bb7ddc5050","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-44-b75be8eda5095e30b1f13e7833dd6c140e5aebe9"
"Air National Guard","22.6","28.344","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-e58239f42eb487ef342a95551325f1ddaff28f3d","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-44-b75be8eda5095e30b1f13e7833dd6c140e5aebe9"
"Air Force Active","","0","0","0","0","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-d1aebced5b16060eaa085c2075576e1ab9da9ed4","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-45-8d619cc8b3d30d99ae2b4d25aebabdb0cc4d1154"
"Air Force Active","","0.36","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-648d51b8ba02a77324ddc00e9518c6595b17f640","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-46-e94102afaa1c14c248b62bd87906b28b40e06eed"
"Air National Guard","","0.525","0","0","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-e98e68aabdb9ed3a5c5392fe78d9f066951b3fe7","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-46-e94102afaa1c14c248b62bd87906b28b40e06eed"
"Air Force Reserve","","0.525","0","0","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-60651254d82522773a7ed44969643a2225b313b7","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-46-e94102afaa1c14c248b62bd87906b28b40e06eed"
"Air Force Active","","1.409","","","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-36b60b3018baabdc84dc786bb10e45b0c76210ff","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-47-5d527f90af5f48c1decc7380c71a7cfe70f58d74"
"Air National Guard","","12.091","","","0","0","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-155100ab5d1f61398816ec2a7d45aa2a7ddab693","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-47-5d527f90af5f48c1decc7380c71a7cfe70f58d74"
"Air Force Active","","1.5","0","0","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-69674e958c6581a84d0fda9b0d51cfc6aa8f2cf4","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-48-57b415fd5611d6e778bcc956d9e9f5e4ba047d4b"
"Air National Guard","","","0","0","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-760b49fa78aa23c2b442c08bdcad7712073f35ae","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-48-57b415fd5611d6e778bcc956d9e9f5e4ba047d4b"
"Air Force Reserve","","","0","0","","","","","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-9bae9b8fe1fe6076f0c1b2e853705a4e5b6c8924","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-48-57b415fd5611d6e778bcc956d9e9f5e4ba047d4b"
"Air Force Active","1.384","1.9","0.5","0.5","1.9","1.463","1.716","1.594","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-8150b03de41f2adbaf2bd95b3e2cb5f006730914","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-49-e34a16c34d249dacf1b2fddae79dbfe508aba72e"
"Air Force Active","0.001","1.2","0.1","0.1","0.274","1.189","0.365","0.064","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-f010612f110ab796017b836088d3771b1b4c6673","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-51-0ca9d436af2c0a346f384c00c2191398a3bc010c"
"Air Force Active","0.001","1.226","1.101","1.101","1.012","0.607","0.001","0.2","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-93c052573da361eeaf918c554a0d6979146fd866","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-52-ae7d2c65f0ed63030a82fcd72fdbf0f5cc2f1584"
"Air Force Active","1.999","1.9","1.999","1.999","1.999","1.999","1.999","1.999","","","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-62ad972f052ac13b6dc481816ffda3ff278a7347","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-53-d425f103af6dc04321210f08a58486c20d329594"
"Air Force Active","2.971","1","","","","","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-9563f90b8f1ca2081008153d502fcea84d6953c4","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-e7c7e1c4cd55412b0fe6a2f80a91f7da103ac161"
"Air Force Active","","1","3.965","3.965","2.976","1.984","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-fce98dce804e7a7a67aa2c0b312847748979a09e","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-1-5e65af28dc39e6899cc04482600a4b86c928f403"
"Air Force Active","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-a0d3c918f15b41536986a4a8185389c38d2fe888","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-2-b3d9998984a8f9e99dd70cb4528bb65182f5a8e7"
"Air Force Active","0.928","0.935","1","1","1","1","1","1","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-2b58658c083c19254fb2901d94396da4b3552d7f","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-3-eff845f413a3edc712697f2a957abe8ebb7a10c5"
"Air Force Active","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-61c646ab0419daa210ba7da247ed2b85912094e2","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-4-30ec4899a16770fdb15475136fe481d631bdc8f4"
"Air Force Active","0.858","0.885","0.837","0.837","0.874","0.909","0.922","0.958","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-3ed76e4f41b7da7c5193173048b6d12e48f100f2","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-5-ec61351e0f1c30dc71b90a31b225cda44cfc5c8c"
"Air Force Active","1.193","0.232","0.073","0.073","","","","","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-a5fa9c7d40784fab3d880407ed621b4d8367a97d","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","1d689f0f36258fe897c6ef0040b400c62cdda1ee-9-88c763e82ac4328139ff81836578d78fda17631b"
"Air National Guard","0.389","0.387","0.052","0.052","","","","","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-1-eedf00bf45ac709e35e4e048ea42ebe2617d7700","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","1d689f0f36258fe897c6ef0040b400c62cdda1ee-9-88c763e82ac4328139ff81836578d78fda17631b"
"Air Force Reserve","0.145","0.133","0.037","0.037","","","","","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-2-7a3cfc5af2ba925e27dca6689ce6a1e864538296","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","1d689f0f36258fe897c6ef0040b400c62cdda1ee-9-88c763e82ac4328139ff81836578d78fda17631b"
"Air Force Active","0","","0","0","0","0","0","0","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-b303eb7f6efefaedd121ef6ee79ff66ee2128ac7","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","1d689f0f36258fe897c6ef0040b400c62cdda1ee-10-9b103f77df664a44c994790030152a6aa3d63018"
"Air Force Active","","","","","5","3.2","","","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-0a64165a0dc034685690124b45311b28c4e4a116","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","1d689f0f36258fe897c6ef0040b400c62cdda1ee-12-c0e16afc645eaa004e290938d211cf8d00dc9367"
"Air National Guard","0.025","0.025","0.025","0.025","0.025","0.025","0.025","0.025","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-ce3d792268424a483b4bfff3dda51af07c81d1c8","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","1d689f0f36258fe897c6ef0040b400c62cdda1ee-13-c7925eef59486ff658ca5780997f5bb20f4ae2c7"
"Air Force Active","0.471","1","1.901","1.901","1","1.995","1.995","1.995","","","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-6a28c60caa8a292ec574569a9eb800675e6372ec","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","1d689f0f36258fe897c6ef0040b400c62cdda1ee-14-4f87014cbeef56735942a34fd373e58f47d77c7a"
"Air Force Active","0.174","0.089","","0.099","","","","","0.099","2","1","1","1","","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-8025e3e3f09232412275390eb7cf10192676d463","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-f4f91afe531bb368c59dcc8a69b4269c96e1997e"
"Air Force Active","0","0.011","0.008","0.008","","","","","","","","","","","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-726acf7f1e29934b00c85dd25532bee04d5f2aeb","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-1-9df31894a40a5c8b94e9522309f6e440f25912d0"
"Air National Guard","0.011","","","","","","","","","","","","","","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-1-8133033bef4ceae1295109e5e1b1a6373482a210","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-1-9df31894a40a5c8b94e9522309f6e440f25912d0"
"Air Force Active","0.274","0.243","0.723","0.723","","","","","","14","11","","30","30","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-4f5b44296aedc15b2275f3e7f37f6f9fef398745","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-2-565b4439e46dcb7dab3b9246f2a70125ca62158c"
"Air Force Active","0.045","0.089","0.509","0.509","","","","","","2","4","","21","21","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-b3cc8073ea84cd539d348235c5221d851fefd591","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-3-fb88647efa145bf29bdb55ddf6dd47e5863691da"
"Air Force Active","1.369","0.896","1.988","1.988","","","","","","60","32","","66","66","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-8020aca71ba2a4e51fa6e71ca31c72b74808463b","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-4-3e5a965ed2a5c778dd7f5c5fa233b9d0b32bfed6"
"Air Force Reserve","0.091","0.056","0.09","0.09","","","","","","4","2","","3","3","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-1-c78e2221c741114df8f7e3d1d6d472b10866961b","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-4-3e5a965ed2a5c778dd7f5c5fa233b9d0b32bfed6"
"Air Force Active","0.066","","","","","","","","","2","","","","","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-6ef296f0180ee2ae9a97e76d2e1d756ef39350ab","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-5-b15c0d1cf6de4b046849f29dc8998c9a7bd16312"
