"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","0","0.000","0","0.000","0","0.000","4","2.572","","","4","2.572","0","0.377","0","0.251","0","0.000","0","0.000","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-cb56cdac51b15aadac5dbb657bfcb6d768f9bac6","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-d407d4801922773934d75eb13432d3636c55dd59"
"Air National Guard","0","0.000","0","0.000","0","0.000","2","0.6","","","2","0.6","1","0.3","0","0.000","0","0.000","0","0.000","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-1-1ad8f1b0a003abf1de09c376134cb88050fb0211","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-d407d4801922773934d75eb13432d3636c55dd59"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","1","0.3","","","1","0.3","2","0.6","0","0.000","0","0.000","0","0.000","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-2-31e6039b3c7c7a6ef8760653d1a838bb3458bb66","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-d407d4801922773934d75eb13432d3636c55dd59"
"Air Force Active","0","0.000","0","0.000","0","0.000","7","25.5","","","7","25.5","7","27.795","5","18.531","3","8.5","3","8.653","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-69816c4b3c647488fc694715a26f92f2b3044da5","0f62486a86689d13a2561e5c4624b5c569c1eda9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-eb4c8cd6df6be63c5614262d3672593e4f205675"
"Air Force Active","21","446.978","17","83.01","4","7.632","8","7.217","","","8","7.217","8","7.553","6","8.548","0","5.944","0","6.06","159534d0b57648a4377405fd524fece23ff28718-0-aacd4291bafe50855b51c75613ef50635730c992","159534d0b57648a4377405fd524fece23ff28718","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","159534d0b57648a4377405fd524fece23ff28718-0-8dba53718ab23b8b9cb1945bfa7a2be24013fae2"
"Air Force Active","0","0.000","0","0.000","1","1.125","1","1.25","","","1","1.25","1","1.17","0","0.000","0","0.000","0","0.000","2146b39417826335bc8c06e6e86906e33c6d1dfd-0-93dd9662d06f4fb975c36a361f3aed6fe10ba505","2146b39417826335bc8c06e6e86906e33c6d1dfd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2146b39417826335bc8c06e6e86906e33c6d1dfd-0-2841e68f8365b05e2557d347ce329cbc19d310f4"
"Air Force Active","0","0.000","0","0.244","88","10.518","46","5.554","","","46","5.554","94","11.635","23","2.93","0","0.000","0","0.000","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-42007ccdf337054866b8d6e98dcef3deebd5c882","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-71fdd26a5bdca07675f7c71eed6ea762f923a106"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-1-698ba1e2d4c4d2184520d039742ea4e8532faaae","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-71fdd26a5bdca07675f7c71eed6ea762f923a106"
"Air Force Active","100","144.982","23","34.671","0","0.781","0","0.617","","","0","0.617","0","0.63","0","0.669","0","0.034","0","0.000","2ddb26aef7cdb76cf8890008685d942b11569883-0-48d75830c2d078f3ff87cd3603d45d49fcc74cbc","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-71d2445c74273f027a3b7adc9203745d83a090b2"
"Air National Guard","0","0.000","9","12.96","11","22.418","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2ddb26aef7cdb76cf8890008685d942b11569883-1-48bea5721ecefe298f123d4262678a27fdfb7424","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","2ddb26aef7cdb76cf8890008685d942b11569883-0-71d2445c74273f027a3b7adc9203745d83a090b2"
