"Name_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","0","0.000","0","0.000","1","4.103","1","9.429","0","0.000","1","9.429","0","0.000","0","0.000","0","0.000","0","0.000","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-bc280385137cc42adc0bba9145c57f190c17823a","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40fd9fc6c2ac48cf939a246b71e8f0ee9f461d97-0-6826e767595c39b107e487e692982bca66a530cf"
"Air Force Active","0","153.376","0","21.267","0","26.138","0","10.853","0","0.000","0","10.853","0","3.253","0","3.836","0","0.000","0","0.000","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-eef375c0a9eb192eecae6106eaa1e0c4baff2778","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-d128a59812bb3815ea1c81020467a223c8c3e0af"
"Air Force Active","0","0.000","11","9.746","39","40.991","0","4.976","0","0.000","0","4.976","0","13.538","0","3","0","0.000","0","0.000","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-c749dca4548bcd53a1849ae9c5b99a278889b3d6","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-16b2ae5ad099f8c21227f2adc5e7c67c92e225c7"
"Air Force Active","918","429.576","85","25.092","95","22.601","167","35.045","0","0.000","167","35.045","0","5.775","0","0.000","0","0.000","0","0.000","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-dfe2b3914774396faf16646b785f03a6bb41468a","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4a50bcc3d4d4cf4d2aac2801f050c14f17c5a6ef-0-83f077c906c99972c5497493d5abecdc6d1edc1a"
"Air Force Active","14","18.193","0","4.056","250","25.642","250","23.24","0","0.000","250","23.24","0","1.08","0","0.000","0","0.000","0","0.000","4b5c5eb193dac6596ef45e50f9e2015a538019be-0-81bd0c1a51d55228cc78436a82028711e20d6326","4b5c5eb193dac6596ef45e50f9e2015a538019be","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4b5c5eb193dac6596ef45e50f9e2015a538019be-0-0ea8a61b2e5738a7b177f6dfcfdd1e4a88f1c961"
"Air Force Active","0","0.000","0","0.000","0","7.6","0","6.362","0","0.000","0","6.362","0","0.000","0","0.000","0","0.000","0","0.000","54eee1c6eda620239068af390dbe5bb5a9842adb-0-eede18d815a2fa0d652242365e92a6e046967d3f","54eee1c6eda620239068af390dbe5bb5a9842adb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","54eee1c6eda620239068af390dbe5bb5a9842adb-0-2551c77e71eed1a62b12a6674e7ddec9d3e5f3f7"
"Air Force Active","0","0.000","0","0.000","0","0.000","1","0.15","0","0.000","1","0.15","2","12.55","2","12.556","2","16.094","1","12.556","59be73e034389a010dbcc3a981c4115536ebaee8-0-cc3016cc40f274367c69069eae4bb8849a7f30f4","59be73e034389a010dbcc3a981c4115536ebaee8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","59be73e034389a010dbcc3a981c4115536ebaee8-0-0602db95829ee84ebea346ac7195314f0a6fb375"
"Air Force Active","0","0.000","0","18.67","1","20.14","1","4.792","0","0.000","1","4.792","1","7.664","1","8.58","0","0.000","0","0.000","59be73e034389a010dbcc3a981c4115536ebaee8-0-854ceabf1c78f5173c2161bd660d361e601b8aa3","59be73e034389a010dbcc3a981c4115536ebaee8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","59be73e034389a010dbcc3a981c4115536ebaee8-0-16da2a465b03a5e42f6d989945020a0b6450c66e"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","59be73e034389a010dbcc3a981c4115536ebaee8-1-3027a262eb63ecef98976935744fe416d62e4ee9","59be73e034389a010dbcc3a981c4115536ebaee8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","59be73e034389a010dbcc3a981c4115536ebaee8-0-16da2a465b03a5e42f6d989945020a0b6450c66e"
"Air Force Active","0","0.000","0","0.000","0","0.000","119","5","0","0.000","119","5","125","5","187","7","0","0.000","0","0.000","687629ffd0060c3424998f92f8f9afe21f8f7057-0-771bd46416d32c7a9082cacf85bfe5b9740d4d02","687629ffd0060c3424998f92f8f9afe21f8f7057","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","687629ffd0060c3424998f92f8f9afe21f8f7057-0-3b6b2d0f40976b63a4ac9c22bac741a49d516189"
"Air Force Active","0","0.000","12","5.635","13","5.234","12","5.227","0","0.000","12","5.227","8","3.866","6","2.35","0","0.000","0","0.000","774511d4a3470732389a6f7ea6920e28e9168865-0-beb4b133ad8bde3451132fa83b02767933623b8d","774511d4a3470732389a6f7ea6920e28e9168865","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","774511d4a3470732389a6f7ea6920e28e9168865-0-d42f81341325f13d5d30569f0571b9355ec53ecb"
"Air Force Active","0","0.000","0","0.000","9","28.383","32","89.734","0","0.000","32","89.734","24","67.83","27","80.018","16","42.491","6","22.606","80c314a08d629cf8ab4d43a0a1a5135314197657-0-4002672338ae1f7c940c9b2471797144eb2dab31","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-94504465338887ba6635693380f1b6e136a9e71f"
"Air Force Active","0","0.000","0","0.000","0","0.000","12","27.438","0","0.000","12","27.438","12","29.279","12","30.322","12","31.383","12","32.569","80c314a08d629cf8ab4d43a0a1a5135314197657-0-d9369c2054be2c46d41b1b7ad9cb5c456c559bb8","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-59499bf163e7699ad3846d0b343e498f16f0ed32"
"Air Force Active","20","23.175","0","0.000","32","60.091","32","39.136","0","0.000","32","39.136","26","13.39","0","0.449","0","0.201","0","0.000","80c314a08d629cf8ab4d43a0a1a5135314197657-0-c732b3c79e4e29d90dd0d4aef771bafbbb95b82e","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-9c0739fa866878440e5e4a76e8574fd7331498ff"
"Air Force Active","0","0.000","0","0.000","45","8.111","49","39.468","0","0.000","49","39.468","0","32.558","0","33.678","0","34.833","0","32.224","80c314a08d629cf8ab4d43a0a1a5135314197657-0-3b9d5f921db57abe84a957666cb0bdebe582dbcd","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-59844729581c7bfae5bac49e739e43963b90ef4b"
"Air Force Active","60","67.549","0","0.000","18","9.7","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","80c314a08d629cf8ab4d43a0a1a5135314197657-0-9bf7002b2ac1f7d8952fcf290446225bd9f84504","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-0c4389ff4793191f1bc8fc007edfa7703d555adc"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","8.061","0","0.000","0","8.061","20","17.72","20","15.065","20","14.774","20","15.23","80c314a08d629cf8ab4d43a0a1a5135314197657-0-c6317a64cc04803d57110a83bf0e65aeff602d78","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-b173c3eab6d8aac85e1eab37f1d87fbed98b3d9b"
"Air Force Active","0","0.000","0","0.000","106","22.06","57","9.798","0","0.000","57","9.798","6","7.478","61","7.61","0","0.000","0","0.000","80c314a08d629cf8ab4d43a0a1a5135314197657-0-4c35a353e0fb408dd55e0edac1ed40e957c33889","80c314a08d629cf8ab4d43a0a1a5135314197657","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","80c314a08d629cf8ab4d43a0a1a5135314197657-0-3c62d3b23409e9ac980cb016448c695fe0498eec"
"Air Force Active","0","0.000","1","15.922","1","34.067","1","17.054","0","0.000","1","17.054","1","31.897","1","23.517","1","12.705","1","12.911","81fec39e367b83589f17cef5412d90681667d36f-0-3e74ba96af86337e279198360adb11ee9150c364","81fec39e367b83589f17cef5412d90681667d36f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","81fec39e367b83589f17cef5412d90681667d36f-0-644054f5d4c0bd17248545f389e133bf57f1cc66"
"Air Force Active","38","250.362","19","77.036","0","5.168","9","40.604","0","0.000","9","40.604","3","17.424","0","0.000","0","0.000","0","0.000","886c521259be0c6263239663ae807ea8a19b93ff-0-032b8501b8a6eda2cf7fe910415eac057c1c5fb1","886c521259be0c6263239663ae807ea8a19b93ff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","886c521259be0c6263239663ae807ea8a19b93ff-0-f5ded7cc8830dd6ec771344ff8179e60b20d5bd2"
"Air National Guard","23","108.31","13","45.915","0","0.000","6","25.133","0","0.000","6","25.133","5","22.84","0","0.000","0","0.000","0","0.000","886c521259be0c6263239663ae807ea8a19b93ff-1-81f8067e1f2f688b09fc4384da08d4a10c72148b","886c521259be0c6263239663ae807ea8a19b93ff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","886c521259be0c6263239663ae807ea8a19b93ff-0-f5ded7cc8830dd6ec771344ff8179e60b20d5bd2"
"Air Force Reserve","16","76.501","8","28.256","0","0.000","4","16.756","0","0.000","4","16.756","1","4.568","0","0.000","0","0.000","0","0.000","886c521259be0c6263239663ae807ea8a19b93ff-2-caaeebd9dfb730f7b568b2b0980d9bec7258ebfc","886c521259be0c6263239663ae807ea8a19b93ff","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","886c521259be0c6263239663ae807ea8a19b93ff-0-f5ded7cc8830dd6ec771344ff8179e60b20d5bd2"
"Air Force Active","91","390.228","3","24.098","0","0.884","2","9.606","0","0.000","2","9.606","0","1.188","0","2.97","0","0.681","2","3.027","8c8ae26141464ecd714278ca073e0e9447d4198a-0-bb345213f5bf0a428cf8dcd184d6b127c8ba2180","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-c7f3421eabc1d7fb07d357e936dd70b6bffbdbf7"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","0.984","4","4.179","8c8ae26141464ecd714278ca073e0e9447d4198a-1-7d384d5906ffc04b511effa2df5930d35e1edefc","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-c7f3421eabc1d7fb07d357e936dd70b6bffbdbf7"
"Air Force Reserve","1","3.489","0","0.000","0","0.000","0","9.359","0","0.000","0","9.359","2","20.624","0","0.000","4","3.934","4","4.256","8c8ae26141464ecd714278ca073e0e9447d4198a-2-9ce60d9a6931e5446521cb245da8f6a1d3fd97ce","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-c7f3421eabc1d7fb07d357e936dd70b6bffbdbf7"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","9","2.571","9","2.571","0","0.000","0","0.000","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-0-92e0693f44ca70cbfae0359c5c055c28096d8c65","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-3a82457f6a1b153d45bc7296a27b6709a71bf6b1"
"Air National Guard","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-1-3e06cbcf54afea756b18a158104c3c93937a51b4","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-3a82457f6a1b153d45bc7296a27b6709a71bf6b1"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","5","1.429","5","1.429","0","0.000","0","0.000","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-2-2576ead55422e3415d463a44c7b3b08e74f4b037","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-3a82457f6a1b153d45bc7296a27b6709a71bf6b1"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","0","0.35","0","0.35","0","0.000","0","0.000","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-0-25bdacd3901ba4545ecb7feb11b5a68f203e1ee0","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-807b778287adc1e02c5e87f5e00050a0fc77000e"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","0","0.000","5","4.9","5","4.9","0","0.000","0","0.000","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-1-32097deb06f55d72396eac852f4f122dfab3eb43","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-807b778287adc1e02c5e87f5e00050a0fc77000e"
"Air Force Active","0","0.000","0","0.000","135","4.91","0","0.344","0","0.000","0","0.344","0","0.163","0","0.314","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-0-362dc9dc65139fb2dd4a7bb18c07dfa825d48501","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-9724b5e41588935afb85e792ac6d405157b935cf"
"Air National Guard","0","0.000","0","0.000","102","9.251","40","5.005","0","0.000","40","5.005","7","0.687","6","0.572","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-1-506e934fd3eff5507049b74700ca54e7b3751011","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-9724b5e41588935afb85e792ac6d405157b935cf"
"Air Force Reserve","0","0.000","0","0.000","53","4.831","26","3.892","0","0.000","26","3.892","10","0.982","0","0.000","0","0.000","0","0.000","8c8ae26141464ecd714278ca073e0e9447d4198a-2-511c3f20dc9b5e7bb14ffe97c29929b9ecbab93d","8c8ae26141464ecd714278ca073e0e9447d4198a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8c8ae26141464ecd714278ca073e0e9447d4198a-0-9724b5e41588935afb85e792ac6d405157b935cf"
"Air Force Active","0","0.000","1","15.207","1","17.675","1","18.024","0","0.000","1","18.024","1","18.947","1","19.512","1","20.088","1","19.939","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-a80a0506d6f50ea11d50f5e2f79320790812e07a","8d7c7dd71f2621f7c2e23873d891c962c3228d48","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-ffca1e6b25e16dda9d72c3e95077233c5bef3d2b"
"Air Force Active","0","0.000","2","79.836","2","85.634","2","87.19","0","8","2","95.19","2","91.697","2","94.445","2","97.258","2","98.89","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-69ce89781370989f6acdfea286915e324a1e0bfc","8d7c7dd71f2621f7c2e23873d891c962c3228d48","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-eccfd083ffaa8aac4fad28fd8e58e34189727a99"
"Air Force Active","0","0.000","1","9.914","1","5.031","1","5.149","0","0.000","1","5.149","1","5.368","1","5.573","1","5.711","1","5.859","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-68b8472541fb5ff905fe831e68f9ec9d7e026362","8d7c7dd71f2621f7c2e23873d891c962c3228d48","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8d7c7dd71f2621f7c2e23873d891c962c3228d48-0-69ab4244bfa88b0e78b16714c0f68965a9ce42a8"
"Air Force Active","18","8.755","24","8.275","327","58.542","123","11.639","0","0.000","123","11.639","129","5.79","131","4.605","0","0.000","0","0.000","8f9993f845d52dd295769d91ecf2500389b6cdf6-0-c8665ca1d0c968895e4f4789ee622237a77300da","8f9993f845d52dd295769d91ecf2500389b6cdf6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","8f9993f845d52dd295769d91ecf2500389b6cdf6-0-3813a4f22ff85ea00c89d042df0e308f505b1ca2"
"Air Force Active","0","0.000","0","0.000","0","0.000","14","3.485","0","0.000","14","3.485","24","4.838","20","4.034","0","0.187","0","0.93","952c00e1a7ea62010c6ceb4b37b5f8a561762f78-0-e7dbf9d12af9d1361d2c586a3aeb15e4751bb729","952c00e1a7ea62010c6ceb4b37b5f8a561762f78","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","952c00e1a7ea62010c6ceb4b37b5f8a561762f78-0-83eb4335f0aed17f9c600732c312e6a1ecab2754"
"Air Force Reserve","0","0.000","0","0.000","0","0.000","6","1.141","0","0.000","6","1.141","6","1.166","6","1.187","0","0.000","0","0.000","952c00e1a7ea62010c6ceb4b37b5f8a561762f78-1-5accb0c5a08c7b0b0f599058f76667d22b896211","952c00e1a7ea62010c6ceb4b37b5f8a561762f78","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","952c00e1a7ea62010c6ceb4b37b5f8a561762f78-0-83eb4335f0aed17f9c600732c312e6a1ecab2754"
"Air Force Active","0","0.000","6","85.266","10","99.299","12","98.626","0","0.000","12","98.626","27","219.348","29","216.474","25","205.796","26","208.54","97092ba11b429a6f7046ccc267083d82ef7c2035-0-32a23c22df93a2a3d3b41ff45a5c20b5d6d5c157","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-f13e160fd7270585d784edf1a8c9bb1d6f6d33ea"
"Air Force Active","36","267.825","6","83.667","7","54.91","2","13.979","0","0.000","2","13.979","11","85.969","13","97.978","3","103.24","0","1.112","97092ba11b429a6f7046ccc267083d82ef7c2035-0-0e5d6c9be956e190d7f87fd412c7e6ccd199372d","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-cbc70ca25bd3e547e720819e0f70299a978c6c3e"
"Air National Guard","24","175.355","9","49.601","7","38.081","0","0.000","0","0.000","0","0.000","16","87.266","13","71.959","9","50.773","0","0.232","97092ba11b429a6f7046ccc267083d82ef7c2035-1-9d26c75b121851c15120dd9cca74db0f6fb71eb9","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-cbc70ca25bd3e547e720819e0f70299a978c6c3e"
"Air Force Active","0","0.000","0","0.000","35","11.937","42","8.09","0","0.000","42","8.09","30","8.464","13","5.702","0","0.000","0","0.000","97092ba11b429a6f7046ccc267083d82ef7c2035-0-dccb7fe525d4a2539a8922917440014621cdeb19","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-4bf79c4cacdfd4c5674107bf5e17f256316ff0df"
"Air National Guard","0","0.000","0","0.000","25","9.81","0","0.000","0","0.000","0","0.000","50","1.56","55","1.2","0","0.000","0","0.000","97092ba11b429a6f7046ccc267083d82ef7c2035-1-9e0b10f0c6ec9e2622eb7186a5b2fca2f280718e","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-4bf79c4cacdfd4c5674107bf5e17f256316ff0df"
"Air Force Active","0","0.000","0","0.000","0","0.000","24","5.92","0","0.000","24","5.92","24","3.293","44","4.529","27","4.397","0","4.546","97092ba11b429a6f7046ccc267083d82ef7c2035-0-d5994800b0385bc5b74e739123ecfd171abfe934","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-24879e429f75ae0d96b48739b19eab13b2de4f0a"
"Air National Guard","0","0.000","0","0.000","0","0.000","20","2.08","0","0.000","20","2.08","5","0.52","0","0.000","0","0.000","0","0.000","97092ba11b429a6f7046ccc267083d82ef7c2035-1-3ccc6db3407cbd61a103dce95eca2355a31ccb0d","97092ba11b429a6f7046ccc267083d82ef7c2035","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","97092ba11b429a6f7046ccc267083d82ef7c2035-0-24879e429f75ae0d96b48739b19eab13b2de4f0a"
"Air Force Active","0","0.000","0","0.000","0","0.000","2","20.4","0","0.000","2","20.4","5","7.982","4","3.362","3","2.233","0","1.468","980beb5de9d0d3d06639c001bc531a0e302e9a02-0-8f42a605313c95d388ea4bb94c09efd7c9db8476","980beb5de9d0d3d06639c001bc531a0e302e9a02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","980beb5de9d0d3d06639c001bc531a0e302e9a02-0-6b298f6a0d21d2ca6dedd11cecbd50af9120785b"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","12","3.8","12","3.8","0","0.000","0","0.000","0","0.000","0","0.000","980beb5de9d0d3d06639c001bc531a0e302e9a02-0-f501f76d68aceec8d9ac0afd3b90170eac5d1ae3","980beb5de9d0d3d06639c001bc531a0e302e9a02","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","980beb5de9d0d3d06639c001bc531a0e302e9a02-0-deb6e7b4ad2e8730b9841d18db677d64f22aebb5"
"Air Force Active","0","0.000","4","52.956","9","56.165","10","49.663","0","0.000","10","49.663","5","33.239","5","26.88","7","37.502","8","38.495","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-262b7c01eb6cdff61cb7dd8592debbf9ee02f6f6","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-70c168b78c9f5d56b23dec7ad266d4030deb09f7"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","2.7","0","0.000","0","2.7","0","2.8","0","2.937","0","0.000","0","0.000","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-99c0337d2370a0adaf496f30fcdc3940e3225575","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-6cd01b197afc75003daae04aac35e3463c9df928"
"Air Force Active","0","0.000","4","20.933","9","14.299","10","13.55","0","0.000","10","13.55","5","9.812","5","8.291","7","10.144","8","9.994","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-9e13f5a441fe0fd5cc17956bf3a8c2a7a91c46e3","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-9a666fcc9247dc31167b5ceddbd45c28fb6e60b1"
"Air Force Active","0","0.000","17","17","28","33.46","12","12.962","0","0.000","12","12.962","0","5.35","0","0.459","0","0.000","0","0.000","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-a90ec1bceed316fc81be5d6671f2f36520eaf59a","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-062f220a2846f06a04ffbb4c1b0061507d7e575e"
"Air Force Active","22","56.631","26","59.126","12","44.302","0","10.512","0","0.000","0","10.512","0","1.692","0","2.586","0","0.242","0","0.000","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-67f3569e779c3124e4c1297e93266faac52a6b48","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-9ce12a0bcb8bb3a298c0873af96e14addb612ec1"
"Air Force Active","0","0.000","4","27.086","9","30.658","10","24.076","0","0.000","10","24.076","5","15.647","5","15.056","7","23.636","8","23.664","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-c36873164a31fc9ed8e9f64e717613be73c7a31c","9d0635e6b065ec52f615adb4acd6b2f1a2460f79","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","9d0635e6b065ec52f615adb4acd6b2f1a2460f79-0-14fdb2cea2d07b2acbd5fb3dd032fcb130af933f"
