"BudgetActivityNumber_val","BudgetActivityTitle_val","EndItemList_EndItem","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"4","Communications & electronics equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-3d5b90083b16634e8d01486e1fc3807ad057a988-2-a7c49838f3d09c6edf6ad06485237b915027e4ce","3d5b90083b16634e8d01486e1fc3807ad057a988-2-20da9a81976867e27856e6243dbd6bb4923714e0","3d5b90083b16634e8d01486e1fc3807ad057a988","root","3d5b90083b16634e8d01486e1fc3807ad057a988-21fe6116cff1503ef43bc8e488e19ea4dd81d756"
"6","Engineer and Other Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-3d5b90083b16634e8d01486e1fc3807ad057a988-3-e9810ec1ae9dfb76c18083efbfc9b5ffcf1495e9","3d5b90083b16634e8d01486e1fc3807ad057a988-3-4ec6f6e37775e7ca6c9e6aa55641d2bb981ba708","3d5b90083b16634e8d01486e1fc3807ad057a988","root","3d5b90083b16634e8d01486e1fc3807ad057a988-21fe6116cff1503ef43bc8e488e19ea4dd81d756"
"1","Ships Support Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4054cdcab7cca90480832bc630bc46717c8bc370-0-46bab8d3d6cb0d13cc0ef780eadc2629d1c50b75","4054cdcab7cca90480832bc630bc46717c8bc370-0-a487e9e92effc966084b408133c30ade31a8ba6d","4054cdcab7cca90480832bc630bc46717c8bc370","root","4054cdcab7cca90480832bc630bc46717c8bc370-ae1a218864fe17f3e54c9110968487f8b6048276"
"2","Communications & Electronics Equip","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4054cdcab7cca90480832bc630bc46717c8bc370-1-97e24e83e23f9be747a8788a1d37c65a54477cef","4054cdcab7cca90480832bc630bc46717c8bc370-1-750f7fa130895c45f0c6af455b4e48fc3cfa6243","4054cdcab7cca90480832bc630bc46717c8bc370","root","4054cdcab7cca90480832bc630bc46717c8bc370-ae1a218864fe17f3e54c9110968487f8b6048276"
"3","Aviation Support Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4054cdcab7cca90480832bc630bc46717c8bc370-2-89a645e0d8cc635826b3756949bd6f56a9e1cfcd","4054cdcab7cca90480832bc630bc46717c8bc370-2-1f2decbc637aac26fe5008b2b7c01e28ce2d03c3","4054cdcab7cca90480832bc630bc46717c8bc370","root","4054cdcab7cca90480832bc630bc46717c8bc370-ae1a218864fe17f3e54c9110968487f8b6048276"
"4","Ordnance Support Equipment","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4054cdcab7cca90480832bc630bc46717c8bc370-3-19a988b05952eabcf6eaf029c8cb84b1cb0e6b0d","4054cdcab7cca90480832bc630bc46717c8bc370-3-64380d2c9e5514352a73fabecaae4a7397729a0a","4054cdcab7cca90480832bc630bc46717c8bc370","root","4054cdcab7cca90480832bc630bc46717c8bc370-ae1a218864fe17f3e54c9110968487f8b6048276"
"5","Civil Engineering Support Equip","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4054cdcab7cca90480832bc630bc46717c8bc370-4-7300ad77763f2caf49b86054f47766fcd0524770","4054cdcab7cca90480832bc630bc46717c8bc370-4-6bedde20c4188f147074844701fa14648633ea74","4054cdcab7cca90480832bc630bc46717c8bc370","root","4054cdcab7cca90480832bc630bc46717c8bc370-ae1a218864fe17f3e54c9110968487f8b6048276"
"7","Personnel & Command Support Equip","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4054cdcab7cca90480832bc630bc46717c8bc370-5-fe64d7b32702abe921961a38c56b2b62033e867c","4054cdcab7cca90480832bc630bc46717c8bc370-5-5263818c4de547b9ac84d9b413d0cab9120d8f65","4054cdcab7cca90480832bc630bc46717c8bc370","root","4054cdcab7cca90480832bc630bc46717c8bc370-ae1a218864fe17f3e54c9110968487f8b6048276"
"8","Spares and Repair Parts","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-4054cdcab7cca90480832bc630bc46717c8bc370-6-5a1e9dbb9711b46e43a7a923300cd4809c2f1058","4054cdcab7cca90480832bc630bc46717c8bc370-6-fbe0958f0856a6299b265d4654efad03e6a5fbba","4054cdcab7cca90480832bc630bc46717c8bc370","root","4054cdcab7cca90480832bc630bc46717c8bc370-ae1a218864fe17f3e54c9110968487f8b6048276"
"1","Combat Aircraft","root.record.ItemExhibitList.P18Item.InitialSpares.EndItemBudgetActivity.EndItemList-47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-a71bfbd2ad4540cfb0c1124d31154d46aa50173f","47c4397623c6acdbd34f3607efc1bcc78e2212cf-0-03d2c25742facd55b611df5187c16fc58894d11b","47c4397623c6acdbd34f3607efc1bcc78e2212cf","root","47c4397623c6acdbd34f3607efc1bcc78e2212cf-2258b49bf0db5b980aafa853495b39d0bb683f24"
