"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0303601F","36534adaa3f912f497e0482f9e7cb5a2147e37e1-5-ec6496c0af80ec84c2c918bf884e80a7c659328f","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root","36534adaa3f912f497e0482f9e7cb5a2147e37e1-cae3d46e80e0d765d70a66b333b6dbd886989194"
"0401897F","36534adaa3f912f497e0482f9e7cb5a2147e37e1-6-cc8c163c0a8aa347e093d600ab5dce1e9ba00e90","36534adaa3f912f497e0482f9e7cb5a2147e37e1","root","36534adaa3f912f497e0482f9e7cb5a2147e37e1-cae3d46e80e0d765d70a66b333b6dbd886989194"
"0604601A","39fd500bdd20b1e92bb18c3d46dae452ef7ffb31-0-00f839bc7a35d03f9aeb35fb73423790c97ab04f","39fd500bdd20b1e92bb18c3d46dae452ef7ffb31","root","39fd500bdd20b1e92bb18c3d46dae452ef7ffb31-ec288cc9f6ad50e00cb858fb1863b426ff730fe2"
"0604601A","3adc3f1ff42084161fc00f2883ec382cfccade48-0-6306abd4f0ff1a3c1579cfdf26aa1953d76a3d62","3adc3f1ff42084161fc00f2883ec382cfccade48","root","3adc3f1ff42084161fc00f2883ec382cfccade48-b633dc37cbe28dc9051cd11756ce5284a9f7901c"
"0303126K","3dcae59feb6734194918f3ee6ff2a4bd3d1bdda4-0-ef66fda1e8cea16b20bd11e14993a9b37ab6f3f5","3dcae59feb6734194918f3ee6ff2a4bd3d1bdda4","root","3dcae59feb6734194918f3ee6ff2a4bd3d1bdda4-9c1b2385a575a9e1c71d45792d2f2c1982e9b73e"
"0205219F","40be3a38a9f591087d03d78218ff07382943c389-0-7078634540c4389ab84853de64d9686c49e03f71","40be3a38a9f591087d03d78218ff07382943c389","root","40be3a38a9f591087d03d78218ff07382943c389-bb8b940e7df8c8bfef1efa610a3774c83e219ff2"
"0604601A","41e7224456c9807c22dc2fffaeae0a3294d94b73-0-0421c6577c155d7279627a7adc60071615adb877","41e7224456c9807c22dc2fffaeae0a3294d94b73","root","41e7224456c9807c22dc2fffaeae0a3294d94b73-f1ee1f07c8fb8b175dfa521535a56d7a817e36a7"
"0607658N","45c219c0dd27e79347e0e89dcbb94a6e2928c084-0-b25686124105bd8cf6465152a6d4c4ac41edfe94","45c219c0dd27e79347e0e89dcbb94a6e2928c084","root","45c219c0dd27e79347e0e89dcbb94a6e2928c084-9e4715a11275a00c7f04e0cbd12633987dfb6ac3"
"0603658N","45c219c0dd27e79347e0e89dcbb94a6e2928c084-1-741b643ae348c698909a9245c257af09b843d478","45c219c0dd27e79347e0e89dcbb94a6e2928c084","root","45c219c0dd27e79347e0e89dcbb94a6e2928c084-9e4715a11275a00c7f04e0cbd12633987dfb6ac3"
"0303610K","47723ef1495bf1885cfb8c653805735687ef4aaf-0-b2bae9abc7d30cddbb1ca3c6b87536d8b94377aa","47723ef1495bf1885cfb8c653805735687ef4aaf","root","47723ef1495bf1885cfb8c653805735687ef4aaf-c53564abd505c7875d33293ad83985789235a09e"
"0603892C","499d0ae9fe18400a86a3c76a67170946c7deae52-0-45ba9912c72a0461fb98b6ae98c24d46fa763561","499d0ae9fe18400a86a3c76a67170946c7deae52","root","499d0ae9fe18400a86a3c76a67170946c7deae52-ceeda62af99309083eda5c137bbfdf3bbb063401"
"0604880C","499d0ae9fe18400a86a3c76a67170946c7deae52-1-999aa01e250eb83e237b8818404fa69d27a8a2ba","499d0ae9fe18400a86a3c76a67170946c7deae52","root","499d0ae9fe18400a86a3c76a67170946c7deae52-ceeda62af99309083eda5c137bbfdf3bbb063401"
"0604881C","499d0ae9fe18400a86a3c76a67170946c7deae52-2-2893aef460aec9212d7c90179b1f49d69ad34550","499d0ae9fe18400a86a3c76a67170946c7deae52","root","499d0ae9fe18400a86a3c76a67170946c7deae52-ceeda62af99309083eda5c137bbfdf3bbb063401"
"0604421F","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-0-4d1e27f953c86d73a7bb4695f78b4f725731fa1d","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495","root","4ab8cb22fd0dc4b22b17d65a36536e7efe52e495-b356692b66c8c62d8fefb4b47fc2f9edbd878cc0"
"0207130F","4c39cbe51415af7429d290b3dacf74a30465f591-0-75e7455165dca26e14f93a143f5bf5f98f155458","4c39cbe51415af7429d290b3dacf74a30465f591","root","4c39cbe51415af7429d290b3dacf74a30465f591-1fd64802e66ac53865ca84ff810ab019667213c2"
