"Title_val","Funding_PriorYear_val","Funding_CurrentYear_val","Funding_BudgetYearOne_val","Funding_BudgetYearOneBase_val","Funding_BudgetYearOneOCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Adjustments to Budget Years","","","-3.804","-3.804","","0a65e7ae02c42f7c8d10cf0fa903a78bc3f34895-0-1e344b5242672546eb77ea85f833638f6f63e7df","0a65e7ae02c42f7c8d10cf0fa903a78bc3f34895","root","0a65e7ae02c42f7c8d10cf0fa903a78bc3f34895-8122b4e5e17495d126a79d71b0c3cdfad2a0e69b"
"Rate/Misc Adjustments","0.000","0.000","-180.853","-180.853","","0a9f7ea4886291bb8e024ea7ef89ee2d32516cb1-0-62a369d2bea8a5e45ac0bc626e8ac056326187b3","0a9f7ea4886291bb8e024ea7ef89ee2d32516cb1","root","0a9f7ea4886291bb8e024ea7ef89ee2d32516cb1-070321ed46240148790d7a5a4acdf0d3fc96caa6"
"Adjustments to Budget Years","","","10.258","10.258","","0b1a752b6f26e917601609662392151714bead08-0-4339de58e412e52160523193774821478272eae1","0b1a752b6f26e917601609662392151714bead08","root","0b1a752b6f26e917601609662392151714bead08-59da7a5eee9ceae36ad944ca372372cc639695b6"
"Program Adjustments","0.000","0.000","17.486","17.486","","0b1e6341c4f1f9370c1292b4bdb7949b6f6ff5cd-0-83b9b6132464fa7e03ae09269ca4153bd72766e7","0b1e6341c4f1f9370c1292b4bdb7949b6f6ff5cd","root","0b1e6341c4f1f9370c1292b4bdb7949b6f6ff5cd-4f5e94a6571ff56a683767fa978bb2ad3388d261"
"Rate/Misc Adjustments","0.000","0.000","-0.723","-0.723","","0b1e6341c4f1f9370c1292b4bdb7949b6f6ff5cd-1-f2c9937f59d93f199d7afc0e05028052a4bd0219","0b1e6341c4f1f9370c1292b4bdb7949b6f6ff5cd","root","0b1e6341c4f1f9370c1292b4bdb7949b6f6ff5cd-4f5e94a6571ff56a683767fa978bb2ad3388d261"
"Other Adjustments","0.000","0.000","0.000","0.000","","0be568d28a6573a4cc9a6c507d22e892d384128c-0-caee214b4b0db5ceaf3e085c7113265425820d37","0be568d28a6573a4cc9a6c507d22e892d384128c","root","0be568d28a6573a4cc9a6c507d22e892d384128c-17e9feff62b2f20f6b7a0a00c9e10b5974632a50"
"Adjustments to Budget Years","","","4.194","4.194","","0bec901d0deb42494369f1b5a17ce1cb587b78ee-0-ab2ab28bedbb33a4ba774ed0b1543f716dee1a92","0bec901d0deb42494369f1b5a17ce1cb587b78ee","root","0bec901d0deb42494369f1b5a17ce1cb587b78ee-180c8984948fdf8035094848666ad2741645cfa2"
"Other Adjustments 1","0.756","","-13.933","-13.933","","0bec901d0deb42494369f1b5a17ce1cb587b78ee-1-40a77e95984a247218b9021ffeddc59344acdeca","0bec901d0deb42494369f1b5a17ce1cb587b78ee","root","0bec901d0deb42494369f1b5a17ce1cb587b78ee-180c8984948fdf8035094848666ad2741645cfa2"
"Other Adjustments","0.000","0.000","3.794","3.794","","0c60609a137f929cf1f00718abb075226984a7fa-0-8dd870ab42b40870b245678b390d92d48d25c69f","0c60609a137f929cf1f00718abb075226984a7fa","root","0c60609a137f929cf1f00718abb075226984a7fa-71e9cc0a83f7675207e8e92254d482da393e9ff8"
"Adjustments to Budget Years","","","1.952","1.952","","0c71f5360d671ca75b3f753f9707189e4549fc79-0-97d80df493fd0d386ee2ec51b7b848f2378ca751","0c71f5360d671ca75b3f753f9707189e4549fc79","root","0c71f5360d671ca75b3f753f9707189e4549fc79-3fdaef1371e675be7030137d8c294b756ae65ae9"
"Other Adjustments 1","-0.429","","","","","0c71f5360d671ca75b3f753f9707189e4549fc79-1-ca5efd53172f682ab2866c7208cddcf59e39889a","0c71f5360d671ca75b3f753f9707189e4549fc79","root","0c71f5360d671ca75b3f753f9707189e4549fc79-3fdaef1371e675be7030137d8c294b756ae65ae9"
"Other Adjustments","0.000","0.000","0.000","0.000","","0d7cb35836deae98cc7387e6eba89cac414bf9df-0-5ebccb617923ae16571354a1c23e96eeabea2ba6","0d7cb35836deae98cc7387e6eba89cac414bf9df","root","0d7cb35836deae98cc7387e6eba89cac414bf9df-8c466599c100e545503047aec0f3e524ecb3b18b"
"Other Adjustments","0.000","0.000","-4.330","-4.330","","0da4d53af72ad2541ee897d4af69285967d46bea-0-e28584e04efadef09b3128dcd68844c9dd9b63d5","0da4d53af72ad2541ee897d4af69285967d46bea","root","0da4d53af72ad2541ee897d4af69285967d46bea-3904b7e4b599a1aadaa181adcbeb2c5888bca767"
